name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
中国,1014,86340,1,4655,5.39,80671,93.43
香港,773,2131,0,14,0.66,1344,63.07
北京,87,929,0,9,0.97,833,89.67
新疆,64,140,0,3,2.14,73,52.14
上海,19,737,0,7,0.95,711,96.47
广东,16,1661,0,8,0.48,1637,98.56
内蒙古,9,250,0,1,0.40,240,96.00
台湾,8,455,0,7,1.54,440,96.70
四川,7,603,0,3,0.50,593,98.34
辽宁,6,165,0,2,1.21,157,95.15
山东,6,798,0,7,0.88,785,98.37
天津,5,203,0,3,1.48,195,96.06
陕西,3,322,0,3,0.93,316,98.14
云南,2,189,0,2,1.06,185,97.88
福建,2,364,0,1,0.27,361,99.18
浙江,2,1270,0,1,0.08,1267,99.76
山西,1,201,0,0,0.00,200,99.50
重庆,1,583,0,6,1.03,576,98.80
广西,1,255,0,2,0.78,252,98.82
江苏,1,655,0,0,0.00,654,99.85
河北,1,349,0,6,1.72,342,97.99
河南,0,1276,0,22,1.72,1254,98.28
江西,0,932,0,1,0.11,931,99.89
吉林,0,155,0,2,1.29,153,98.71
宁夏,0,75,0,0,0.00,75,100.00
西藏,0,1,0,0,0.00,1,100.00
湖南,0,1019,0,4,0.39,1015,99.61
黑龙江,0,947,0,13,1.37,934,98.63
青海,0,18,0,0,0.00,18,100.00
安徽,0,991,0,6,0.61,985,99.39
贵州,0,147,0,2,1.36,145,98.64
海南,0,171,0,6,3.51,165,96.49
甘肃,0,167,0,2,1.20,165,98.80
澳门,0,46,0,0,0.00,46,100.00
湖北,0,68135,0,4512,6.62,63623,93.38
