,nowConfirm,confirmAdd,dead,heal,zero
上海,-1,2,0,3,0
云南,1,1,0,0,0
内蒙古,-3,0,0,3,2
北京,-17,0,0,17,16
台湾,0,0,0,0,2
吉林,0,0,0,0,59
四川,0,0,0,0,1
天津,0,0,0,0,10
宁夏,0,0,0,0,140
安徽,0,0,0,0,104
山东,0,0,0,0,2
山西,0,0,0,0,7
广东,2,2,0,0,0
广西,0,0,0,0,5
新疆,9,9,0,0,0
江苏,0,0,0,0,5
江西,0,0,0,0,115
河北,-1,0,0,1,27
河南,0,0,0,0,114
浙江,0,0,0,0,10
海南,0,0,0,0,39
湖北,0,0,0,0,64
湖南,0,0,0,0,111
澳门,0,0,0,0,26
甘肃,0,0,0,0,17
福建,0,0,0,0,4
西藏,0,0,0,0,174
贵州,0,0,0,0,115
辽宁,0,1,0,1,11
重庆,0,0,0,0,7
陕西,0,0,0,0,5
青海,0,0,0,0,167
香港,129,173,2,42,0
黑龙江,0,0,0,0,72
