name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
上海,19,737,0,7,0.95,711,96.47
境外输入,19,395,0,0,0.00,376,95.19
青浦,0,6,0,0,0.00,6,100.00
外地来沪,0,113,0,1,0.88,112,99.12
地区待确认,0,0,0,0,0.00,0,0.00
宝山,0,22,0,1,4.55,21,95.45
嘉定,0,9,0,2,22.22,7,77.78
徐汇,0,18,0,1,5.56,17,94.44
静安,0,16,0,1,6.25,15,93.75
黄浦,0,6,0,1,16.67,5,83.33
浦东,0,61,0,0,0.00,61,100.00
境外来沪,0,1,0,0,0.00,1,100.00
崇明,0,4,0,0,0.00,4,100.00
金山,0,4,0,0,0.00,4,100.00
虹口,0,7,0,0,0.00,7,100.00
奉贤,0,9,0,0,0.00,9,100.00
杨浦,0,9,0,0,0.00,9,100.00
普陀,0,11,0,0,0.00,11,100.00
长宁,0,13,0,0,0.00,13,100.00
松江,0,14,0,0,0.00,14,100.00
闵行,0,19,0,0,0.00,19,100.00
