name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
北京,87,929,0,9,0.97,833,89.67
丰台,230,273,0,0,0.00,43,15.75
大兴,65,104,0,0,0.00,39,37.50
海淀,18,82,0,0,0.00,64,78.05
西城,6,59,0,0,0.00,53,89.83
东城,5,19,0,0,0.00,14,73.68
房山,4,20,0,0,0.00,16,80.00
门头沟,2,5,0,0,0.00,3,60.00
朝阳,2,77,0,0,0.00,75,97.40
通州,1,20,0,9,45.00,10,50.00
石景山,1,15,0,0,0.00,14,93.33
昌平,1,30,0,0,0.00,29,96.67
延庆,0,1,0,0,0.00,1,100.00
境外输入,0,174,0,0,0.00,174,100.00
外地来京,0,25,0,0,0.00,25,100.00
密云,0,7,0,0,0.00,7,100.00
顺义,0,10,0,0,0.00,10,100.00
怀柔,0,7,0,0,0.00,7,100.00
地区待确认,-248,1,0,0,0.00,249,24900.00
