name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
四川,7,603,0,3,0.50,593,98.34
境外输入,6,62,0,0,0.00,56,90.32
雅安,1,8,0,0,0.00,7,87.50
凉山,0,13,0,0,0.00,13,100.00
乐山,0,3,0,0,0.00,3,100.00
自贡,0,9,0,0,0.00,9,100.00
攀枝花,0,16,0,0,0.00,16,100.00
内江,0,22,0,0,0.00,22,100.00
泸州,0,24,0,0,0.00,24,100.00
德阳,0,18,0,0,0.00,18,100.00
绵阳,0,22,0,0,0.00,22,100.00
广元,0,6,0,0,0.00,6,100.00
成都,0,145,0,3,2.07,142,97.93
甘孜,0,78,0,0,0.00,78,100.00
阿坝,0,1,0,0,0.00,1,100.00
资阳,0,4,0,0,0.00,4,100.00
眉山,0,8,0,0,0.00,8,100.00
巴中,0,24,0,0,0.00,24,100.00
达州,0,42,0,0,0.00,42,100.00
广安,0,30,0,0,0.00,30,100.00
宜宾,0,12,0,0,0.00,12,100.00
南充,0,39,0,0,0.00,39,100.00
遂宁,0,17,0,0,0.00,17,100.00
