name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
天津,5,203,0,3,1.48,195,96.06
境外输入,5,66,0,0,0.00,61,92.42
和平区,0,6,0,0,0.00,6,100.00
宝坻区,0,60,0,2,3.33,58,96.67
河北区,0,12,0,0,0.00,12,100.00
津南区,0,2,0,0,0.00,2,100.00
南开区,0,6,0,0,0.00,6,100.00
河东区,0,15,0,1,6.67,14,93.33
宁河区,0,4,0,0,0.00,4,100.00
北辰区,0,7,0,0,0.00,7,100.00
外地来津,0,6,0,0,0.00,6,100.00
滨海新区,0,3,0,0,0.00,3,100.00
武清区,0,2,0,0,0.00,2,100.00
东丽区,0,4,0,0,0.00,4,100.00
河西区,0,4,0,0,0.00,4,100.00
西青区,0,4,0,0,0.00,4,100.00
红桥区,0,2,0,0,0.00,2,100.00
