name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
安徽,0,991,0,6,0.61,985,99.39
境外输入,0,1,0,0,0.00,1,100.00
宣城,0,6,0,0,0.00,6,100.00
池州,0,17,0,0,0.00,17,100.00
亳州,0,108,0,0,0.00,108,100.00
六安,0,69,0,0,0.00,69,100.00
宿州,0,41,0,0,0.00,41,100.00
阜阳,0,155,0,0,0.00,155,100.00
滁州,0,13,0,0,0.00,13,100.00
黄山,0,9,0,0,0.00,9,100.00
安庆,0,83,0,0,0.00,83,100.00
铜陵,0,29,0,0,0.00,29,100.00
淮北,0,27,0,0,0.00,27,100.00
马鞍山,0,38,0,0,0.00,38,100.00
淮南,0,27,0,0,0.00,27,100.00
蚌埠,0,160,0,5,3.12,155,96.88
芜湖,0,34,0,0,0.00,34,100.00
合肥,0,174,0,1,0.57,173,99.43
