name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
山东,6,798,0,7,0.88,785,98.37
境外输入,6,35,0,0,0.00,29,82.86
德州,0,37,0,2,5.41,35,94.59
济宁,0,260,0,0,0.00,260,100.00
济南,0,47,0,0,0.00,47,100.00
烟台,0,47,0,0,0.00,47,100.00
淄博,0,30,0,1,3.33,29,96.67
枣庄,0,24,0,0,0.00,24,100.00
潍坊,0,44,0,0,0.00,44,100.00
青岛,0,65,0,1,1.54,64,98.46
泰安,0,35,0,2,5.71,33,94.29
威海,0,38,0,1,2.63,37,97.37
日照,0,16,0,0,0.00,16,100.00
临沂,0,49,0,0,0.00,49,100.00
聊城,0,38,0,0,0.00,38,100.00
滨州,0,15,0,0,0.00,15,100.00
菏泽,0,18,0,0,0.00,18,100.00
