name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
广东,16,1661,0,8,0.48,1637,98.56
境外输入,16,266,0,0,0.00,250,93.98
佛山,0,89,0,0,0.00,89,100.00
广州,0,377,0,1,0.27,376,99.73
中山,0,67,0,0,0.00,67,100.00
河源,0,5,0,0,0.00,5,100.00
湛江,0,22,0,0,0.00,22,100.00
珠海,0,98,0,1,1.02,97,98.98
汕头,0,25,0,0,0.00,25,100.00
揭阳,0,10,0,0,0.00,10,100.00
江门,0,23,0,0,0.00,23,100.00
梅州,0,16,0,0,0.00,16,100.00
地区待确认,0,0,0,0,0.00,0,0.00
深圳,0,423,0,3,0.71,420,99.29
肇庆,0,19,0,1,5.26,18,94.74
东莞,0,99,0,1,1.01,98,98.99
阳江,0,14,0,0,0.00,14,100.00
惠州,0,62,0,0,0.00,62,100.00
茂名,0,14,0,0,0.00,14,100.00
韶关,0,10,0,1,10.00,9,90.00
清远,0,12,0,0,0.00,12,100.00
汕尾,0,5,0,0,0.00,5,100.00
潮州,0,5,0,0,0.00,5,100.00
