name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
河南,0,1276,0,22,1.72,1254,98.28
漯河,0,36,0,0,0.00,36,100.00
境外输入,0,3,0,0,0.00,3,100.00
地区待确认,0,0,0,0,0.00,0,0.00
周口,0,76,0,1,1.32,75,98.68
南阳,0,156,0,3,1.92,153,98.08
信阳,0,274,0,2,0.73,272,99.27
郑州,0,157,0,5,3.18,152,96.82
济源示范区,0,5,0,0,0.00,5,100.00
安阳,0,53,0,0,0.00,53,100.00
新乡,0,57,0,3,5.26,54,94.74
许昌,0,39,0,1,2.56,38,97.44
商丘,0,91,0,3,3.30,88,96.70
驻马店,0,139,0,0,0.00,139,100.00
焦作,0,32,0,1,3.12,31,96.88
开封,0,26,0,0,0.00,26,100.00
平顶山,0,58,0,1,1.72,57,98.28
洛阳,0,31,0,1,3.23,30,96.77
濮阳,0,17,0,0,0.00,17,100.00
鹤壁,0,19,0,0,0.00,19,100.00
三门峡,0,7,0,1,14.29,6,85.71
