name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
海南,0,171,0,6,3.51,165,96.49
境外输入,0,2,0,0,0.00,2,100.00
三亚,0,55,0,1,1.82,54,98.18
海口,0,39,0,0,0.00,39,100.00
儋州,0,15,0,1,6.67,14,93.33
东方,0,3,0,1,33.33,2,66.67
万宁,0,13,0,0,0.00,13,100.00
澄迈县,0,9,0,1,11.11,8,88.89
昌江县,0,7,0,0,0.00,7,100.00
保亭,0,3,0,0,0.00,3,100.00
琼海,0,6,0,1,16.67,5,83.33
临高县,0,6,0,0,0.00,6,100.00
陵水县,0,4,0,0,0.00,4,100.00
乐东,0,2,0,0,0.00,2,100.00
文昌,0,3,0,0,0.00,3,100.00
定安县,0,3,0,1,33.33,2,66.67
琼中县,0,1,0,0,0.00,1,100.00
