name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
湖北,0,68135,0,4512,6.62,63623,93.38
荆门,0,928,0,41,4.42,887,95.58
宜昌,0,931,0,37,3.97,894,96.03
荆州,0,1580,0,52,3.29,1528,96.71
武汉,0,50340,0,3869,7.69,46471,92.31
十堰,0,672,0,8,1.19,664,98.81
孝感,0,3518,0,129,3.67,3389,96.33
仙桃,0,575,0,22,3.83,553,96.17
黄石,0,1015,0,39,3.84,976,96.16
恩施州,0,252,0,7,2.78,245,97.22
襄阳,0,1175,0,40,3.40,1135,96.60
鄂州,0,1394,0,59,4.23,1335,95.77
天门,0,496,0,15,3.02,481,96.98
潜江,0,198,0,9,4.55,189,95.45
神农架,0,11,0,0,0.00,11,100.00
随州,0,1307,0,45,3.44,1262,96.56
咸宁,0,836,0,15,1.79,821,98.21
黄冈,0,2907,0,125,4.30,2782,95.70
