name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
重庆,1,583,0,6,1.03,576,98.80
境外输入,1,7,0,0,0.00,6,85.71
涪陵区,0,5,0,0,0.00,5,100.00
綦江区,0,23,0,0,0.00,23,100.00
长寿区,0,22,0,0,0.00,22,100.00
大足区,0,14,0,0,0.00,14,100.00
沙坪坝区,0,9,0,0,0.00,9,100.00
九龙坡区,0,21,0,1,4.76,20,95.24
江北区,0,28,0,0,0.00,28,100.00
丰都县,0,10,0,0,0.00,10,100.00
潼南区,0,18,0,0,0.00,18,100.00
铜梁区,0,10,0,0,0.00,10,100.00
南岸区,0,15,0,0,0.00,15,100.00
万州区,0,118,0,4,3.39,114,96.61
两江新区,0,17,0,0,0.00,17,100.00
巴南区,0,6,0,0,0.00,6,100.00
石柱县,0,15,0,0,0.00,15,100.00
渝中区,0,20,0,0,0.00,20,100.00
垫江县,0,20,0,0,0.00,20,100.00
云阳县,0,25,0,0,0.00,25,100.00
奉节县,0,22,0,0,0.00,22,100.00
荣昌区,0,9,0,0,0.00,9,100.00
渝北区,0,17,0,0,0.00,17,100.00
彭水县,0,2,0,0,0.00,2,100.00
忠县,0,21,0,0,0.00,21,100.00
开州区,0,21,0,1,4.76,20,95.24
合川区,0,23,0,0,0.00,23,100.00
巫溪县,0,14,0,0,0.00,14,100.00
大渡口区,0,7,0,0,0.00,7,100.00
巫山县,0,10,0,0,0.00,10,100.00
万盛经开区,0,1,0,0,0.00,1,100.00
璧山区,0,9,0,0,0.00,9,100.00
酉阳县,0,1,0,0,0.00,1,100.00
高新区,0,4,0,0,0.00,4,100.00
永川区,0,5,0,0,0.00,5,100.00
江津区,0,4,0,0,0.00,4,100.00
武隆区,0,1,0,0,0.00,1,100.00
梁平区,0,4,0,0,0.00,4,100.00
城口县,0,2,0,0,0.00,2,100.00
黔江区,0,2,0,0,0.00,2,100.00
秀山县,0,1,0,0,0.00,1,100.00
