name,nowConfirm,confirm,suspect,dead,deadRate,heal,healRate
黑龙江,0,947,0,13,1.37,934,98.63
地区待确认,0,2,0,0,0.00,2,100.00
哈尔滨,0,264,0,4,1.52,260,98.48
境外输入,0,386,0,0,0.00,386,100.00
牡丹江,0,25,0,0,0.00,25,100.00
大庆,0,27,0,1,3.70,26,96.30
齐齐哈尔,0,43,0,1,2.33,42,97.67
大兴安岭,0,3,0,0,0.00,3,100.00
黑河,0,14,0,0,0.00,14,100.00
双鸭山,0,52,0,3,5.77,49,94.23
绥化,0,47,0,4,8.51,43,91.49
鹤岗,0,5,0,0,0.00,5,100.00
七台河,0,17,0,0,0.00,17,100.00
鸡西,0,46,0,0,0.00,46,100.00
伊春,0,1,0,0,0.00,1,100.00
佳木斯,0,15,0,0,0.00,15,100.00
