date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
02.03,中国,上海,203,1,10,10,,,,,0,0,0,
02.06,中国,上海,257,1,25,14,,,,,14,15,0,
02.07,中国,上海,277,1,30,20,,,,,20,5,0,
02.08,中国,上海,286,1,41,9,,,,,9,11,0,
02.09,中国,上海,293,1,44,7,,,,,7,3,0,
02.10,中国,上海,302,1,48,7,,,,,7,4,0,
02.11,中国,上海,306,1,53,4,,,,,4,5,0,
02.12,中国,上海,313,1,57,7,,,,,7,4,0,
02.13,中国,上海,319,1,62,6,,,,,6,5,0,
02.14,中国,上海,326,1,90,8,,,,,8,28,0,
02.15,中国,上海,328,1,124,2,,,,,2,34,0,
02.16,中国,上海,331,1,140,3,,,,,3,16,0,
02.17,中国,上海,333,1,161,2,,,,,2,21,0,
02.18,中国,上海,333,1,177,0,,,,,0,16,0,
02.19,中国,上海,333,2,186,0,,,,,0,9,1,
02.20,中国,上海,334,2,199,1,,,,,1,13,0,
02.21,中国,上海,334,3,211,0,,,,,0,12,1,
02.22,中国,上海,335,3,227,1,,,,,1,16,0,
02.23,中国,上海,335,3,249,0,,,,,0,22,0,
02.24,中国,上海,335,3,261,0,,,,,0,12,0,
02.25,中国,上海,336,3,268,0,,,,,0,7,0,
02.26,中国,上海,337,3,272,1,,,,,1,4,0,
02.27,中国,上海,337,3,276,0,,,,,0,4,0,
02.28,中国,上海,337,3,279,0,,,,,0,3,0,
02.29,中国,上海,337,3,287,0,,,,,0,8,0,
03.01,中国,上海,337,3,292,0,,,,,0,5,0,
03.02,中国,上海,338,3,294,1,,,,,1,2,0,
03.03,中国,上海,338,3,298,0,,,,,0,4,0,
03.04,中国,上海,339,3,303,1,,,,,1,5,0,
03.05,中国,上海,342,3,306,3,,,,,3,3,0,
03.06,中国,上海,342,3,313,0,,,,,0,7,0,
03.07,中国,上海,342,3,314,0,,,,,0,1,0,
03.08,中国,上海,342,3,315,0,,,,,0,1,0,
03.09,中国,上海,344,3,319,2,,,,,2,4,0,
03.10,中国,上海,344,3,320,0,,,,,0,1,0,
03.11,中国,上海,344,3,321,0,,,,,0,1,0,
03.12,中国,上海,346,3,324,2,,,,,2,3,0,
03.13,中国,上海,350,3,324,4,,,,,4,0,0,3月12日12至24时，上海市新增2例确诊病例，均为境外输入型病例，其中1例为意大利输入病例，1例为美国输入病例。
03.14,中国,上海,353,3,324,3,,,,,3,0,0,上海新增2例境外输入型新型冠状病毒肺炎确诊病例，累计确诊14例。
03.15,中国,上海,355,3,325,2,,,,,2,1,0,3月14日12—24时，上海新增1例境外输入型确诊病例，境外输入确诊人员总计15例。
03.16,中国,上海,358,3,325,3,,,,,3,0,0,3月15日12—24时，上海新增2例境外输入型确诊病例，境外输入确诊人员总计17例。
03.17,中国,上海,361,3,325,3,,,,,3,0,0,截至3月16日24时，累计报告境外输入性确诊病例20例。
03.18,中国,上海,368,3,326,8,,,,,8,1,0,截至3月17日24时，累计报告境外输入性确诊病例23例。
03.19,中国,上海,371,3,326,8,,,,,8,0,0,截至3月18日24时，累计报告境外输入性确诊病例25例。
03.20,中国,上海,380,3,326,9,,,,,9,0,0,上海累计报告境外输入性确诊病例33例。
03.21,中国,上海,394,3,328,14,,,,,14,2,0,上海累计报告境外输入性确诊病例42例。
03.22,中国,上海,404,4,328,10,,,,,10,0,1,上海累计报告境外输入性确诊病例56例。
03.23,中国,上海,414,4,329,10,,,,,10,1,0,上海累计报告境外输入性确诊病例66例。
03.24,中国,上海,433,5,330,19,,,,,19,1,1,上海累计报告境外输入性确诊病例75例。
