date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.29,中国,云南,70,0,0,19,,,,,0,0,0,
01.30,中国,云南,80,0,0,10,,,,,10,0,0,
01.31,中国,云南,91,0,1,11,,,,,11,1,0,
02.01,中国,云南,99,0,1,8,,,,,8,0,0,
02.02,中国,云南,109,0,3,10,,,,,10,2,0,
02.03,中国,云南,117,0,5,8,,,,,8,2,0,
02.04,中国,云南,122,0,5,3,,,,,3,0,0,
02.05,中国,云南,128,0,5,6,,,,,6,0,0,
02.06,中国,云南,133,0,6,9,,,,,9,1,0,
02.07,中国,云南,136,0,13,3,,,,,3,7,0,
02.08,中国,云南,138,0,17,2,,,,,2,4,0,
02.09,中国,云南,141,0,18,3,,,,,3,1,0,
02.10,中国,云南,149,0,19,8,,,,,8,1,0,
02.11,中国,云南,154,0,20,5,,,,,5,1,0,
02.12,中国,云南,155,0,23,1,,,,,1,3,0,
02.13,中国,云南,162,0,27,7,,,,,7,4,0,
02.14,中国,云南,162,0,35,7,,,,,7,8,0,
02.15,中国,云南,169,0,42,1,,,,,1,7,0,
02.16,中国,云南,171,0,42,2,,,,,2,0,0,
02.17,中国,云南,172,0,47,1,,,,,1,5,0,
02.18,中国,云南,173,0,57,1,,,,,1,10,0,
02.19,中国,云南,173,1,60,0,,,,,0,3,1,
02.20,中国,云南,172,2,79,-1,,,,,-1,19,1,
02.21,中国,云南,174,2,107,0,,,,,0,28,0,
02.22,中国,云南,174,2,115,0,,,,,0,8,0,
02.23,中国,云南,174,2,115,0,,,,,0,0,0,
02.24,中国,云南,174,2,124,0,,,,,0,9,0,
02.25,中国,云南,174,2,144,0,,,,,0,20,0,
02.26,中国,云南,174,2,144,0,,,,,0,0,0,
02.27,中国,云南,174,2,150,0,,,,,0,6,0,
02.28,中国,云南,174,2,156,0,,,,,0,6,0,
02.29,中国,云南,174,2,163,0,,,,,0,7,0,
03.01,中国,云南,174,2,163,0,,,,,0,0,0,
03.01,中国,云南,174,2,163,0,,,,,0,0,0,
03.02,中国,云南,174,2,168,0,,,,,0,5,0,
03.03,中国,云南,174,2,169,0,,,,,0,1,0,
03.04,中国,云南,174,2,169,0,,,,,0,0,0,
03.05,中国,云南,174,2,169,0,,,,,0,0,0,
03.06,中国,云南,174,2,170,0,,,,,0,1,0,
03.07,中国,云南,174,2,170,0,,,,,0,0,0,
03.08,中国,云南,174,2,170,0,,,,,0,0,0,
03.09,中国,云南,174,2,170,0,,,,,0,0,0,
03.10,中国,云南,174,2,170,0,,,,,0,0,0,
03.11,中国,云南,174,2,170,0,,,,,0,0,0,
03.12,中国,云南,174,2,170,0,,,,,0,0,0,
03.13,中国,云南,174,2,170,0,,,,,0,0,0,
03.14,中国,云南,174,2,172,0,,,,,0,2,0,
