date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.26,中国,内蒙古,11,0,0,4,,,,,0,0,0,
01.27,中国,内蒙古,13,0,0,2,,,,,2,0,0,
01.28,中国,内蒙古,16,0,0,3,,,,,3,0,0,
01.29,中国,内蒙古,18,0,0,2,,,,,2,0,0,
01.30,中国,内蒙古,20,0,0,2,,,,,2,0,0,
01.31,中国,内蒙古,23,0,1,3,,,,,3,1,0,
02.01,中国,内蒙古,27,0,1,4,,,,,4,0,0,
02.02,中国,内蒙古,34,0,1,7,,,,,7,0,0,
02.03,中国,内蒙古,35,0,1,1,,,,,1,0,0,
02.04,中国,内蒙古,42,0,1,7,,,,,7,0,0,
02.05,中国,内蒙古,44,0,3,2,,,,,2,2,0,
02.06,中国,内蒙古,46,0,4,2,,,,,2,1,0,
02.07,中国,内蒙古,50,0,5,4,,,,,4,1,0,
02.08,中国,内蒙古,52,0,5,2,,,,,2,0,0,
02.09,中国,内蒙古,54,0,5,2,,,,,2,0,0,
02.10,中国,内蒙古,58,0,5,0,,,,,0,0,0,
02.11,中国,内蒙古,60,0,5,2,,,,,2,0,0,
02.12,中国,内蒙古,61,0,6,1,,,,,1,1,0,
02.13,中国,内蒙古,65,0,6,4,,,,,4,0,0,
02.14,中国,内蒙古,65,0,6,4,,,,,4,0,0,
02.15,中国,内蒙古,70,0,7,2,,,,,2,1,0,
02.16,中国,内蒙古,72,0,8,2,,,,,2,1,0,
02.17,中国,内蒙古,73,0,8,1,,,,,1,0,0,
02.18,中国,内蒙古,75,0,9,2,,,,,2,1,0,
02.19,中国,内蒙古,75,0,11,0,,,,,0,2,0,
02.20,中国,内蒙古,75,0,16,0,,,,,0,5,0,
02.21,中国,内蒙古,75,0,22,0,,,,,0,6,0,
02.22,中国,内蒙古,75,0,26,0,,,,,0,4,0,
02.23,中国,内蒙古,75,0,30,0,,,,,0,4,0,
02.24,中国,内蒙古,75,0,34,0,,,,,0,4,0,
02.25,中国,内蒙古,75,0,34,0,,,,,0,0,0,
02.26,中国,内蒙古,75,0,38,0,,,,,0,4,0,
02.27,中国,内蒙古,75,0,43,0,,,,,0,5,0,
02.28,中国,内蒙古,75,0,46,0,,,,,0,3,0,
02.29,中国,内蒙古,75,0,51,0,,,,,0,5,0,
03.01,中国,内蒙古,75,0,51,0,,,,,0,0,0,
03.02,中国,内蒙古,75,0,54,0,,,,,0,3,0,
03.03,中国,内蒙古,75,1,59,0,,,,,0,5,1,
03.04,中国,内蒙古,75,1,63,0,,,,,0,4,0,
03.05,中国,内蒙古,75,1,63,0,,,,,0,0,0,
03.06,中国,内蒙古,75,1,65,0,,,,,0,2,0,
03.07,中国,内蒙古,75,1,68,0,,,,,0,3,0,
03.08,中国,内蒙古,75,1,70,0,,,,,0,2,0,
03.09,中国,内蒙古,75,1,70,0,,,,,0,0,0,
03.10,中国,内蒙古,75,1,70,0,,,,,0,0,0,
03.11,中国,内蒙古,75,1,71,0,,,,,0,1,0,
03.12,中国,内蒙古,75,1,71,0,,,,,0,0,0,
03.13,中国,内蒙古,75,1,71,0,,,,,0,0,0,
03.14,中国,内蒙古,75,1,71,0,,,,,0,0,0,
03.15,中国,内蒙古,75,1,71,0,,,,,0,0,0,
03.16,中国,内蒙古,75,1,73,0,,,,,0,2,0,
03.17,中国,内蒙古,75,1,73,0,,,,,0,0,0,
03.18,中国,内蒙古,75,1,74,0,,,,,0,1,0,
03.19,中国,内蒙古,75,1,74,0,,,,,0,0,0,
03.20,中国,内蒙古,75,1,74,0,,,,,0,0,0,
03.21,中国,内蒙古,75,1,74,0,,,,,0,0,0,
03.22,中国,内蒙古,75,1,74,0,,,,,0,0,0,
03.23,中国,内蒙古,75,1,74,0,,,,,0,0,0,
03.24,中国,内蒙古,77,1,74,2,,,,,2,0,0,
03.25,中国,内蒙古,89,1,74,12,,,,,12,0,0,
03.26,中国,内蒙古,92,1,74,3,,,,,3,0,0,内蒙古自治区累计报告境外输入确诊病例14例。
03.27,中国,内蒙古,94,1,74,2,,,,,2,0,0,内蒙古自治区累计报告境外输入确诊病例17例。
03.28,中国,内蒙古,95,1,74,1,,,,,1,0,0,内蒙古自治区累计报告境外输入确诊病例17例。
03.29,中国,内蒙古,97,1,74,2,,,,,2,0,0,内蒙古自治区累计报告境外输入确诊病例20例。
03.30,中国,内蒙古,107,1,74,10,,,,,10,0,0,内蒙古自治区累计报告境外输入确诊病例22例。
03.31,中国,内蒙古,111,1,74,4,,,,,4,0,0,内蒙古自治区累计报告境外输入确诊病例32例。
04.01,中国,内蒙古,117,1,74,6,,,,,6,0,0,内蒙古自治区累计报告境外输入确诊病例42例。
04.02,中国,内蒙古,117,1,74,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例42例。
04.03,中国,内蒙古,117,1,74,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例42例。
04.04,中国,内蒙古,117,1,74,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例42例。
04.05,中国,内蒙古,118,1,74,1,,,,,1,0,0,内蒙古自治区累计报告境外输入确诊病例42例。
04.06,中国,内蒙古,121,1,74,3,,,,,3,0,0,内蒙古自治区累计报告境外输入确诊病例43例。
04.07,中国,内蒙古,124,1,74,3,,,,,3,0,0,内蒙古自治区累计报告境外输入确诊病例46例。
04.08,中国,内蒙古,126,1,79,2,,,,,2,5,0,内蒙古自治区累计报告境外输入确诊病例49例。
04.09,中国,内蒙古,128,1,79,2,,,,,2,0,0,内蒙古自治区累计报告境外输入确诊病例51例。
04.10,中国,内蒙古,155,1,79,27,,,,,27,0,0,内蒙古自治区累计报告境外输入确诊病例80例。
04.11,中国,内蒙古,155,1,83,0,,,,,0,4,0,内蒙古自治区累计报告境外输入确诊病例80例。
04.12,中国,内蒙古,190,1,83,35,,,,,35,0,0,内蒙古自治区累计报告境外输入确诊病例115例。
04.13,中国,内蒙古,190,1,91,0,,,,,0,8,0,内蒙古自治区累计报告境外输入确诊病例115例。
04.14,中国,内蒙古,190,1,94,0,,,,,0,3,0,内蒙古自治区累计报告境外输入确诊病例115例。
04.15,中国,内蒙古,193,1,94,3,,,,,3,0,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.16,中国,内蒙古,193,1,103,0,,,,,0,9,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.17,中国,内蒙古,193,1,104,0,,,,,0,1,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.18,中国,内蒙古,193,1,104,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.19,中国,内蒙古,194,1,104,1,,,,,1,0,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.20,中国,内蒙古,194,1,108,0,,,,,0,4,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.21,中国,内蒙古,194,1,108,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.22,中国,内蒙古,194,1,108,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.23,中国,内蒙古,194,1,108,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例118例。
04.24,中国,内蒙古,197,1,114,3,,,,,3,6,0,内蒙古自治区累计报告境外输入确诊病例121例。
04.25,中国,内蒙古,198,1,121,1,,,,,1,7,0,内蒙古自治区累计报告境外输入确诊病例122例。
04.26,中国,内蒙古,198,1,129,0,,,,,0,8,0,内蒙古自治区累计报告境外输入确诊病例122例。
04.27,中国,内蒙古,199,1,145,1,,,,,1,16,0,内蒙古自治区累计报告境外输入确诊病例123例。
04.28,中国,内蒙古,199,1,146,0,,,,,0,1,0,内蒙古自治区累计报告境外输入确诊病例123例。
04.29,中国,内蒙古,200,1,150,1,,,,,1,4,0,内蒙古自治区累计报告境外输入确诊病例124例。
04.30,中国,内蒙古,201,1,152,1,,,,,1,2,0,内蒙古自治区累计报告境外输入确诊病例124例。
05.01,中国,内蒙古,201,1,154,0,,,,,0,2,0,内蒙古自治区累计报告境外输入确诊病例124例。
05.02,中国,内蒙古,201,1,154,0,,,,,0,0,0,内蒙古自治区累计报告境外输入确诊病例124例。
05.03,中国,内蒙古,201,1,156,0,,,,,0,2,0,内蒙古自治区累计报告境外输入确诊病例124例。
05.04,中国,内蒙古,201,1,160,0,,,,,0,4,0,内蒙古自治区累计报告境外输入确诊病例124例。
05.05,中国,内蒙古,201,1,167,0,,,,,0,7,0,内蒙古自治区累计报告境外输入确诊病例124例。
05.06,中国,内蒙古,201,1,171,0,,,,,0,4,0,内蒙古自治区累计报告境外输入确诊病例124例。
05.07,中国,内蒙古,201,1,172,0,,,,,0,1,0,内蒙古自治区累计报告境外输入确诊病例124例。
