date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.28,中国,北京,102,1,4,11,,,,,0,0,0,
01.29,中国,北京,111,1,4,9,,,,,9,0,0,
01.30,中国,北京,132,1,5,21,,,,,21,1,0,
01.31,中国,北京,156,1,5,24,,,,,24,0,0,
02.01,中国,北京,183,1,9,27,,,,,27,4,0,
02.02,中国,北京,212,1,12,29,,,,,29,3,0,
02.03,中国,北京,228,1,23,16,,,,,16,11,0,
02.04,中国,北京,253,1,24,25,,,,,25,1,0,
02.05,中国,北京,274,1,31,21,,,,,21,7,0,
02.06,中国,北京,297,1,33,23,,,,,23,2,0,
02.07,中国,北京,315,2,34,18,,,,,18,1,1,
02.08,中国,北京,326,2,37,11,,,,,11,3,0,
02.09,中国,北京,337,2,44,11,,,,,11,7,0,
02.10,中国,北京,342,3,48,5,,,,,5,4,1,
02.11,中国,北京,352,3,56,10,,,,,10,8,0,
02.12,中国,北京,366,3,68,14,,,,,14,12,0,
02.13,中国,北京,366,3,68,14,,,,,14,0,0,
02.14,中国,北京,372,3,79,6,,,,,6,11,0,
02.15,中国,北京,380,4,105,5,,,,,5,26,1,
02.16,中国,北京,381,4,114,1,,,,,1,9,0,
02.17,中国,北京,387,4,122,6,,,,,6,8,0,
02.18,中国,北京,393,4,145,6,,,,,6,23,0,
02.19,中国,北京,395,4,153,2,,,,,2,8,0,
02.20,中国,北京,396,4,169,1,,,,,1,16,0,
02.21,中国,北京,399,4,178,3,,,,,3,9,0,
02.22,中国,北京,399,4,189,0,,,,,0,11,0,
02.23,中国,北京,399,4,198,0,,,,,0,9,0,
02.24,中国,北京,400,4,215,1,,,,,1,17,0,
02.25,中国,北京,400,4,235,0,,,,,0,20,0,
02.26,中国,北京,410,5,248,10,,,,,10,13,1,
02.27,中国,北京,410,7,257,0,,,,,0,9,2,
02.28,中国,北京,411,8,271,1,,,,,1,14,1,
02.29,中国,北京,411,8,271,1,,,,,1,0,0,
03.01,中国,北京,414,8,282,1,,,,,1,11,0,
03.02,中国,北京,414,8,288,0,,,,,0,6,0,
03.03,中国,北京,414,8,288,0,,,,,0,0,0,
03.04,中国,北京,418,8,297,1,,,,,1,9,0,
03.05,中国,北京,422,8,298,4,,,,,4,1,0,
03.06,中国,北京,426,8,303,4,,,,,4,5,0,
03.07,中国,北京,428,8,308,2,,,,,2,5,0,
03.08,中国,北京,428,8,315,0,,,,,0,7,0,
03.09,中国,北京,429,8,320,1,,,,,1,5,0,
03.10,中国,北京,435,8,326,6,,,,,6,6,0,3月10日0时至24时，北京新增报告新冠肺炎确诊病例6例，均为境外输入病例，其中5例为意大利输入病例，1例为美国输入病例。
03.11,中国,北京,435,8,334,0,,,,,0,8,0,3月10日0时至24时，北京新增报告新冠肺炎确诊病例6例，均为境外输入病例，其中5例为意大利输入病例，1例为美国输入病例。
03.12,中国,北京,436,8,342,1,,,,,1,8,0,3月10日0时至24时，北京新增报告新冠肺炎确诊病例6例，均为境外输入病例，其中5例为意大利输入病例，1例为美国输入病例。
03.13,中国,北京,437,8,349,1,,,,,1,7,0,3月13日0时至24时，北京新增报告境外输入新冠肺炎确诊病例1例，为来自美国的境外输入病例。
03.14,中国,北京,442,8,353,5,,,,,5,4,0,3月13日0时至24时，北京新增报告境外输入新冠肺炎确诊病例1例，为来自美国的境外输入病例。
03.15,中国,北京,446,8,358,4,,,,,4,5,0,截至3月14日24时，北京累计报告境外输入确诊病例27例。
03.16,中国,北京,455,8,368,9,,,,,9,10,0,截至16日24时，累计报告境外输入确诊病例40例，治愈出院病例2例。
03.17,中国,北京,469,8,378,14,,,,,14,10,0,截至3月17日12时，累计报告境外输入确诊病例41例，治愈出院病例3例。
03.18,中国,北京,479,8,378,10,,,,,10,0,0,3月18日0时至12时，新增报告境外输入确诊病例11例，累计报告境外输入确诊病例54例，治愈出院病例5例。
03.19,中国,北京,491,8,390,11,,,,,11,12,0,北京累计报告境外输入确诊病例65例。
03.20,中国,北京,499,8,392,8,,,,,8,2,0,北京累计报告境外输入确诊病例76例
03.21,中国,北京,514,8,398,15,,,,,15,6,0,北京累计报告境外输入确诊病例97例。
03.22,中国,北京,537,8,401,25,,,,,25,3,0,北京累计报告境外输入确诊病例99例。
03.23,中国,北京,554,8,401,32,,,,,32,0,0,截至3月23日12时，累计报告境外输入确诊病例122例，治愈出院病例9例。
