date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.20,中国,台湾,0,0,0,0,,,,,0,0,0,
01.21,中国,台湾,0,0,0,0,,,,,0,0,0,
01.22,中国,台湾,1,0,0,1,,,,,1,0,0,
01.23,中国,台湾,1,0,0,0,,,,,0,0,0,
01.24,中国,台湾,3,0,0,2,,,,,2,0,0,
01.25,中国,台湾,3,0,0,0,,,,,0,0,0,
01.26,中国,台湾,4,0,0,1,,,,,1,0,0,
01.27,中国,台湾,5,0,0,1,,,,,1,0,0,
01.28,中国,台湾,8,0,0,3,,,,,3,0,0,
01.29,中国,台湾,8,0,0,0,,,,,0,0,0,
01.30,中国,台湾,9,0,0,1,,,,,1,0,0,
01.31,中国,台湾,10,0,0,1,,,,,1,0,0,
02.01,中国,台湾,10,0,0,0,,,,,0,0,0,
02.02,中国,台湾,10,0,0,0,,,,,0,0,0,
02.03,中国,台湾,10,0,0,0,,,,,0,0,0,
02.04,中国,台湾,11,0,0,1,,,,,1,0,0,
02.05,中国,台湾,11,0,0,0,,,,,0,0,0,
02.06,中国,台湾,16,0,1,5,,,,,5,1,0,
02.07,中国,台湾,16,0,1,0,,,,,0,0,0,
02.08,中国,台湾,17,0,1,1,,,,,1,0,0,
02.09,中国,台湾,18,0,1,1,,,,,1,0,0,
02.11,中国,台湾,18,0,1,0,,,,,0,0,0,
02.12,中国,台湾,18,0,1,0,,,,,0,0,0,
02.13,中国,台湾,18,0,1,0,,,,,0,0,0,
02.14,中国,台湾,18,0,1,0,,,,,0,0,0,
02.15,中国,台湾,18,0,1,0,,,,,0,0,0,
02.16,中国,台湾,20,1,2,2,,,,,2,1,1,
02.17,中国,台湾,22,1,2,2,,,,,2,0,0,
02.18,中国,台湾,22,1,2,0,,,,,0,0,0,
02.19,中国,台湾,24,1,2,2,,,,,2,0,0,
02.20,中国,台湾,24,1,2,0,,,,,0,0,0,
02.21,中国,台湾,26,1,2,2,,,,,2,0,0,
02.22,中国,台湾,26,1,2,0,,,,,0,0,0,
02.23,中国,台湾,28,1,2,2,,,,,2,0,0,
02.24,中国,台湾,30,1,5,2,,,,,2,3,0,
02.25,中国,台湾,31,1,5,1,,,,,1,0,0,
02.26,中国,台湾,32,1,5,1,,,,,1,0,0,
02.27,中国,台湾,32,1,6,0,,,,,0,1,0,
02.28,中国,台湾,34,1,9,2,,,,,2,3,0,
02.29,中国,台湾,39,1,9,2,,,,,2,0,0,
02.29,中国,台湾,39,1,9,0,,,,,0,0,0,
03.01,中国,台湾,41,1,12,1,,,,,1,3,0,
03.02,中国,台湾,41,1,12,1,,,,,1,0,0,
03.03,中国,台湾,42,1,12,1,,,,,1,0,0,
03.04,中国,台湾,42,1,12,0,,,,,0,0,0,
03.05,中国,台湾,44,1,12,2,,,,,2,0,0,
03.06,中国,台湾,45,1,12,1,,,,,1,0,0,
03.07,中国,台湾,45,1,13,0,,,,,0,1,0,
03.08,中国,台湾,45,1,15,0,,,,,0,2,0,
03.09,中国,台湾,45,1,15,0,,,,,0,0,0,
03.10,中国,台湾,47,1,17,2,,,,,2,2,0,
03.11,中国,台湾,48,1,17,1,,,,,1,0,0,
03.12,中国,台湾,49,1,20,1,,,,,1,3,0,
03.13,中国,台湾,50,1,20,1,,,,,1,0,0,
03.14,中国,台湾,53,1,20,3,,,,,3,0,0,
03.15,中国,台湾,59,1,20,6,,,,,6,0,0,
03.16,中国,台湾,67,1,22,8,,,,,8,2,0,
03.17,中国,台湾,77,1,22,10,,,,,10,0,0,
03.18,中国,台湾,100,1,22,23,,,,,23,0,0,
03.19,中国,台湾,108,1,26,8,,,,,8,4,0,
03.20,中国,台湾,135,2,28,27,,,,,27,2,1,
03.21,中国,台湾,153,2,28,18,,,,,18,0,0,
03.22,中国,台湾,195,2,28,42,,,,,42,0,0,
03.23,中国,台湾,195,2,29,26,,,,,26,1,0,
03.24,中国,台湾,216,2,29,21,,,,,21,0,0,
03.25,中国,台湾,235,2,29,19,,,,,19,0,0,
03.26,中国,台湾,252,2,29,17,,,,,17,0,0,
03.27,中国,台湾,267,2,30,15,,,,,15,1,0,
03.28,中国,台湾,283,2,30,16,,,,,16,0,0,
03.29,中国,台湾,298,3,39,15,,,,,15,9,1,
03.30,中国,台湾,306,5,39,23,,,,,23,0,2,
03.31,中国,台湾,322,5,39,24,,,,,24,0,0,
04.01,中国,台湾,329,5,45,7,,,,,7,6,0,
04.02,中国,台湾,339,5,50,10,,,,,10,5,0,
04.03,中国,台湾,348,5,50,19,,,,,19,0,0,
04.04,中国,台湾,355,5,50,7,,,,,7,0,0,
04.05,中国,台湾,363,5,54,8,,,,,8,4,0,
04.06,中国,台湾,373,5,54,10,,,,,10,0,0,
04.07,中国,台湾,376,5,61,3,,,,,3,7,0,
04.08,中国,台湾,379,5,67,3,,,,,3,6,0,
04.09,中国,台湾,380,5,80,1,,,,,1,13,0,
04.10,中国,台湾,382,6,91,2,,,,,2,11,1,
04.11,中国,台湾,385,6,99,3,,,,,3,8,0,
04.12,中国,台湾,388,6,109,3,,,,,3,10,0,
04.13,中国,台湾,393,6,124,5,,,,,5,15,0,
04.14,中国,台湾,393,6,124,0,,,,,0,0,0,
04.15,中国,台湾,395,6,137,2,,,,,2,13,0,
04.16,中国,台湾,395,6,155,2,,,,,2,18,0,
04.17,中国,台湾,395,6,166,0,,,,,0,11,0,
04.18,中国,台湾,398,6,178,3,,,,,3,12,0,
04.19,中国,台湾,420,6,189,22,,,,,22,11,0,
04.20,中国,台湾,422,6,203,2,,,,,2,14,0,
04.21,中国,台湾,426,6,236,4,,,,,4,33,0,
04.22,中国,台湾,427,6,253,2,,,,,2,17,0,
04.23,中国,台湾,427,6,253,1,,,,,1,0,0,
04.24,中国,台湾,428,6,264,2,,,,,2,11,0,
04.25,中国,台湾,429,6,275,1,,,,,1,11,0,
04.26,中国,台湾,429,6,281,0,,,,,0,6,0,
04.27,中国,台湾,429,6,290,0,,,,,0,9,0,
04.28,中国,台湾,429,6,307,0,,,,,0,17,0,
04.29,中国,台湾,429,6,311,0,,,,,0,4,0,
