date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.27,中国,吉林,8,0,0,2,,,,,0,0,0,
01.28,中国,吉林,9,0,0,1,,,,,1,0,0,
01.29,中国,吉林,14,0,0,5,,,,,5,0,0,
01.30,中国,吉林,14,0,1,0,,,,,0,1,0,
01.31,中国,吉林,17,0,1,3,,,,,3,0,0,
02.01,中国,吉林,23,0,1,6,,,,,6,0,0,
02.02,中国,吉林,31,0,1,8,,,,,8,0,0,
02.03,中国,吉林,42,0,1,11,,,,,11,0,0,
02.04,中国,吉林,54,0,1,12,,,,,12,0,0,
02.05,中国,吉林,59,0,2,5,,,,,5,1,0,
02.06,中国,吉林,65,1,4,6,,,,,6,2,1,
02.07,中国,吉林,69,1,4,4,,,,,4,0,0,
02.08,中国,吉林,78,1,5,9,,,,,9,1,0,
02.09,中国,吉林,80,1,12,2,,,,,2,7,0,
02.10,中国,吉林,81,1,13,1,,,,,1,1,0,
02.11,中国,吉林,83,1,18,2,,,,,2,5,0,
02.12,中国,吉林,83,1,18,2,,,,,2,0,0,
02.13,中国,吉林,86,1,25,2,,,,,2,7,0,
02.14,中国,吉林,88,1,25,2,,,,,2,0,0,
02.15,中国,吉林,89,1,28,1,,,,,1,3,0,
02.16,中国,吉林,89,1,30,0,,,,,0,2,0,
02.17,中国,吉林,89,1,34,0,,,,,0,4,0,
02.18,中国,吉林,90,1,36,1,,,,,1,2,0,
02.19,中国,吉林,91,1,40,1,,,,,1,4,0,
02.20,中国,吉林,91,1,44,0,,,,,0,4,0,
02.21,中国,吉林,91,1,46,0,,,,,0,2,0,
02.22,中国,吉林,91,1,52,0,,,,,0,6,0,
02.23,中国,吉林,93,1,54,2,,,,,2,2,0,
02.24,中国,吉林,93,1,60,0,,,,,0,6,0,
02.25,中国,吉林,93,1,63,0,,,,,0,3,0,
02.26,中国,吉林,93,1,65,0,,,,,0,2,0,
02.27,中国,吉林,93,1,68,0,,,,,0,3,0,
02.28,中国,吉林,93,1,73,0,,,,,0,5,0,
02.29,中国,吉林,93,1,75,0,,,,,0,2,0,
03.01,中国,吉林,93,1,78,0,,,,,0,3,0,
03.02,中国,吉林,93,1,83,0,,,,,0,5,0,
03.03,中国,吉林,93,1,84,0,,,,,0,1,0,
03.04,中国,吉林,93,1,86,0,,,,,0,2,0,
03.05,中国,吉林,93,1,88,0,,,,,0,2,0,
03.06,中国,吉林,93,1,90,0,,,,,0,2,0,
03.07,中国,吉林,93,1,90,0,,,,,0,0,0,
03.08,中国,吉林,93,1,90,0,,,,,0,0,0,
03.09,中国,吉林,93,1,91,0,,,,,0,1,0,
03.10,中国,吉林,93,1,91,0,,,,,0,0,0,
03.11,中国,吉林,93,1,91,0,,,,,0,0,0,
03.12,中国,吉林,93,1,91,0,,,,,0,0,0,
03.13,中国,吉林,93,1,91,0,,,,,0,0,0,
03.14,中国,吉林,93,1,91,0,,,,,0,0,0,
03.15,中国,吉林,93,1,92,0,,,,,0,1,0,
03.16,中国,吉林,93,1,92,0,,,,,0,0,0,
03.17,中国,吉林,93,1,92,0,,,,,0,0,0,
03.18,中国,吉林,93,1,92,0,,,,,0,0,0,
03.19,中国,吉林,93,1,92,0,,,,,0,0,0,
03.20,中国,吉林,93,1,92,0,,,,,0,0,0,
03.21,中国,吉林,93,1,92,0,,,,,0,0,0,
03.22,中国,吉林,93,1,92,0,,,,,0,0,0,
03.23,中国,吉林,93,1,92,0,,,,,0,0,0,
03.24,中国,吉林,94,1,92,1,,,,,1,0,0,
03.25,中国,吉林,95,1,92,1,,,,,1,0,0, 3月24日0-24时，吉林新增境外输入确诊病例1例（长春市）。
03.26,中国,吉林,95,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例2例。
03.27,中国,吉林,97,1,92,2,,,,,2,0,0,吉林累计报告境外输入确诊病例2例。
03.28,中国,吉林,98,1,92,1,,,,,1,0,0,吉林累计报告境外输入确诊病例4例。
03.29,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
03.30,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
03.31,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.01,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.02,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.03,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.04,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.05,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.06,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.07,中国,吉林,98,1,92,0,,,,,0,0,0,吉林累计报告境外输入确诊病例5例。
04.08,中国,吉林,98,1,93,0,,,,,0,1,0,吉林累计报告境外输入确诊病例5例。
04.09,中国,吉林,98,1,95,0,,,,,0,2,0,吉林累计报告境外输入确诊病例5例。
04.10,中国,吉林,98,1,96,0,,,,,0,1,0,吉林累计报告境外输入确诊病例5例。
04.11,中国,吉林,99,1,96,1,,,,,1,0,0,吉林累计报告境外输入确诊病例6例。
04.12,中国,吉林,100,1,96,1,,,,,1,0,0,吉林累计报告境外输入确诊病例6例。
04.13,中国,吉林,100,1,96,0,,,,,0,0,0,吉林累计报告境外输入确诊病例7例。
04.14,中国,吉林,102,1,96,2,,,,,2,0,0,吉林累计报告境外输入确诊病例9例。
04.15,中国,吉林,102,1,96,0,,,,,0,0,0,吉林累计报告境外输入确诊病例9例。
04.16,中国,吉林,102,1,97,0,,,,,0,1,0,吉林累计报告境外输入确诊病例9例。
04.17,中国,吉林,102,1,97,0,,,,,0,0,0,吉林累计报告境外输入确诊病例9例。
04.18,中国,吉林,104,1,97,2,,,,,2,0,0,吉林累计报告境外输入确诊病例11例。
04.19,中国,吉林,104,1,97,0,,,,,0,0,0,吉林累计报告境外输入确诊病例11例。
04.20,中国,吉林,106,1,97,2,,,,,2,0,0,吉林累计报告境外输入确诊病例13例。
04.21,中国,吉林,106,1,98,0,,,,,0,1,0,吉林累计报告境外输入确诊病例13例。
04.22,中国,吉林,107,1,98,1,,,,,1,0,0,吉林累计报告境外输入确诊病例14例。
04.23,中国,吉林,108,1,99,1,,,,,1,1,0,吉林累计报告境外输入确诊病例15例。
04.24,中国,吉林,109,1,99,1,,,,,1,0,0,吉林累计报告境外输入确诊病例16例。
04.25,中国,吉林,109,1,99,0,,,,,0,0,0,吉林累计报告境外输入确诊病例16例。
04.26,中国,吉林,110,1,99,1,,,,,1,0,0,吉林累计报告境外输入确诊病例17例。
04.27,中国,吉林,110,1,99,0,,,,,0,0,0,吉林累计报告境外输入确诊病例17例。
04.28,中国,吉林,110,1,99,0,,,,,0,0,0,吉林累计报告境外输入确诊病例17例。
04.29,中国,吉林,111,1,99,1,,,,,1,0,0,吉林累计报告境外输入确诊病例18例。
04.30,中国,吉林,111,1,101,0,,,,,0,2,0,吉林累计报告境外输入确诊病例18例。
05.01,中国,吉林,112,1,102,1,,,,,1,1,0,吉林累计报告境外输入确诊病例19例。
05.02,中国,吉林,112,1,103,0,,,,,0,1,0,吉林累计报告境外输入确诊病例19例。
05.03,中国,吉林,112,1,103,0,,,,,0,0,0,吉林累计报告境外输入确诊病例19例。
05.04,中国,吉林,112,1,103,0,,,,,0,0,0,吉林累计报告境外输入确诊病例19例。
05.05,中国,吉林,112,1,103,0,,,,,0,0,0,吉林累计报告境外输入确诊病例19例。
05.06,中国,吉林,112,1,103,0,,,,,0,0,0,吉林累计报告境外输入确诊病例19例。
05.07,中国,吉林,113,1,104,1,,,,,1,1,0,吉林累计报告境外输入确诊病例19例。
