date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.27,中国,四川,90,0,0,21,,,,,0,0,0,
01.28,中国,四川,108,0,0,18,,,,,18,0,0,
01.29,中国,四川,142,1,1,34,,,,,34,1,1,
01.30,中国,四川,177,1,1,36,,,,,36,0,0,
01.31,中国,四川,207,1,3,30,,,,,30,2,0,
02.01,中国,四川,231,1,3,24,,,,,24,0,0,
02.02,中国,四川,254,1,12,23,,,,,23,9,0,
02.03,中国,四川,282,1,14,28,,,,,28,2,0,
02.04,中国,四川,301,1,23,19,,,,,19,9,0,
02.05,中国,四川,321,1,27,20,,,,,20,4,0,
02.06,中国,四川,344,1,37,23,,,,,23,10,0,
02.07,中国,四川,363,1,50,19,,,,,19,13,0,
02.08,中国,四川,386,1,60,23,,,,,23,10,0,
02.09,中国,四川,405,1,76,19,,,,,19,16,0,
02.10,中国,四川,417,1,82,12,,,,,12,6,0,
02.11,中国,四川,436,1,85,19,,,,,19,3,0,
02.12,中国,四川,451,1,93,15,,,,,15,8,0,
02.13,中国,四川,463,1,105,12,,,,,12,12,0,
02.14,中国,四川,470,1,115,7,,,,,7,10,0,
02.15,中国,四川,481,3,127,11,,,,,11,12,2,
02.16,中国,四川,495,3,136,14,,,,,14,9,0,
02.17,中国,四川,508,3,163,13,,,,,13,27,0,
02.18,中国,四川,514,3,177,6,,,,,6,14,0,
02.19,中国,四川,520,3,198,6,,,,,6,21,0,
02.20,中国,四川,525,3,222,5,,,,,5,24,0,
02.21,中国,四川,526,3,242,1,,,,,1,20,0,
02.22,中国,四川,526,3,256,1,,,,,1,14,0,
02.23,中国,四川,527,3,263,1,,,,,1,7,0,
02.24,中国,四川,529,3,278,2,,,,,2,15,0,
02.25,中国,四川,531,3,292,2,,,,,2,14,0,
02.26,中国,四川,534,3,310,3,,,,,3,18,0,
02.27,中国,四川,538,3,326,4,,,,,4,16,0,
02.28,中国,四川,538,3,350,0,,,,,0,24,0,
02.29,中国,四川,538,3,363,0,,,,,0,13,0,
03.01,中国,四川,538,3,378,0,,,,,0,15,0,
