date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.26,中国,天津,14,0,0,4,,,,,0,0,0,
01.27,中国,天津,23,0,0,9,,,,,9,0,0,
01.28,中国,天津,24,0,0,1,,,,,1,0,0,
01.29,中国,天津,27,0,0,3,,,,,3,0,0,
01.30,中国,天津,31,0,0,4,,,,,4,0,0,
01.31,中国,天津,32,0,0,1,,,,,1,0,0,
02.01,中国,天津,41,0,0,9,,,,,9,0,0,
02.02,中国,天津,48,0,1,7,,,,,7,1,0,
02.03,中国,天津,60,0,1,12,,,,,12,0,0,
02.04,中国,天津,67,0,2,7,,,,,7,1,0,
02.05,中国,天津,69,0,2,2,,,,,2,0,0,
02.06,中国,天津,79,1,2,10,,,,,10,0,1,
02.07,中国,天津,81,1,2,2,,,,,2,0,0,
02.08,中国,天津,88,1,4,7,,,,,7,2,0,
02.09,中国,天津,91,1,4,3,,,,,3,0,0,
02.10,中国,天津,95,2,8,4,,,,,4,4,1,
02.11,中国,天津,107,2,10,12,,,,,12,2,0,
02.12,中国,天津,113,2,11,7,,,,,7,1,0,
02.13,中国,天津,119,3,21,7,,,,,7,10,1,
02.14,中国,天津,120,3,32,1,,,,,1,11,0,
02.15,中国,天津,122,3,37,2,,,,,2,5,0,
02.16,中国,天津,125,3,45,3,,,,,3,8,0,
02.17,中国,天津,127,3,46,3,,,,,3,1,0,
02.18,中国,天津,128,3,48,3,,,,,3,2,0,
02.19,中国,天津,130,3,54,2,,,,,2,6,0,
02.20,中国,天津,131,3,59,1,,,,,1,5,0,
02.21,中国,天津,133,3,62,2,,,,,2,3,0,
02.22,中国,天津,135,3,65,4,,,,,4,3,0,
02.23,中国,天津,135,3,87,0,,,,,0,22,0,
02.24,中国,天津,135,3,87,0,,,,,0,0,0,
02.25,中国,天津,135,3,91,0,,,,,0,4,0,
02.26,中国,天津,135,3,96,0,,,,,0,5,0,
02.27,中国,天津,136,3,105,1,,,,,1,9,0,
02.28,中国,天津,136,3,105,1,,,,,1,0,0,
02.29,中国,天津,136,3,109,0,,,,,0,4,0,
03.01,中国,天津,136,3,111,0,,,,,0,2,0,
03.02,中国,天津,136,3,118,0,,,,,0,7,0,
03.03,中国,天津,136,3,124,0,,,,,0,6,0,
03.04,中国,天津,136,3,128,0,,,,,0,4,0,
03.05,中国,天津,136,3,128,0,,,,,0,0,0,
03.07,中国,天津,136,3,129,0,,,,,0,1,0,
03.08,中国,天津,136,3,130,0,,,,,0,1,0,
03.09,中国,天津,136,3,130,0,,,,,0,0,0,
03.10,中国,天津,136,3,131,0,,,,,0,1,0,
03.11,中国,天津,136,3,132,0,,,,,0,1,0,
03.12,中国,天津,136,3,132,0,,,,,0,0,0,
03.13,中国,天津,136,3,132,0,,,,,0,0,0,
03.14,中国,天津,136,3,132,0,,,,,0,0,0,
03.15,中国,天津,136,3,133,0,,,,,0,1,0,
03.16,中国,天津,136,3,133,0,,,,,0,0,0,
03.17,中国,天津,136,3,133,0,,,,,0,0,0,
03.18,中国,天津,136,3,133,0,,,,,0,0,0,
03.19,中国,天津,137,3,133,1,,,,,1,0,0,红桥区境外输入病例1例。
03.20,中国,天津,137,3,133,0,,,,,0,0,0,红桥区境外输入病例1例。
03.21,中国,天津,137,3,133,0,,,,,0,0,0,红桥区境外输入病例1例。
03.22,中国,天津,141,3,133,4,,,,,4,0,0,天津市累计报告境外输入确诊病例5例。
03.23,中国,天津,142,3,133,1,,,,,1,0,0,天津市累计报告境外输入确诊病例6例。
03.24,中国,天津,145,3,133,4,,,,,4,0,0,天津市累计报告境外输入确诊病例9例。
03.25,中国,天津,151,3,133,4,,,,,4,0,0,天津市累计报告境外输入确诊病例11例。
03.26,中国,天津,152,3,133,5,,,,,5,0,0,天津市累计报告境外输入确诊病例15例。
03.27,中国,天津,156,3,133,4,,,,,4,0,0,天津市累计报告境外输入确诊病例20例。
03.28,中国,天津,163,3,133,7,,,,,7,0,0,天津市累计报告境外输入确诊病例25例。
03.29,中国,天津,166,3,133,3,,,,,3,0,0,天津市累计报告境外输入确诊病例30例。
03.30,中国,天津,174,3,133,8,,,,,8,0,0,天津市累计报告境外输入确诊病例38例。
03.31,中国,天津,174,3,135,0,,,,,0,2,0,天津市累计报告境外输入确诊病例38例。
04.01,中国,天津,176,3,135,2,,,,,2,0,0,天津市累计报告境外输入确诊病例40例。
04.02,中国,天津,177,3,140,1,,,,,1,5,0,天津市累计报告境外输入确诊病例41例。
04.03,中国,天津,180,3,140,3,,,,,3,0,0,天津市累计报告境外输入确诊病例44例。
04.04,中国,天津,180,3,144,0,,,,,0,4,0,天津市累计报告境外输入确诊病例44例。
04.05,中国,天津,180,3,144,0,,,,,0,0,0,天津市累计报告境外输入确诊病例44例。
04.06,中国,天津,180,3,151,0,,,,,0,7,0,天津市累计报告境外输入确诊病例44例。
04.07,中国,天津,180,3,152,0,,,,,0,1,0,天津市累计报告境外输入确诊病例44例。
04.08,中国,天津,181,3,152,1,,,,,1,0,0,天津市累计报告境外输入确诊病例45例。
04.09,中国,天津,182,3,154,1,,,,,1,2,0,天津市累计报告境外输入确诊病例46例。
04.10,中国,天津,183,3,158,1,,,,,1,4,0,天津市累计报告境外输入确诊病例47例。
04.11,中国,天津,183,3,161,0,,,,,0,3,0,天津市累计报告境外输入确诊病例47例。
04.12,中国,天津,184,3,161,1,,,,,1,0,0,天津市累计报告境外输入确诊病例48例。
04.13,中国,天津,184,3,164,0,,,,,0,3,0,天津市累计报告境外输入确诊病例48例。
04.14,中国,天津,185,3,168,1,,,,,1,4,0,天津市累计报告境外输入确诊病例49例。
