date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.22,中国,宁夏,1,0,0,0,,,,,0,0,0,
01.23,中国,宁夏,2,0,0,1,,,,,1,0,0,
01.24,中国,宁夏,3,0,0,1,,,,,1,0,0,
01.25,中国,宁夏,4,0,0,1,,,,,1,0,0,
01.26,中国,宁夏,7,0,0,3,,,,,3,0,0,
01.27,中国,宁夏,11,0,0,4,,,,,4,0,0,
01.28,中国,宁夏,12,0,0,1,,,,,1,0,0,
01.30,中国,宁夏,21,0,0,4,,,,,4,0,0,
01.31,中国,宁夏,26,0,0,5,,,,,5,0,0,
02.01,中国,宁夏,28,0,0,2,,,,,2,0,0,
02.02,中国,宁夏,31,0,0,3,,,,,3,0,0,
02.03,中国,宁夏,34,0,0,3,,,,,3,0,0,
02.04,中国,宁夏,34,0,1,0,,,,,0,1,0,
02.05,中国,宁夏,40,0,1,6,,,,,6,0,0,
02.06,中国,宁夏,43,0,1,3,,,,,3,0,0,
02.07,中国,宁夏,45,0,5,2,,,,,2,4,0,
02.08,中国,宁夏,45,0,13,1,,,,,1,8,0,
02.09,中国,宁夏,49,0,13,4,,,,,4,0,0,
02.10,中国,宁夏,53,0,14,4,,,,,4,1,0,
02.11,中国,宁夏,58,0,22,5,,,,,5,8,0,
02.12,中国,宁夏,64,0,24,6,,,,,6,2,0,
02.13,中国,宁夏,67,0,24,3,,,,,3,0,0,
02.14,中国,宁夏,70,0,27,3,,,,,3,3,0,
02.15,中国,宁夏,70,0,33,0,,,,,0,6,0,
02.16,中国,宁夏,70,0,33,0,,,,,0,0,0,
02.17,中国,宁夏,70,0,35,0,,,,,0,2,0,
02.18,中国,宁夏,71,0,42,1,,,,,1,7,0,
02.19,中国,宁夏,71,0,42,0,,,,,0,0,0,
02.20,中国,宁夏,71,0,44,0,,,,,0,2,0,
02.21,中国,宁夏,71,0,48,0,,,,,0,4,0,
02.23,中国,宁夏,71,0,57,0,,,,,0,9,0,
02.24,中国,宁夏,71,0,58,0,,,,,0,1,0,
02.25,中国,宁夏,71,0,58,0,,,,,0,0,0,
02.26,中国,宁夏,72,0,65,1,,,,,1,7,0,
02.27,中国,宁夏,72,0,68,0,,,,,0,3,0,
02.28,中国,宁夏,73,0,68,1,,,,,1,0,0,
02.29,中国,宁夏,73,0,69,0,,,,,0,1,0,
03.01,中国,宁夏,74,0,69,1,,,,,1,0,0,
03.02,中国,宁夏,74,0,69,0,,,,,0,0,0,
03.03,中国,宁夏,75,0,69,1,,,,,1,0,0,
03.04,中国,宁夏,75,0,69,0,,,,,0,0,0,
03.05,中国,宁夏,75,0,69,0,,,,,0,0,0,
03.06,中国,宁夏,75,0,71,0,,,,,0,2,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.07,中国,宁夏,75,0,71,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.08,中国,宁夏,75,0,71,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.09,中国,宁夏,75,0,71,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.10,中国,宁夏,75,0,71,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.11,中国,宁夏,75,0,71,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.12,中国,宁夏,75,0,72,0,,,,,0,1,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.13,中国,宁夏,75,0,72,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.14,中国,宁夏,75,0,73,0,,,,,0,1,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.15,中国,宁夏,75,0,73,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.16,中国,宁夏,75,0,75,0,,,,,0,2,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.17,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.18,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.19,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含2名境外输入型病例。
03.20,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.21,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.22,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.23,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.24,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.25,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.26,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.27,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.28,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.29,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.30,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
03.31,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
04.01,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
04.02,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
04.03,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
04.04,中国,宁夏,75,0,75,0,,,,,0,0,0,宁夏累计确诊病例中包含3名境外输入型病例。
