date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.23,中国,安徽,15,0,0,0,,,,,0,0,0,
01.24,中国,安徽,39,0,0,24,,,,,24,0,0,
01.25,中国,安徽,60,0,0,21,,,,,21,0,0,
01.26,中国,安徽,70,0,0,10,,,,,10,0,0,
01.27,中国,安徽,106,0,0,36,,,,,36,0,0,
01.28,中国,安徽,152,0,0,46,,,,,46,0,0,
01.29,中国,安徽,200,0,2,48,,,,,48,2,0,
01.30,中国,安徽,237,0,3,37,,,,,37,1,0,
01.31,中国,安徽,297,0,3,60,,,,,60,0,0,
02.01,中国,安徽,340,0,5,43,,,,,43,2,0,
02.02,中国,安徽,408,0,7,68,,,,,68,2,0,
02.03,中国,安徽,480,0,14,72,,,,,72,7,0,
02.04,中国,安徽,530,0,20,50,,,,,50,6,0,
02.05,中国,安徽,591,0,23,61,,,,,61,3,0,
02.06,中国,安徽,665,0,34,74,,,,,74,11,0,
02.07,中国,安徽,733,0,47,68,,,,,68,13,0,
02.08,中国,安徽,779,1,59,46,,,,,46,12,1,
02.09,中国,安徽,830,3,73,51,,,,,51,14,2,
02.10,中国,安徽,860,4,88,30,,,,,30,15,1,
02.11,中国,安徽,889,4,108,29,,,,,29,20,0,
02.12,中国,安徽,910,5,128,22,,,,,22,20,1,
02.13,中国,安徽,934,6,166,24,,,,,24,38,1,
02.14,中国,安徽,934,6,196,24,,,,,24,30,0,
02.15,中国,安徽,962,6,232,12,,,,,12,36,0,
02.16,中国,安徽,973,6,293,11,,,,,11,61,0,
02.17,中国,安徽,982,6,361,9,,,,,9,68,0,
02.18,中国,安徽,986,6,424,4,,,,,4,63,0,
02.19,中国,安徽,987,6,500,1,,,,,1,76,0,
02.20,中国,安徽,988,6,500,1,,,,,1,0,0,
02.21,中国,安徽,989,6,620,1,,,,,1,120,0,
02.22,中国,安徽,989,6,648,1,,,,,1,28,0,
02.23,中国,安徽,989,6,692,0,,,,,0,44,0,
02.24,中国,安徽,989,6,727,0,,,,,0,35,0,
02.25,中国,安徽,989,6,764,0,,,,,0,37,0,
02.26,中国,安徽,989,6,815,0,,,,,0,51,0,
02.27,中国,安徽,990,6,842,1,,,,,1,27,0,
02.28,中国,安徽,990,6,868,0,,,,,0,26,0,
02.29,中国,安徽,990,6,888,0,,,,,0,20,0,
03.01,中国,安徽,990,6,917,0,,,,,0,29,0,
03.02,中国,安徽,990,6,941,0,,,,,0,24,0,
03.03,中国,安徽,990,6,956,0,,,,,0,15,0,
03.04,中国,安徽,990,6,970,0,,,,,0,14,0,
03.05,中国,安徽,990,6,970,0,,,,,0,0,0,
03.06,中国,安徽,990,6,981,0,,,,,0,11,0,
03.07,中国,安徽,990,6,984,0,,,,,0,3,0,
03.08,中国,安徽,990,6,984,0,,,,,0,0,0,
03.09,中国,安徽,990,6,984,0,,,,,0,0,0,
03.10,中国,安徽,990,6,984,0,,,,,0,0,0,
03.11,中国,安徽,990,6,984,0,,,,,0,0,0,
03.12,中国,安徽,990,6,984,0,,,,,0,0,0,
03.13,中国,安徽,990,6,984,0,,,,,0,0,0,
03.14,中国,安徽,990,6,984,0,,,,,0,0,0,
03.15,中国,安徽,990,6,984,0,,,,,0,0,0,
03.16,中国,安徽,990,6,984,0,,,,,0,0,0,
03.17,中国,安徽,990,6,984,0,,,,,0,0,0,
03.18,中国,安徽,990,6,984,0,,,,,0,0,0,
03.19,中国,安徽,990,6,984,0,,,,,0,0,0,
03.20,中国,安徽,990,6,984,0,,,,,0,0,0,
03.21,中国,安徽,990,6,984,0,,,,,0,0,0,
03.22,中国,安徽,990,6,984,0,,,,,0,0,0,
03.23,中国,安徽,990,6,984,0,,,,,0,0,0,
03.24,中国,安徽,990,6,984,0,,,,,0,0,0,
03.25,中国,安徽,990,6,984,0,,,,,0,0,0,
03.26,中国,安徽,990,6,984,0,,,,,0,0,0,
03.27,中国,安徽,990,6,984,0,,,,,0,0,0,
03.28,中国,安徽,990,6,984,0,,,,,0,0,0,
03.29,中国,安徽,990,6,984,0,,,,,0,0,0,
03.30,中国,安徽,990,6,984,0,,,,,0,0,0,
03.31,中国,安徽,990,6,984,0,,,,,0,0,0,
04.01,中国,安徽,990,6,984,0,,,,,0,0,0,
04.02,中国,安徽,990,6,984,0,,,,,0,0,0,
04.03,中国,安徽,990,6,984,0,,,,,0,0,0,
04.04,中国,安徽,990,6,984,0,,,,,0,0,0,
04.05,中国,安徽,990,6,984,0,,,,,0,0,0,
04.06,中国,安徽,990,6,984,0,,,,,0,0,0,
04.07,中国,安徽,990,6,984,0,,,,,0,0,0,
04.08,中国,安徽,991,6,984,1,,,,,1,0,0,
04.09,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.10,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.11,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.12,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.13,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.14,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.15,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.16,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.17,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.18,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.19,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.20,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.21,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.22,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.23,中国,安徽,991,6,984,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.24,中国,安徽,991,6,985,0,,,,,0,1,0,安徽省累计报告境外输入确诊病例1例。
04.25,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.26,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.27,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.28,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.29,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
04.30,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.01,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.02,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.03,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.04,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.05,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.06,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.07,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.08,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.09,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.10,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.11,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.12,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.13,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.14,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.15,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.16,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.17,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.18,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.19,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.20,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.21,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.22,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.23,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.24,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.25,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.26,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.27,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.28,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.29,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.30,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
05.31,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.01,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.02,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.03,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.04,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.05,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.06,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.07,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.08,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.09,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.10,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.11,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.12,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.13,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.14,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.15,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.16,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.17,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.18,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.19,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.20,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.21,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.22,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.23,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.24,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.25,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.26,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.27,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.28,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.29,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
06.30,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
07.01,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
07.02,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
07.03,中国,安徽,991,6,985,0,,,,,0,0,0,安徽省累计报告境外输入确诊病例1例。
