date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.28,中国,山东,121,0,0,26,,,,,0,0,0,
01.29,中国,山东,145,0,1,24,,,,,24,1,0,
01.30,中国,山东,178,0,2,33,,,,,33,1,0,
01.31,中国,山东,202,0,2,24,,,,,24,0,0,
02.01,中国,山东,225,0,5,23,,,,,23,3,0,
02.02,中国,山东,246,0,6,21,,,,,21,1,0,
02.03,中国,山东,270,0,7,11,,,,,11,1,0,
02.04,中国,山东,298,0,13,28,,,,,28,6,0,
02.05,中国,山东,343,0,18,45,,,,,45,5,0,
02.06,中国,山东,347,0,30,40,,,,,40,12,0,
02.07,中国,山东,386,0,37,39,,,,,39,7,0,
02.08,中国,山东,416,0,42,30,,,,,30,5,0,
02.09,中国,山东,444,1,61,28,,,,,28,19,1,
02.10,中国,山东,486,1,71,27,,,,,27,10,0,
02.11,中国,山东,436,1,85,19,,,,,19,14,0,
02.12,中国,山东,506,2,98,9,,,,,9,13,1,
02.13,中国,山东,519,2,111,13,,,,,13,13,0,
02.14,中国,山东,530,2,139,11,,,,,11,28,0,
02.15,中国,山东,537,2,164,7,,,,,7,25,0,
02.16,中国,山东,541,2,175,4,,,,,4,11,0,
02.17,中国,山东,543,2,193,2,,,,,2,18,0,
02.18,中国,山东,544,3,215,1,,,,,1,22,1,
02.19,中国,山东,546,4,250,2,,,,,2,35,1,
02.20,中国,山东,748,4,270,202,,,,,202,20,0,
02.21,中国,山东,750,4,293,2,,,,,2,23,0,
02.22,中国,山东,754,4,311,4,,,,,4,18,0,
02.23,中国,山东,755,4,325,1,,,,,1,14,0,
02.24,中国,山东,755,6,343,1,,,,,1,18,2,
02.25,中国,山东,756,6,357,1,,,,,1,14,0,
02.26,中国,山东,756,6,381,0,,,,,0,24,0,
02.27,中国,山东,756,6,390,0,,,,,0,9,0,
02.28,中国,山东,756,6,411,0,,,,,0,21,0,
02.29,中国,山东,756,6,431,0,,,,,0,20,0,
03.01,中国,山东,758,6,455,2,,,,,2,24,0,
03.02,中国,山东,758,6,497,0,,,,,0,42,0,
03.03,中国,山东,758,6,511,0,,,,,0,14,0,
03.04,中国,山东,758,6,576,0,,,,,0,65,0,
03.05,中国,山东,758,6,577,0,,,,,0,1,0,
03.06,中国,山东,758,6,625,0,,,,,0,48,0,
03.07,中国,山东,758,6,638,0,,,,,0,13,0,
03.08,中国,山东,758,6,699,0,,,,,0,61,0,
03.09,中国,山东,758,6,719,0,,,,,0,20,0,
03.10,中国,山东,759,6,721,1,,,,,1,2,0,
03.11,中国,山东,760,6,733,1,,,,,1,12,0,3月10日12-24时，山东省新增意大利输入新冠肺炎确诊病例1例。
03.12,中国,山东,760,7,739,0,,,,,0,6,1,3月10日12-24时，山东省新增意大利输入新冠肺炎确诊病例1例。
03.13,中国,山东,760,7,741,0,,,,,0,2,0,3月10日12-24时，山东省新增意大利输入新冠肺炎确诊病例1例。
03.14,中国,山东,760,7,741,0,,,,,0,0,0,山东累计报告境外输入确诊病例1例。
03.15,中国,山东,760,7,743,0,,,,,0,2,0,山东累计报告境外输入确诊病例1例。
03.16,中国,山东,761,7,746,1,,,,,1,3,0,山东累计报告境外输入确诊病例1例。
03.17,中国,山东,761,7,746,0,,,,,0,0,0,山东累计报告境外输入确诊病例2例。
03.18,中国,山东,761,7,746,0,,,,,0,0,0,山东累计报告境外输入确诊病例2例。
03.19,中国,山东,762,7,747,1,,,,,1,1,0,山东累计报告境外输入确诊病例2例。
03.20,中国,山东,762,7,748,1,,,,,1,1,0,山东累计报告境外输入确诊病例3例。
03.21,中国,山东,764,7,749,2,,,,,2,1,0,山东累计报告境外输入确诊病例5例。
03.22,中国,山东,768,7,752,2,,,,,2,3,0,山东累计报告境外输入确诊病例7例。
03.23,中国,山东,768,7,752,0,,,,,0,0,0,山东累计报告境外输入确诊病例9例。
03.24,中国,山东,769,7,752,1,,,,,1,0,0,山东累计报告境外输入确诊病例9例。
03.25,中国,山东,769,7,752,2,,,,,2,0,0,山东累计报告境外输入确诊病例10例。
03.26,中国,山东,771,7,752,2,,,,,2,0,0,山东累计报告境外输入确诊病例12例。
03.27,中国,山东,772,7,752,0,,,,,0,0,0,山东累计报告境外输入确诊病例13例。
03.28,中国,山东,772,7,752,0,,,,,0,0,0,山东累计报告境外输入确诊病例13例。
03.29,中国,山东,773,7,753,1,,,,,1,1,0,山东累计报告境外输入确诊病例13例。
03.30,中国,山东,774,7,753,1,,,,,1,0,0,山东累计报告境外输入确诊病例14例。
03.31,中国,山东,774,7,753,0,,,,,0,0,0,山东累计报告境外输入确诊病例15例。
04.01,中国,山东,775,7,753,1,,,,,1,0,0,山东累计报告境外输入确诊病例16例。
04.02,中国,山东,778,7,754,3,,,,,3,1,0,山东累计报告境外输入确诊病例19例。
04.03,中国,山东,778,7,755,0,,,,,0,1,0,山东累计报告境外输入确诊病例19例。
04.04,中国,山东,779,7,755,1,,,,,1,0,0,山东累计报告境外输入确诊病例19例。
04.05,中国,山东,780,7,755,1,,,,,1,0,0,山东累计报告境外输入确诊病例20例。
04.06,中国,山东,781,7,755,1,,,,,1,0,0,山东累计报告境外输入确诊病例21例。
04.07,中国,山东,783,7,755,2,,,,,2,0,0,山东累计报告境外输入确诊病例22例。
04.08,中国,山东,783,7,756,0,,,,,0,1,0,山东累计报告境外输入确诊病例22例。
04.09,中国,山东,783,7,756,0,,,,,0,0,0,山东累计报告境外输入确诊病例22例。
04.10,中国,山东,784,7,757,1,,,,,1,1,0,山东累计报告境外输入确诊病例23例。
04.11,中国,山东,784,7,757,0,,,,,0,0,0,山东累计报告境外输入确诊病例23例。
04.12,中国,山东,784,7,758,0,,,,,0,1,0,山东累计报告境外输入确诊病例23例。
04.13,中国,山东,784,7,759,0,,,,,0,1,0,山东累计报告境外输入确诊病例23例。
04.14,中国,山东,784,7,761,0,,,,,0,2,0,山东累计报告境外输入确诊病例23例。
04.15,中国,山东,784,7,761,0,,,,,0,0,0,山东累计报告境外输入确诊病例23例。
04.16,中国,山东,787,7,761,3,,,,,3,0,0,山东累计报告境外输入确诊病例24例。
04.17,中国,山东,787,7,765,0,,,,,0,4,0,山东累计报告境外输入确诊病例24例。
04.18,中国,山东,787,7,765,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
04.19,中国,山东,787,7,765,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
04.20,中国,山东,787,7,765,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
04.21,中国,山东,787,7,766,0,,,,,0,1,0,山东累计报告境外输入确诊病例24例。
04.22,中国,山东,787,7,766,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
04.23,中国,山东,787,7,766,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
04.24,中国,山东,787,7,767,0,,,,,0,1,0,山东累计报告境外输入确诊病例24例。
04.25,中国,山东,787,7,767,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
04.26,中国,山东,787,7,768,0,,,,,0,1,0,山东累计报告境外输入确诊病例24例。
04.27,中国,山东,787,7,768,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
04.28,中国,山东,787,7,771,0,,,,,0,3,0,山东累计报告境外输入确诊病例24例。
04.29,中国,山东,787,7,772,0,,,,,0,1,0,山东累计报告境外输入确诊病例24例。
04.30,中国,山东,787,7,772,0,,,,,0,0,0,山东累计报告境外输入确诊病例24例。
