date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.24,中国,山西,6,0,0,5,,,,,0,0,0,
01.25,中国,山西,9,0,0,3,,,,,3,0,0,
01.26,中国,山西,13,0,0,4,,,,,4,0,0,
01.27,中国,山西,20,0,0,7,,,,,7,0,0,
01.28,中国,山西,27,0,0,7,,,,,7,0,0,
01.29,中国,山西,35,0,1,8,,,,,8,1,0,
01.30,中国,山西,39,0,1,4,,,,,4,0,0,
01.31,中国,山西,47,0,1,8,,,,,8,0,0,
02.01,中国,山西,56,0,1,9,,,,,9,0,0,
02.02,中国,山西,66,0,2,10,,,,,10,1,0,
02.03,中国,山西,74,0,2,8,,,,,8,0,0,
02.04,中国,山西,81,0,4,7,,,,,7,2,0,
02.05,中国,山西,90,0,6,9,,,,,9,2,0,
02.06,中国,山西,96,0,12,6,,,,,6,6,0,
02.07,中国,山西,104,0,15,8,,,,,8,3,0,
02.08,中国,山西,115,0,21,12,,,,,12,6,0,
02.09,中国,山西,119,0,25,4,,,,,4,4,0,
02.10,中国,山西,122,0,26,3,,,,,3,1,0,
02.11,中国,山西,124,0,30,2,,,,,2,4,0,
02.12,中国,山西,126,0,33,2,,,,,2,3,0,
02.13,中国,山西,126,0,36,0,,,,,0,3,0,
02.14,中国,山西,127,0,38,1,,,,,1,2,0,
02.15,中国,山西,128,0,46,1,,,,,1,8,0,
02.16,中国,山西,129,0,50,1,,,,,1,4,0,
02.17,中国,山西,130,0,53,1,,,,,1,3,0,
02.18,中国,山西,131,0,61,1,,,,,1,8,0,
02.19,中国,山西,131,0,68,0,,,,,0,7,0,
02.20,中国,山西,132,0,76,1,,,,,1,8,0,
02.21,中国,山西,132,0,78,0,,,,,0,2,0,
02.22,中国,山西,132,0,81,0,,,,,0,3,0,
02.23,中国,山西,132,0,88,0,,,,,0,7,0,
02.24,中国,山西,133,0,94,0,,,,,0,6,0,
02.25,中国,山西,133,0,94,1,,,,,1,0,0,
02.26,中国,山西,133,0,107,0,,,,,0,13,0,
02.27,中国,山西,133,0,112,0,,,,,0,5,0,
02.29,中国,山西,133,0,114,0,,,,,0,2,0,
03.01,中国,山西,133,0,116,0,,,,,0,2,0,
03.02,中国,山西,133,0,119,0,,,,,0,3,0,
03.03,中国,山西,133,0,124,0,,,,,0,5,0,
03.04,中国,山西,133,0,124,0,,,,,0,0,0,
03.05,中国,山西,133,0,124,0,,,,,0,0,0,
03.06,中国,山西,133,0,126,0,,,,,0,2,0,
03.07,中国,山西,133,0,126,0,,,,,0,0,0,
03.08,中国,山西,133,0,127,0,,,,,0,1,0,
03.09,中国,山西,133,0,131,0,,,,,0,4,0,
03.10,中国,山西,133,0,132,0,,,,,0,1,0,
03.11,中国,山西,133,0,131,0,,,,,0,-1,0,
03.12,中国,山西,133,0,132,0,,,,,0,1,0,
03.13,中国,山西,133,0,133,0,,,,,0,1,0,
03.14,中国,山西,133,0,133,0,,,,,0,0,0,
03.15,中国,山西,133,0,133,0,,,,,0,0,0,
03.16,中国,山西,133,0,133,0,,,,,0,0,0,
03.17,中国,山西,133,0,133,0,,,,,0,0,0,
03.18,中国,山西,133,0,133,0,,,,,0,0,0,
03.19,中国,山西,133,0,133,0,,,,,0,0,0,
03.20,中国,山西,133,0,133,0,,,,,0,0,0,
03.21,中国,山西,133,0,133,0,,,,,0,0,0,
03.22,中国,山西,133,0,133,0,,,,,0,0,0,
03.23,中国,山西,134,0,133,1,,,,,1,0,0,
03.24,中国,山西,134,0,133,0,,,,,0,0,0,2020年3月23日0时至24时，山西省新增境外输入确诊病例1例，累计报告境外输入确诊病例1例。
03.25,中国,山西,135,0,133,1,,,,,1,0,0,山西省累计报告境外输入确诊病例1例。
03.26,中国,山西,135,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例2例。
03.27,中国,山西,135,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例2例。
03.28,中国,山西,136,0,133,1,,,,,1,0,0,山西省累计报告境外输入确诊病例2例。
03.29,中国,山西,136,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例3例。
03.30,中国,山西,136,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例3例。
03.31,中国,山西,137,0,133,1,,,,,1,0,0,山西省累计报告境外输入确诊病例4例。
04.01,中国,山西,137,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例4例。
04.02,中国,山西,137,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例4例。
04.03,中国,山西,137,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例4例。
04.04,中国,山西,138,0,133,1,,,,,1,0,0,山西省累计报告境外输入确诊病例4例。
04.05,中国,山西,138,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例5例。
04.06,中国,山西,138,0,133,0,,,,,0,0,0,山西省累计报告境外输入确诊病例5例。
04.07,中国,山西,163,0,134,25,,,,,25,1,0,山西省累计报告境外输入确诊病例5例。
04.08,中国,山西,166,0,134,3,,,,,3,0,0,山西省累计报告境外输入确诊病例30例。
04.09,中国,山西,168,0,134,2,,,,,2,0,0,山西省累计报告境外输入确诊病例33例。
04.10,中国,山西,172,0,135,4,,,,,4,1,0,山西省累计报告境外输入确诊病例39例。
