date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.21,中国,广东,26,0,0,9,,,,,0,0,0,
01.22,中国,广东,32,0,0,6,,,,,6,0,0,
01.23,中国,广东,53,0,2,21,,,,,21,2,0,
01.24,中国,广东,78,0,2,25,,,,,25,0,0,
01.26,中国,广东,146,0,2,48,,,,,48,0,0,
01.27,中国,广东,188,0,4,42,,,,,42,2,0,
01.28,中国,广东,241,0,5,53,,,,,53,1,0,
01.29,中国,广东,311,0,6,70,,,,,70,1,0,
01.30,中国,广东,393,0,9,82,,,,,82,3,0,
01.31,中国,广东,520,0,9,127,,,,,127,0,0,
02.01,中国,广东,604,0,12,84,,,,,84,3,0,
02.02,中国,广东,683,0,14,79,,,,,79,2,0,
02.03,中国,广东,797,0,20,114,,,,,114,6,0,
02.04,中国,广东,870,0,32,73,,,,,73,12,0,
02.05,中国,广东,944,0,49,74,,,,,74,17,0,
02.06,中国,广东,1018,0,68,74,,,,,74,19,0,
02.07,中国,广东,1075,1,97,57,,,,,57,29,1,
02.08,中国,广东,1120,1,125,45,,,,,45,28,0,
02.09,中国,广东,1151,1,143,31,,,,,31,18,0,
02.10,中国,广东,1177,1,181,26,,,,,26,38,0,
02.11,中国,广东,1219,1,241,42,,,,,42,60,0,
02.12,中国,广东,1241,1,284,22,,,,,22,43,0,
02.13,中国,广东,1241,2,284,22,,,,,22,0,1,
02.14,中国,广东,1294,2,386,33,,,,,33,102,0,
02.15,中国,广东,1316,2,436,22,,,,,22,50,0,
02.16,中国,广东,1322,4,473,6,,,,,6,37,2,
02.17,中国,广东,1328,4,530,6,,,,,6,57,0,
02.18,中国,广东,1331,5,571,3,,,,,3,41,1,
02.19,中国,广东,1332,5,619,1,,,,,1,48,0,
02.20,中国,广东,1333,5,664,1,,,,,1,45,0,
02.21,中国,广东,1339,5,720,6,,,,,6,56,0,
02.22,中国,广东,1342,6,740,3,,,,,3,20,1,
02.23,中国,广东,1345,6,772,3,,,,,3,32,0,
02.24,中国,广东,1347,7,805,2,,,,,2,33,1,
