date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.22,中国,江苏,1,0,0,1,,,,,0,0,0,
01.23,中国,江苏,9,0,1,4,,,,,4,1,0,
01.24,中国,江苏,18,0,1,9,,,,,9,0,0,
01.25,中国,江苏,31,0,1,13,,,,,13,0,0,
01.26,中国,江苏,47,0,1,16,,,,,16,0,0,
01.27,中国,江苏,70,0,1,23,,,,,23,0,0,
01.28,中国,江苏,99,0,1,29,,,,,29,0,0,
01.29,中国,江苏,129,0,1,30,,,,,30,0,0,
01.30,中国,江苏,168,0,2,39,,,,,39,1,0,
01.31,中国,江苏,202,0,6,34,,,,,34,4,0,
02.01,中国,江苏,236,0,8,34,,,,,34,2,0,
02.02,中国,江苏,271,0,7,35,,,,,35,-1,0,
02.03,中国,江苏,308,0,8,37,,,,,37,1,0,
02.04,中国,江苏,341,0,13,33,,,,,33,5,0,
02.05,中国,江苏,373,0,26,32,,,,,32,13,0,
02.06,中国,江苏,408,0,38,35,,,,,35,12,0,
02.07,中国,江苏,439,0,43,31,,,,,31,5,0,
02.08,中国,江苏,468,0,51,29,,,,,29,8,0,
02.09,中国,江苏,492,0,72,24,,,,,24,21,0,
02.10,中国,江苏,515,0,84,23,,,,,23,12,0,
02.11,中国,江苏,543,0,94,28,,,,,28,10,0,
02.12,中国,江苏,570,0,131,27,,,,,27,37,0,
02.13,中国,江苏,593,0,137,23,,,,,23,6,0,
02.14,中国,江苏,604,0,160,11,,,,,11,23,0,
02.15,中国,江苏,617,0,190,13,,,,,13,30,0,
02.16,中国,江苏,626,0,226,9,,,,,9,36,0,
02.17,中国,江苏,629,0,263,3,,,,,3,37,0,
02.18,中国,江苏,631,0,296,2,,,,,2,33,0,
02.19,中国,江苏,631,0,325,0,,,,,0,29,0,
02.20,中国,江苏,631,0,352,0,,,,,0,27,0,
02.21,中国,江苏,631,0,387,0,,,,,0,35,0,
02.22,中国,江苏,631,0,411,0,,,,,0,24,0,
02.23,中国,江苏,631,0,427,0,,,,,0,16,0,
02.24,中国,江苏,631,0,458,0,,,,,0,31,0,
02.25,中国,江苏,631,0,463,0,,,,,0,5,0,
02.26,中国,江苏,631,0,494,0,,,,,0,31,0,
02.27,中国,江苏,631,0,506,0,,,,,0,12,0,
02.28,中国,江苏,631,0,519,0,,,,,0,13,0,
02.29,中国,江苏,631,0,529,0,,,,,0,10,0,
