date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.22,中国,江西,3,0,0,1,,,,,0,0,0,
01.23,中国,江西,7,0,0,4,,,,,4,0,0,
01.24,中国,江西,18,0,0,11,,,,,11,0,0,
01.25,中国,江西,36,0,0,18,,,,,18,0,0,
01.26,中国,江西,48,0,0,12,,,,,12,0,0,
01.27,中国,江西,72,0,2,24,,,,,24,2,0,
01.28,中国,江西,109,0,3,37,,,,,37,1,0,
01.29,中国,江西,162,0,3,53,,,,,53,0,0,
01.30,中国,江西,240,0,7,78,,,,,78,4,0,
01.31,中国,江西,286,0,9,47,,,,,47,2,0,
02.01,中国,江西,333,0,10,47,,,,,47,1,0,
02.02,中国,江西,391,0,18,59,,,,,59,8,0,
02.03,中国,江西,476,0,19,85,,,,,85,1,0,
02.04,中国,江西,548,0,27,72,,,,,72,8,0,
02.05,中国,江西,600,0,37,52,,,,,52,10,0,
02.06,中国,江西,661,0,45,61,,,,,61,8,0,
02.07,中国,江西,698,0,55,37,,,,,37,10,0,
02.08,中国,江西,740,0,72,42,,,,,42,17,0,
02.09,中国,江西,771,1,102,32,,,,,32,30,1,
02.10,中国,江西,804,2,127,32,,,,,32,25,1,
02.11,中国,江西,844,1,152,40,,,,,40,25,-1,
02.12,中国,江西,872,1,170,28,,,,,28,18,0,
02.13,中国,江西,900,1,187,28,,,,,28,17,0,
02.14,中国,江西,913,1,210,13,,,,,13,23,0,
02.15,中国,江西,925,1,239,12,,,,,12,29,0,
02.16,中国,江西,930,1,275,5,,,,,5,36,0,
02.17,中国,江西,933,1,310,3,,,,,3,35,0,
02.18,中国,江西,934,1,362,1,,,,,1,52,0,
02.19,中国,江西,934,1,432,1,,,,,1,70,0,
02.20,中国,江西,934,1,489,0,,,,,0,57,0,
02.21,中国,江西,934,1,544,0,,,,,0,55,0,
02.22,中国,江西,934,1,611,0,,,,,0,67,0,
02.23,中国,江西,934,1,645,0,,,,,0,34,0,
02.24,中国,江西,934,1,682,0,,,,,0,37,0,
02.25,中国,江西,934,1,719,0,,,,,0,37,0,
02.26,中国,江西,934,1,754,0,,,,,0,35,0,
02.27,中国,江西,935,1,790,1,,,,,1,36,0,
02.28,中国,江西,935,1,811,0,,,,,0,21,0,
02.29,中国,江西,935,1,831,0,,,,,0,20,0,
03.01,中国,江西,935,1,850,0,,,,,0,19,0,
03.02,中国,江西,935,1,870,0,,,,,0,20,0,
03.03,中国,江西,935,1,884,0,,,,,0,14,0,
03.04,中国,江西,935,1,901,0,,,,,0,17,0,
03.05,中国,江西,935,1,901,0,,,,,0,0,0,
03.06,中国,江西,935,1,916,0,,,,,0,15,0,
03.07,中国,江西,935,1,918,0,,,,,0,2,0,
03.08,中国,江西,935,1,923,0,,,,,0,5,0,
03.09,中国,江西,935,1,927,0,,,,,0,4,0,
03.10,中国,江西,935,1,932,0,,,,,0,5,0,
03.11,中国,江西,935,1,934,0,,,,,0,2,0,
03.12,中国,江西,935,1,934,0,,,,,0,0,0,
03.13,中国,江西,935,1,934,0,,,,,0,0,0,
03.14,中国,江西,935,1,934,0,,,,,0,0,0,
03.15,中国,江西,935,1,934,0,,,,,0,0,0,
03.16,中国,江西,935,1,934,0,,,,,0,0,0,
03.17,中国,江西,935,1,934,0,,,,,0,0,0,
03.18,中国,江西,935,1,934,0,,,,,0,0,0,
03.19,中国,江西,935,1,934,0,,,,,0,0,0,
03.20,中国,江西,935,1,934,0,,,,,0,0,0,
03.21,中国,江西,936,1,934,1,,,,,1,0,0,
03.22,中国,江西,936,1,934,0,,,,,0,0,0,江西报告首例境外输入型确诊病例。
03.23,中国,江西,936,1,934,0,,,,,0,0,0,江西报告首例境外输入型确诊病例。
03.24,中国,江西,936,1,934,0,,,,,0,0,0,江西报告首例境外输入型确诊病例。
03.25,中国,江西,936,1,934,0,,,,,0,0,0,江西报告首例境外输入型确诊病例。
03.26,中国,江西,936,1,934,0,,,,,0,0,0,江西累计报告境外输入病例1例。
03.27,中国,江西,936,1,934,0,,,,,0,0,0,江西累计报告境外输入病例1例。
03.28,中国,江西,937,1,934,1,,,,,1,0,0,江西累计报告境外输入病例1例。
03.29,中国,江西,937,1,935,0,,,,,0,1,0,江西累计报告境外输入病例2例。
03.30,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
03.31,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.01,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.02,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.03,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.04,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.05,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.06,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.07,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.08,中国,江西,937,1,935,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.09,中国,江西,937,1,936,0,,,,,0,1,0,江西累计报告境外输入病例2例。
04.10,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.11,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.12,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.13,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.14,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.15,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.16,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.17,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.18,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.19,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.20,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.21,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.22,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.23,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.24,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.25,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.26,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.27,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.28,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.29,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
04.30,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.01,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.02,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.03,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.04,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.05,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.06,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.07,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.08,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
05.09,中国,江西,937,1,936,0,,,,,0,0,0,江西累计报告境外输入病例2例。
