date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.29,中国,河北,65,1,0,17,,,,,0,0,0,
01.30,中国,河北,82,1,0,17,,,,,17,0,0,
01.31,中国,河北,96,1,0,14,,,,,14,0,0,
02.01,中国,河北,104,1,3,8,,,,,8,3,0,
02.02,中国,河北,113,1,3,9,,,,,9,0,0,
02.03,中国,河北,126,1,3,13,,,,,13,0,0,
02.04,中国,河北,135,1,4,9,,,,,9,1,0,
02.05,中国,河北,157,1,7,22,,,,,22,3,0,
02.06,中国,河北,171,1,16,14,,,,,14,9,0,
02.07,中国,河北,195,1,25,24,,,,,24,9,0,
02.08,中国,河北,206,2,30,11,,,,,11,5,1,
02.09,中国,河北,218,2,35,12,,,,,12,5,0,
02.10,中国,河北,239,2,41,21,,,,,21,6,0,
02.11,中国,河北,251,2,48,12,,,,,12,7,0,
02.12,中国,河北,265,3,54,14,,,,,14,6,1,
02.13,中国,河北,283,3,69,18,,,,,18,15,0,
02.14,中国,河北,291,3,86,8,,,,,8,17,0,
02.15,中国,河北,300,3,100,9,,,,,9,14,0,
02.16,中国,河北,301,3,109,1,,,,,1,9,0,
02.17,中国,河北,302,4,123,1,,,,,1,14,1,
02.18,中国,河北,306,4,136,4,,,,,4,13,0,
02.19,中国,河北,307,5,152,1,,,,,1,16,1,
02.20,中国,河北,308,5,170,1,,,,,1,18,0,
02.21,中国,河北,309,6,184,1,,,,,1,14,1,
02.22,中国,河北,311,6,204,2,,,,,2,20,0,
02.23,中国,河北,311,6,221,0,,,,,0,17,0,
02.24,中国,河北,311,6,241,0,,,,,0,20,0,
02.25,中国,河北,312,6,248,1,,,,,1,7,0,
02.26,中国,河北,317,6,261,5,,,,,5,13,0,
02.27,中国,河北,318,6,274,1,,,,,1,13,0,
02.28,中国,河北,318,6,277,0,,,,,0,3,0,
02.29,中国,河北,318,6,283,0,,,,,0,6,0,
03.01,中国,河北,318,6,294,0,,,,,0,11,0,
03.02,中国,河北,318,6,297,0,,,,,0,3,0,
03.03,中国,河北,318,6,300,0,,,,,0,3,0,
03.04,中国,河北,318,6,301,0,,,,,0,1,0,
03.05,中国,河北,318,6,304,0,,,,,0,3,0,
03.06,中国,河北,318,6,305,0,,,,,0,1,0,
03.07,中国,河北,318,6,307,0,,,,,0,2,0,
03.08,中国,河北,318,6,307,0,,,,,0,0,0,
03.09,中国,河北,318,6,307,0,,,,,0,0,0,
03.10,中国,河北,318,6,307,0,,,,,0,0,0,
03.11,中国,河北,318,6,307,0,,,,,0,0,0,
03.12,中国,河北,318,6,310,0,,,,,0,3,0,
03.13,中国,河北,318,6,310,0,,,,,0,0,0,
03.14,中国,河北,318,6,310,0,,,,,0,0,0,
03.15,中国,河北,318,6,310,0,,,,,0,0,0,
03.16,中国,河北,318,6,310,0,,,,,0,0,0,
03.17,中国,河北,318,6,310,0,,,,,0,0,0,
03.18,中国,河北,318,6,310,0,,,,,0,0,0,
03.19,中国,河北,318,6,310,0,,,,,0,0,0,
03.20,中国,河北,318,6,310,0,,,,,0,0,0,
03.21,中国,河北,319,6,310,1,,,,,1,0,0,
03.22,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.23,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.24,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.25,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.26,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.27,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.28,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.29,中国,河北,319,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例1例。
03.30,中国,河北,321,6,310,2,,,,,2,0,0,河北境外输入新型冠状病毒肺炎确诊病例3例。
03.31,中国,河北,323,6,310,2,,,,,2,0,0,河北境外输入新型冠状病毒肺炎确诊病例3例。
04.01,中国,河北,325,6,310,2,,,,,2,0,0,河北境外输入新型冠状病毒肺炎确诊病例7例。
04.02,中国,河北,326,6,310,1,,,,,1,0,0,河北境外输入新型冠状病毒肺炎确诊病例8例。
04.03,中国,河北,326,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例8例。
04.04,中国,河北,327,6,310,1,,,,,1,0,0,河北境外输入新型冠状病毒肺炎确诊病例8例。
04.05,中国,河北,327,6,310,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例9例。
04.06,中国,河北,327,6,312,0,,,,,0,2,0,河北境外输入新型冠状病毒肺炎确诊病例9例。
04.07,中国,河北,327,6,312,0,,,,,0,0,0,河北境外输入新型冠状病毒肺炎确诊病例9例。
04.08,中国,河北,327,6,313,0,,,,,0,1,0,河北境外输入新型冠状病毒肺炎确诊病例9例。
04.09,中国,河北,327,6,313,0,,,,,0,0,0,河北省累计报告境外输入确诊病例9例。
04.10,中国,河北,327,6,313,0,,,,,0,0,0,河北省累计报告境外输入确诊病例9例。
04.11,中国,河北,327,6,313,0,,,,,0,0,0,河北省累计报告境外输入确诊病例9例。
04.12,中国,河北,327,6,313,0,,,,,0,0,0,河北省累计报告境外输入确诊病例9例。
04.13,中国,河北,327,6,314,0,,,,,0,1,0,河北省累计报告境外输入确诊病例9例。
04.14,中国,河北,327,6,314,0,,,,,0,0,0,河北省累计报告境外输入确诊病例9例。
04.15,中国,河北,328,6,315,1,,,,,1,1,0,河北省累计报告境外输入确诊病例10例。
04.16,中国,河北,328,6,316,0,,,,,0,1,0,河北省累计报告境外输入确诊病例10例。
04.17,中国,河北,328,6,316,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.18,中国,河北,328,6,316,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.19,中国,河北,328,6,317,0,,,,,0,1,0,河北省累计报告境外输入确诊病例10例。
04.20,中国,河北,328,6,317,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.21,中国,河北,328,6,317,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.22,中国,河北,328,6,317,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.23,中国,河北,328,6,317,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.24,中国,河北,328,6,318,0,,,,,0,1,0,河北省累计报告境外输入确诊病例10例。
04.25,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.26,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.27,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.28,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.29,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
04.30,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.01,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.02,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.03,中国,河北,328,6,318,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.04,中国,河北,328,6,320,0,,,,,0,2,0,河北省累计报告境外输入确诊病例10例。
05.05,中国,河北,328,6,320,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.06,中国,河北,328,6,320,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.07,中国,河北,328,6,320,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.08,中国,河北,328,6,320,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.09,中国,河北,328,6,321,0,,,,,0,1,0,河北省累计报告境外输入确诊病例10例。
05.10,中国,河北,328,6,321,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.11,中国,河北,328,6,321,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.12,中国,河北,328,6,321,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.13,中国,河北,328,6,321,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.14,中国,河北,328,6,321,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.15,中国,河北,328,6,321,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.16,中国,河北,328,6,321,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.17,中国,河北,328,6,322,0,,,,,0,1,0,河北省累计报告境外输入确诊病例10例。
05.18,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.19,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.20,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.21,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.22,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.23,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.24,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.25,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.26,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.27,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.28,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.29,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.30,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
05.31,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.01,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.02,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.03,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.04,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.05,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.06,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.07,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.08,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.09,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.10,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.11,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.12,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.13,中国,河北,328,6,322,0,,,,,0,0,0,河北省累计报告境外输入确诊病例10例。
06.14,中国,河北,331,6,322,3,,,,,3,0,0,河北省累计报告境外输入确诊病例10例。
06.15,中国,河北,335,6,322,4,,,,,4,0,0,河北省累计报告境外输入确诊病例10例。
06.16,中国,河北,335,6,322,1,,,,,1,0,0,河北省累计报告境外输入确诊病例10例。
