date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.21,中国,河南,1,0,0,0,,,,,0,0,0,
01.22,中国,河南,5,0,0,4,,,,,4,0,0,
01.23,中国,河南,9,0,0,4,,,,,4,0,0,
01.24,中国,河南,32,0,0,23,,,,,23,0,0,
01.25,中国,河南,83,1,0,51,,,,,51,0,1,
01.26,中国,河南,128,1,0,45,,,,,45,0,0,
01.27,中国,河南,168,1,0,40,,,,,40,0,0,
01.28,中国,河南,206,1,2,38,,,,,38,2,0,
01.29,中国,河南,278,2,2,72,,,,,72,0,1,
01.30,中国,河南,352,2,3,74,,,,,74,1,0,
01.31,中国,河南,422,2,3,70,,,,,70,0,0,
02.01,中国,河南,493,2,4,71,,,,,71,1,0,
02.02,中国,河南,566,2,14,73,,,,,73,10,0,
02.03,中国,河南,675,2,20,109,,,,,109,6,0,
02.04,中国,河南,764,2,41,89,,,,,89,21,0,
02.05,中国,河南,851,2,54,87,,,,,87,13,0,
02.06,中国,河南,914,3,68,63,,,,,63,14,1,
02.07,中国,河南,981,4,97,67,,,,,67,29,1,
02.08,中国,河南,1033,6,131,53,,,,,53,34,2,
02.09,中国,河南,1073,6,181,40,,,,,40,50,0,
02.10,中国,河南,1105,7,198,32,,,,,32,17,1,
02.11,中国,河南,1135,8,231,30,,,,,30,33,1,
02.12,中国,河南,1169,10,258,34,,,,,34,27,2,
02.13,中国,河南,1184,11,313,15,,,,,15,55,1,
02.14,中国,河南,1184,11,313,15,,,,,15,0,0,
02.15,中国,河南,1231,13,397,19,,,,,19,84,2,
02.16,中国,河南,1246,16,438,15,,,,,15,41,3,
02.17,中国,河南,1257,19,505,15,,,,,15,67,3,
02.18,中国,河南,1262,19,552,5,,,,,5,47,0,
02.19,中国,河南,1265,19,614,4,,,,,4,62,0,
02.20,中国,河南,1267,19,717,2,,,,,2,103,0,
02.21,中国,河南,1270,19,802,3,,,,,3,85,0,
02.22,中国,河南,1271,19,861,1,,,,,1,59,0,
02.23,中国,河南,1271,19,930,0,,,,,0,69,0,
02.24,中国,河南,1271,19,989,0,,,,,0,59,0,
02.25,中国,河南,1271,19,1023,0,,,,,0,34,0,
02.26,中国,河南,1272,20,1062,1,,,,,1,39,1,
02.27,中国,河南,1272,20,1103,0,,,,,0,41,0,
02.28,中国,河南,1272,21,1161,0,,,,,0,58,1,
02.29,中国,河南,1272,22,1185,0,,,,,0,24,1,
03.01,中国,河南,1272,22,1205,0,,,,,0,20,0,
03.02,中国,河南,1272,22,1223,0,,,,,0,18,0,
03.03,中国,河南,1272,22,1234,0,,,,,0,11,0,
03.04,中国,河南,1272,22,1239,0,,,,,0,5,0,
03.05,中国,河南,1272,22,1239,0,,,,,0,0,0,
03.06,中国,河南,1272,22,1243,0,,,,,0,4,0,
03.07,中国,河南,1272,22,1246,0,,,,,0,3,0,
03.08,中国,河南,1272,22,1247,0,,,,,0,1,0,
03.09,中国,河南,1272,22,1247,0,,,,,0,0,0,
03.10,中国,河南,1272,22,1249,0,,,,,0,2,0,
03.11,中国,河南,1273,22,1249,1,,,,,1,0,0,郑州确诊病例中包含1例境外输入型病例。
03.12,中国,河南,1273,22,1249,0,,,,,0,0,0,郑州确诊病例中包含1例境外输入型病例。
03.13,中国,河南,1273,22,1249,0,,,,,0,0,0,郑州确诊病例中包含1例境外输入型病例。
03.14,中国,河南,1273,22,1250,0,,,,,0,1,0,郑州确诊病例中包含1例境外输入型病例。
03.15,中国,河南,1273,22,1250,0,,,,,0,0,0,郑州确诊病例中包含1例境外输入型病例。
03.16,中国,河南,1273,22,1250,0,,,,,0,0,0,郑州确诊病例中包含1例境外输入型病例。
03.17,中国,河南,1273,22,1250,0,,,,,0,0,0,郑州确诊病例中包含1例境外输入型病例。
03.18,中国,河南,1273,22,1250,0,,,,,0,0,0,郑州确诊病例中包含1例境外输入型病例。
03.19,中国,河南,1273,22,1250,0,,,,,0,0,0,河南累计报告1例境外输入型病例。
03.20,中国,河南,1273,22,1250,0,,,,,0,0,0,河南累计报告1例境外输入型病例。
03.21,中国,河南,1273,22,1250,0,,,,,0,0,0,河南累计报告1例境外输入型病例。
03.22,中国,河南,1274,22,1250,1,,,,,1,0,0,河南累计报告1例境外输入型病例。
03.23,中国,河南,1274,22,1250,0,,,,,0,0,0,河南累计报告2例境外输入型病例。
03.24,中国,河南,1274,22,1250,0,,,,,0,0,0,河南累计报告2例境外输入型病例。
03.25,中国,河南,1275,22,1250,1,,,,,1,0,0,河南累计报告2例境外输入型病例。
03.26,中国,河南,1275,22,1250,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
03.27,中国,河南,1275,22,1251,0,,,,,0,1,0,河南累计报告3例境外输入型病例。
03.28,中国,河南,1276,22,1251,1,,,,,1,0,0,河南累计报告3例境外输入型病例。
03.29,中国,河南,1276,22,1251,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
03.30,中国,河南,1276,22,1251,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
03.31,中国,河南,1276,22,1251,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.01,中国,河南,1276,22,1251,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.02,中国,河南,1276,22,1251,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.03,中国,河南,1276,22,1251,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.04,中国,河南,1276,22,1251,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.05,中国,河南,1276,22,1252,0,,,,,0,1,0,河南累计报告3例境外输入型病例。
04.06,中国,河南,1276,22,1252,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.07,中国,河南,1276,22,1252,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.08,中国,河南,1276,22,1252,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.09,中国,河南,1276,22,1252,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.10,中国,河南,1276,22,1252,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.11,中国,河南,1276,22,1253,0,,,,,0,1,0,河南累计报告3例境外输入型病例。
04.12,中国,河南,1276,22,1253,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.13,中国,河南,1276,22,1254,0,,,,,0,1,0,河南累计报告3例境外输入型病例。
04.14,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.15,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.16,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.17,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.18,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.19,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.20,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.21,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.22,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.23,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.24,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.25,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
04.26,中国,河南,1276,22,1254,0,,,,,0,0,0,河南累计报告3例境外输入型病例。
