date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.24,中国,浙江,62,0,0,19,,,,,0,0,0,
01.25,中国,浙江,104,0,0,42,,,,,42,0,0,
01.26,中国,浙江,128,0,0,24,,,,,24,0,0,
01.27,中国,浙江,173,0,1,45,,,,,45,1,0,
01.28,中国,浙江,296,0,3,123,,,,,123,2,0,
01.29,中国,浙江,428,0,4,132,,,,,132,1,0,
01.30,中国,浙江,537,0,9,109,,,,,109,5,0,
01.31,中国,浙江,599,0,15,62,,,,,62,6,0,
02.01,中国,浙江,661,0,23,62,,,,,62,8,0,
02.02,中国,浙江,724,0,36,63,,,,,63,13,0,
02.03,中国,浙江,829,0,48,105,,,,,105,12,0,
02.04,中国,浙江,895,0,63,66,,,,,66,15,0,
02.05,中国,浙江,954,0,81,59,,,,,59,18,0,
02.06,中国,浙江,1006,0,98,52,,,,,52,17,0,
02.07,中国,浙江,1048,0,127,42,,,,,42,29,0,
02.08,中国,浙江,1075,0,173,27,,,,,27,46,0,
02.09,中国,浙江,1092,0,201,29,,,,,29,28,0,
02.10,中国,浙江,1092,0,239,29,,,,,29,38,0,
02.11,中国,浙江,1131,0,279,14,,,,,14,40,0,
02.12,中国,浙江,1145,0,327,14,,,,,14,48,0,
02.13,中国,浙江,1155,0,367,10,,,,,10,40,0,
02.14,中国,浙江,1162,0,409,7,,,,,7,42,0,
02.15,中国,浙江,1167,0,437,5,,,,,5,28,0,
02.16,中国,浙江,1171,0,470,4,,,,,4,33,0,
02.17,中国,浙江,1172,0,514,1,,,,,1,44,0,
02.18,中国,浙江,1173,0,544,1,,,,,1,30,0,
02.19,中国,浙江,1175,0,609,2,,,,,2,65,0,
02.20,中国,浙江,1203,1,647,28,,,,,28,38,1,
02.21,中国,浙江,1205,1,694,22,,,,,22,47,0,
02.22,中国,浙江,1205,1,729,0,,,,,0,35,0,
02.23,中国,浙江,1205,1,765,0,,,,,0,36,0,
02.24,中国,浙江,1205,1,794,0,,,,,0,29,0,
