date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.20,中国,湖北,270,6,25,72,,,,,0,0,0,
01.21,中国,湖北,375,9,28,105,,,,,105,3,3,
01.22,中国,湖北,444,17,28,69,,,,,69,0,8,
01.23,中国,湖北,549,24,31,105,,,,,105,3,7,
01.24,中国,湖北,729,39,32,180,,,,,180,1,15,
01.25,中国,湖北,1052,52,42,323,,,,,323,10,13,
01.26,中国,湖北,1423,76,44,371,,,,,371,2,24,
01.27,中国,湖北,2714,100,47,1291,,,,,1291,3,24,
01.28,中国,湖北,3554,125,80,840,,,,,840,33,25,
01.29,中国,湖北,4586,162,90,1032,,,,,1032,10,37,
01.30,中国,湖北,5806,204,116,1220,,,,,1220,26,42,
01.31,中国,湖北,7153,249,166,1347,,,,,1347,50,45,
02.01,中国,湖北,9074,294,215,1921,,,,,1921,49,45,
02.02,中国,湖北,11177,350,295,2103,,,,,2103,80,56,
02.03,中国,湖北,13522,414,396,2345,,,,,2345,101,64,
02.04,中国,湖北,16678,479,520,3156,,,,,3156,124,65,
02.05,中国,湖北,19655,549,633,2987,,,,,2987,113,70,
02.06,中国,湖北,22112,618,817,2447,,,,,2447,184,69,
02.07,中国,湖北,24953,699,1115,2841,,,,,2841,298,81,
02.08,中国,湖北,27100,780,1439,2147,,,,,2147,324,81,
02.09,中国,湖北,29631,871,1795,2618,,,,,2618,356,91,
02.10,中国,湖北,31728,974,2222,2097,,,,,2097,427,103,
02.11,中国,湖北,33366,1068,2639,1638,,,,,1638,417,94,
02.12,中国,湖北,48206,1310,3441,14840,,,,,14840,802,242,
02.13,中国,湖北,51986,1318,4131,4823,,,,,4823,690,8,
02.14,中国,湖北,54406,1457,4774,2420,,,,,2420,643,139,
02.15,中国,湖北,56249,1596,5623,1843,,,,,1843,849,139,
02.16,中国,湖北,58182,1696,6639,1933,,,,,1933,1016,100,
02.17,中国,湖北,59989,1789,7862,1807,,,,,1807,1223,93,
02.18,中国,湖北,61682,1921,9128,1693,,,,,1693,1266,132,
02.19,中国,湖北,62457,2029,10337,775,,,,,775,1209,108,
02.20,中国,湖北,63088,2144,11788,631,,,,,631,1451,115,
02.21,中国,湖北,63454,2250,13557,366,,,,,366,1769,106,
02.22,中国,湖北,64084,2346,15299,630,,,,,630,1742,96,
02.23,中国,湖北,64287,2495,16738,398,,,,,398,1439,149,
02.24,中国,湖北,64786,2563,18854,499,,,,,499,2116,68,
02.25,中国,湖北,65187,2615,20912,401,,,,,401,2058,52,
02.26,中国,湖北,65596,2641,23200,409,,,,,409,2288,26,
02.27,中国,湖北,65914,2682,26403,318,,,,,318,3203,41,
02.28,中国,湖北,66337,2727,28895,423,,,,,423,2492,45,
02.29,中国,湖北,66907,2761,31187,570,,,,,570,2292,34,
03.01,中国,湖北,67103,2803,33757,196,,,,,196,2570,42,
03.02,中国,湖北,67217,2834,36167,114,,,,,114,2410,31,
03.03,中国,湖北,67332,2871,38556,115,,,,,115,2389,37,
03.04,中国,湖北,67466,2902,40479,134,,,,,134,1923,31,
03.05,中国,湖北,67592,2931,41966,126,,,,,126,1487,29,
03.06,中国,湖北,67666,2959,43468,74,,,,,74,1502,28,
03.07,中国,湖北,67707,2986,45011,41,,,,,41,1543,27,
03.08,中国,湖北,67743,3007,46433,36,,,,,36,1422,21,
03.09,中国,湖北,67760,3024,47585,17,,,,,17,1152,17,
03.10,中国,湖北,67773,3046,49056,13,,,,,13,1471,22,
03.11,中国,湖北,67781,3056,50298,8,,,,,8,1242,10,
