date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.23,中国,湖南,24,0,0,15,,,,,0,0,0,
01.24,中国,湖南,43,0,0,19,,,,,19,0,0,
01.25,中国,湖南,69,0,0,26,,,,,26,0,0,
01.26,中国,湖南,100,0,0,31,,,,,31,0,0,
01.27,中国,湖南,143,0,0,43,,,,,43,0,0,
01.28,中国,湖南,221,0,0,78,,,,,78,0,0,
01.29,中国,湖南,277,0,0,56,,,,,56,0,0,
01.30,中国,湖南,332,0,2,55,,,,,55,2,0,
01.31,中国,湖南,389,0,3,57,,,,,57,1,0,
02.01,中国,湖南,463,0,8,74,,,,,74,5,0,
02.02,中国,湖南,521,0,16,58,,,,,58,8,0,
02.03,中国,湖南,593,0,22,72,,,,,72,6,0,
02.04,中国,湖南,661,0,35,68,,,,,68,13,0,
02.05,中国,湖南,711,0,56,50,,,,,50,21,0,
02.06,中国,湖南,772,0,91,61,,,,,61,35,0,
02.07,中国,湖南,803,0,119,31,,,,,31,28,0,
02.08,中国,湖南,838,1,159,35,,,,,35,40,1,
02.09,中国,湖南,879,1,186,41,,,,,41,27,0,
02.10,中国,湖南,912,1,213,33,,,,,33,27,0,
02.11,中国,湖南,946,2,263,34,,,,,34,50,1,
02.12,中国,湖南,968,2,312,22,,,,,22,49,0,
02.13,中国,湖南,988,2,352,20,,,,,20,40,0,
02.14,中国,湖南,1001,2,389,13,,,,,13,37,0,
02.15,中国,湖南,1004,3,430,3,,,,,3,41,1,
02.16,中国,湖南,1006,3,467,2,,,,,2,37,0,
02.17,中国,湖南,1007,4,501,1,,,,,1,34,1,
02.18,中国,湖南,1008,4,542,1,,,,,1,41,0,
02.19,中国,湖南,1010,4,578,2,,,,,2,36,0,
02.20,中国,湖南,1011,4,638,1,,,,,1,60,0,
02.21,中国,湖南,1013,4,670,2,,,,,2,32,0,
02.22,中国,湖南,1016,4,704,3,,,,,3,34,0,
02.23,中国,湖南,1016,4,721,0,,,,,0,17,0,
02.24,中国,湖南,1016,4,751,0,,,,,0,30,0,
02.25,中国,湖南,1016,4,779,0,,,,,0,28,0,
02.26,中国,湖南,1017,4,793,1,,,,,1,14,0,
02.27,中国,湖南,1017,4,820,0,,,,,0,27,0,
02.28,中国,湖南,1018,4,841,1,,,,,1,21,0,
02.29,中国,湖南,1018,4,853,0,,,,,0,12,0,
03.01,中国,湖南,1018,4,876,0,,,,,0,23,0,
03.02,中国,湖南,1018,4,892,0,,,,,0,16,0,
03.03,中国,湖南,1018,4,913,0,,,,,0,21,0,
03.04,中国,湖南,1018,4,933,0,,,,,0,20,0,
03.05,中国,湖南,1018,4,933,0,,,,,0,0,0,
03.06,中国,湖南,1018,4,959,0,,,,,0,26,0,
03.07,中国,湖南,1018,4,965,0,,,,,0,6,0,
03.08,中国,湖南,1018,4,979,0,,,,,0,14,0,
03.09,中国,湖南,1018,4,988,0,,,,,0,9,0,
03.10,中国,湖南,1018,4,995,0,,,,,0,7,0,
03.11,中国,湖南,1018,4,998,0,,,,,0,3,0,
03.12,中国,湖南,1018,4,1004,0,,,,,0,6,0,
03.13,中国,湖南,1018,4,1009,0,,,,,0,5,0,
03.14,中国,湖南,1018,4,1014,0,,,,,0,5,0,
03.15,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.16,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.17,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.18,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.19,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.20,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.21,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.22,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.23,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.24,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.25,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.26,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.27,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.28,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.29,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.30,中国,湖南,1018,4,1014,0,,,,,0,0,0,
03.31,中国,湖南,1018,4,1014,0,,,,,0,0,0,
04.01,中国,湖南,1019,4,1014,1,,,,,1,0,0,
04.02,中国,湖南,1019,4,1014,0,,,,,0,0,0,湖南省报告新型冠状病毒肺炎新增确诊病例1例，为境外输入。
