date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.25,中国,甘肃,7,0,0,3,,,,,0,0,0,
01.26,中国,甘肃,14,0,0,7,,,,,7,0,0,
01.27,中国,甘肃,19,0,0,5,,,,,5,0,0,
01.28,中国,甘肃,24,0,0,5,,,,,5,0,0,
01.29,中国,甘肃,26,0,0,2,,,,,2,0,0,
01.30,中国,甘肃,29,0,0,4,,,,,4,0,0,
01.31,中国,甘肃,35,0,3,6,,,,,6,3,0,
02.01,中国,甘肃,51,0,3,11,,,,,11,0,0,
02.03,中国,甘肃,55,0,3,4,,,,,4,0,0,
02.04,中国,甘肃,57,0,4,2,,,,,2,1,0,
02.05,中国,甘肃,62,0,6,5,,,,,5,2,0,
02.06,中国,甘肃,67,0,6,5,,,,,5,0,0,
02.07,中国,甘肃,71,0,9,4,,,,,4,3,0,
02.08,中国,甘肃,79,1,12,12,,,,,12,3,1,
02.09,中国,甘肃,83,2,17,4,,,,,4,5,1,
02.10,中国,甘肃,86,2,21,3,,,,,3,4,0,
02.11,中国,甘肃,86,2,24,0,,,,,0,3,0,
02.12,中国,甘肃,87,2,31,1,,,,,1,7,0,
02.13,中国,甘肃,90,2,39,3,,,,,3,8,0,
02.14,中国,甘肃,90,2,49,0,,,,,0,10,0,
02.16,中国,甘肃,90,2,54,0,,,,,0,5,0,
02.17,中国,甘肃,91,2,58,1,,,,,1,4,0,
02.18,中国,甘肃,91,2,65,0,,,,,0,7,0,
02.19,中国,甘肃,91,2,71,0,,,,,0,6,0,
02.20,中国,甘肃,91,2,76,0,,,,,0,5,0,
02.21,中国,甘肃,91,2,78,0,,,,,0,2,0,
02.23,中国,甘肃,91,2,78,0,,,,,0,0,0,
02.24,中国,甘肃,91,2,80,0,,,,,0,2,0,
02.25,中国,甘肃,91,2,80,0,,,,,0,0,0,
02.26,中国,甘肃,91,2,81,0,,,,,0,1,0,
02.27,中国,甘肃,91,2,82,0,,,,,0,1,0,
02.28,中国,甘肃,91,2,82,0,,,,,0,0,0,
02.29,中国,甘肃,91,2,84,0,,,,,0,2,0,
03.01,中国,甘肃,91,2,84,0,,,,,0,0,0,
03.02,中国,甘肃,91,2,86,0,,,,,0,2,0,
03.03,中国,甘肃,91,2,87,0,,,,,0,1,0,
03.04,中国,甘肃,102,2,87,11,,,,,11,0,0,
03.05,中国,甘肃,119,2,87,17,,,,,17,0,0,
03.06,中国,甘肃,120,2,87,1,,,,,1,0,0,
03.07,中国,甘肃,124,2,87,4,,,,,4,0,0,
03.08,中国,甘肃,124,2,88,4,,,,,4,1,0,
03.09,中国,甘肃,125,2,88,1,,,,,1,0,0,
03.09,中国,甘肃,125,2,88,1,,,,,1,0,0,
03.10,中国,甘肃,127,2,88,2,,,,,2,0,0,
