date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.28,中国,福建,82,0,0,0,,,,,0,0,0,
01.29,中国,福建,101,0,0,19,,,,,19,0,0,
01.30,中国,福建,120,0,0,19,,,,,19,0,0,
01.31,中国,福建,144,0,0,24,,,,,24,0,0,
02.01,中国,福建,159,0,0,15,,,,,15,0,0,
02.02,中国,福建,179,0,0,20,,,,,20,0,0,
02.03,中国,福建,194,0,1,15,,,,,15,1,0,
02.05,中国,福建,215,0,12,10,,,,,10,11,0,
02.06,中国,福建,224,0,15,9,,,,,9,3,0,
02.07,中国,福建,239,0,20,15,,,,,15,5,0,
02.08,中国,福建,250,0,24,11,,,,,11,4,0,
02.09,中国,福建,261,0,35,11,,,,,11,11,0,
02.10,中国,福建,267,0,39,6,,,,,6,4,0,
02.11,中国,福建,272,0,46,5,,,,,5,7,0,
02.12,中国,福建,279,0,54,7,,,,,7,8,0,
02.13,中国,福建,281,0,59,2,,,,,2,5,0,
02.14,中国,福建,285,0,66,4,,,,,4,7,0,
02.15,中国,福建,287,0,77,2,,,,,2,11,0,
02.16,中国,福建,290,0,84,3,,,,,3,7,0,
02.17,中国,福建,292,0,91,2,,,,,2,7,0,
02.18,中国,福建,293,0,96,1,,,,,1,5,0,
02.19,中国,福建,293,1,112,0,,,,,0,16,1,
02.20,中国,福建,293,1,134,0,,,,,0,22,0,
02.21,中国,福建,293,1,150,0,,,,,0,16,0,
02.22,中国,福建,293,1,165,0,,,,,0,15,0,
02.23,中国,福建,293,1,174,0,,,,,0,9,0,
02.24,中国,福建,294,1,188,1,,,,,1,14,0,
02.25,中国,福建,294,1,205,0,,,,,0,17,0,
02.26,中国,福建,296,1,225,2,,,,,2,20,0,
02.27,中国,福建,296,1,232,0,,,,,0,7,0,
02.28,中国,福建,296,1,241,0,,,,,0,9,0,
02.29,中国,福建,296,1,243,0,,,,,0,2,0,
03.01,中国,福建,296,1,247,0,,,,,0,4,0,
03.02,中国,福建,296,1,255,0,,,,,0,8,0,
03.03,中国,福建,296,1,261,0,,,,,0,6,0,
03.04,中国,福建,296,1,270,0,,,,,0,9,0,
03.05,中国,福建,296,1,278,0,,,,,0,8,0,
03.06,中国,福建,296,1,284,0,,,,,0,6,0,
03.07,中国,福建,296,1,295,0,,,,,0,11,0,
03.08,中国,福建,296,1,295,0,,,,,0,0,0,
03.09,中国,福建,296,1,295,0,,,,,0,0,0,
03.10,中国,福建,296,1,295,0,,,,,0,0,0,
03.11,中国,福建,296,1,295,0,,,,,0,0,0,
03.12,中国,福建,296,1,295,0,,,,,0,0,0,
03.13,中国,福建,296,1,295,0,,,,,0,0,0,
03.14,中国,福建,296,1,295,0,,,,,0,0,0,
03.15,中国,福建,296,1,295,0,,,,,0,0,0,
03.16,中国,福建,296,1,295,0,,,,,0,0,0,
03.17,中国,福建,296,1,295,0,,,,,0,0,0,
03.18,中国,福建,296,1,295,0,,,,,0,0,0,
03.19,中国,福建,296,1,295,0,,,,,0,0,0,
03.20,中国,福建,299,1,295,3,,,,,3,0,0,福建省累计报告境外输入确诊病例3例。
03.21,中国,福建,303,1,295,4,,,,,4,0,0,福建省累计报告境外输入确诊病例7例。
03.22,中国,福建,313,1,295,6,,,,,6,0,0,福建省累计报告境外输入确诊病例11例。
03.23,中国,福建,318,1,295,5,,,,,5,0,0,福建省累计报告境外输入确诊病例17例。
03.24,中国,福建,322,1,295,4,,,,,4,0,0,福建省累计报告境外输入确诊病例22例。
03.25,中国,福建,328,1,295,6,,,,,6,0,0,福建省累计报告境外输入确诊病例26例。
03.26,中国,福建,331,1,295,3,,,,,3,0,0,福建省累计报告境外输入确诊病例32例。
03.27,中国,福建,337,1,295,6,,,,,6,0,0,福建省累计报告境外输入确诊病例35例。
03.28,中国,福建,338,1,295,1,,,,,1,0,0,福建省累计报告境外输入确诊病例41例。
03.29,中国,福建,340,1,295,2,,,,,2,0,0,福建省累计报告境外输入确诊病例42例。
03.30,中国,福建,343,1,295,3,,,,,3,0,0,福建省累计报告境外输入确诊病例44例。
03.31,中国,福建,345,1,297,2,,,,,2,2,0,福建省累计报告境外输入确诊病例47例。
04.01,中国,福建,345,1,299,0,,,,,0,2,0,福建省累计报告境外输入确诊病例49例。
04.02,中国,福建,349,1,300,4,,,,,4,1,0,福建省累计报告境外输入确诊病例53例。
04.03,中国,福建,350,1,301,1,,,,,1,1,0,福建省累计报告境外输入确诊病例53例。
04.04,中国,福建,350,1,303,0,,,,,0,2,0,福建省累计报告境外输入确诊病例54例。
04.05,中国,福建,350,1,305,0,,,,,0,2,0,福建省累计报告境外输入确诊病例54例。
04.06,中国,福建,351,1,305,1,,,,,1,0,0,福建省累计报告境外输入确诊病例54例。
04.07,中国,福建,351,1,307,0,,,,,0,2,0,福建省累计报告境外输入确诊病例55例。
04.08,中国,福建,351,1,308,0,,,,,0,1,0,福建省累计报告境外输入确诊病例55例。
04.09,中国,福建,351,1,311,0,,,,,0,3,0,福建省累计报告境外输入确诊病例55例。
04.10,中国,福建,351,1,317,0,,,,,0,6,0,福建省累计报告境外输入确诊病例55例。
04.11,中国,福建,352,1,321,1,,,,,1,4,0,福建省累计报告境外输入确诊病例56例。
04.12,中国,福建,352,1,325,1,,,,,1,4,0,福建省累计报告境外输入确诊病例56例。
04.13,中国,福建,353,1,329,1,,,,,1,4,0,福建省累计报告境外输入确诊病例56例。
04.14,中国,福建,353,1,331,0,,,,,0,2,0,福建省累计报告境外输入确诊病例57例。
04.15,中国,福建,353,1,333,0,,,,,0,2,0,福建省累计报告境外输入确诊病例57例。
04.16,中国,福建,354,1,334,1,,,,,1,1,0,福建省累计报告境外输入确诊病例58例。
04.17,中国,福建,355,1,336,1,,,,,1,2,0,福建省累计报告境外输入确诊病例59例。
04.18,中国,福建,355,1,339,0,,,,,0,3,0,福建省累计报告境外输入确诊病例59例。
04.19,中国,福建,355,1,339,0,,,,,0,0,0,福建省累计报告境外输入确诊病例59例。
04.20,中国,福建,355,1,341,0,,,,,0,2,0,福建省累计报告境外输入确诊病例59例。
04.21,中国,福建,355,1,342,0,,,,,0,1,0,福建省累计报告境外输入确诊病例59例。
04.22,中国,福建,355,1,342,0,,,,,0,0,0,福建省累计报告境外输入确诊病例59例。
04.23,中国,福建,355,1,346,0,,,,,0,4,0,福建省累计报告境外输入确诊病例59例。
04.24,中国,福建,355,1,349,0,,,,,0,3,0,福建省累计报告境外输入确诊病例59例。
04.25,中国,福建,355,1,349,0,,,,,0,0,0,福建省累计报告境外输入确诊病例59例。
04.26,中国,福建,355,1,349,0,,,,,0,0,0,福建省累计报告境外输入确诊病例59例。
04.27,中国,福建,355,1,349,0,,,,,0,0,0,福建省累计报告境外输入确诊病例59例。
04.28,中国,福建,355,1,352,0,,,,,0,3,0,福建省累计报告境外输入确诊病例59例。
04.29,中国,福建,355,1,353,0,,,,,0,1,0,福建省累计报告境外输入确诊病例59例。
04.30,中国,福建,356,1,353,1,,,,,1,0,0,福建省累计报告境外输入确诊病例60例。
05.01,中国,福建,356,1,353,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.02,中国,福建,356,1,353,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.03,中国,福建,356,1,353,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.04,中国,福建,356,1,353,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.05,中国,福建,356,1,353,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.06,中国,福建,356,1,354,0,,,,,0,1,0,福建省累计报告境外输入确诊病例60例。
05.07,中国,福建,356,1,354,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.08,中国,福建,356,1,354,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.09,中国,福建,356,1,354,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.10,中国,福建,356,1,354,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.11,中国,福建,356,1,354,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.12,中国,福建,356,1,354,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.13,中国,福建,356,1,354,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.14,中国,福建,356,1,355,0,,,,,0,1,0,福建省累计报告境外输入确诊病例60例。
05.15,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.16,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.17,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.18,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.19,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.20,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.21,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.22,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.23,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.24,中国,福建,356,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例60例。
05.25,中国,福建,357,1,355,1,,,,,1,0,0,福建省累计报告境外输入确诊病例61例。
05.26,中国,福建,357,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例61例。
05.27,中国,福建,358,1,355,1,,,,,1,0,0,福建省累计报告境外输入确诊病例62例。
05.28,中国,福建,358,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
05.29,中国,福建,358,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
05.30,中国,福建,358,1,355,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
05.31,中国,福建,358,1,356,0,,,,,0,1,0,福建省累计报告境外输入确诊病例62例。
06.01,中国,福建,358,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
06.02,中国,福建,358,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
06.03,中国,福建,358,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
06.04,中国,福建,358,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
06.05,中国,福建,358,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例62例。
06.06,中国,福建,359,1,356,1,,,,,1,0,0,福建省累计报告境外输入确诊病例63例。
06.07,中国,福建,359,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例63例。
06.08,中国,福建,359,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例63例。
06.09,中国,福建,359,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例63例。
06.10,中国,福建,360,1,356,1,,,,,1,0,0,福建省累计报告境外输入确诊病例64例。
06.11,中国,福建,361,1,356,1,,,,,1,0,0,福建省累计报告境外输入确诊病例65例。
06.12,中国,福建,361,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例65例。
06.13,中国,福建,361,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例65例。
06.14,中国,福建,362,1,356,1,,,,,1,0,0,福建省累计报告境外输入确诊病例66例。
06.15,中国,福建,362,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例66例。
06.16,中国,福建,362,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例66例。
06.17,中国,福建,362,1,356,0,,,,,0,0,0,福建省累计报告境外输入确诊病例66例。
06.18,中国,福建,362,1,357,0,,,,,0,1,0,福建省累计报告境外输入确诊病例66例。
06.19,中国,福建,362,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例66例。
06.20,中国,福建,363,1,357,1,,,,,1,0,0,福建省累计报告境外输入确诊病例67例。
06.21,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.22,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.23,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.24,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.25,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.26,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.27,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.28,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.29,中国,福建,363,1,357,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
06.30,中国,福建,363,1,359,0,,,,,0,2,0,福建省累计报告境外输入确诊病例67例。
07.01,中国,福建,363,1,359,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.02,中国,福建,363,1,359,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.03,中国,福建,363,1,360,0,,,,,0,1,0,福建省累计报告境外输入确诊病例67例。
07.04,中国,福建,363,1,360,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.05,中国,福建,363,1,360,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.06,中国,福建,363,1,360,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.07,中国,福建,363,1,360,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.08,中国,福建,363,1,360,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.09,中国,福建,363,1,361,0,,,,,0,1,0,福建省累计报告境外输入确诊病例67例。
07.10,中国,福建,363,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.11,中国,福建,363,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.12,中国,福建,363,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.13,中国,福建,363,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.14,中国,福建,363,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.15,中国,福建,363,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.16,中国,福建,363,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例67例。
07.17,中国,福建,364,1,361,1,,,,,1,0,0,福建省累计报告境外输入确诊病例68例。
07.18,中国,福建,364,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例68例。
07.19,中国,福建,364,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例68例。
07.20,中国,福建,364,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例68例。
07.21,中国,福建,364,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例68例。
07.22,中国,福建,364,1,361,0,,,,,0,0,0,福建省累计报告境外输入确诊病例68例。
