date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.23,中国,贵州,3,0,0,0,,,,,0,0,0,
01.24,中国,贵州,4,0,0,1,,,,,1,0,0,
01.25,中国,贵州,5,0,0,1,,,,,1,0,0,
01.26,中国,贵州,7,0,0,2,,,,,2,0,0,
01.27,中国,贵州,9,0,0,2,,,,,2,0,0,
01.28,中国,贵州,9,0,0,0,,,,,0,0,0,
01.29,中国,贵州,12,0,0,3,,,,,3,0,0,
01.30,中国,贵州,15,0,1,3,,,,,3,1,0,
01.31,中国,贵州,29,0,2,14,,,,,14,1,0,
02.01,中国,贵州,38,0,2,9,,,,,9,0,0,
02.02,中国,贵州,46,0,2,8,,,,,8,0,0,
02.03,中国,贵州,56,0,2,10,,,,,10,0,0,
02.04,中国,贵州,64,0,5,8,,,,,8,3,0,
02.05,中国,贵州,69,1,6,5,,,,,5,1,1,
02.06,中国,贵州,77,1,6,8,,,,,8,0,0,
02.07,中国,贵州,89,1,6,12,,,,,12,0,0,
02.08,中国,贵州,96,1,7,7,,,,,7,1,0,
02.09,中国,贵州,109,1,7,13,,,,,13,0,0,
02.10,中国,贵州,118,1,10,9,,,,,9,3,0,
02.11,中国,贵州,131,1,17,13,,,,,13,7,0,
02.12,中国,贵州,135,1,20,4,,,,,4,3,0,
02.13,中国,贵州,140,1,28,5,,,,,5,8,0,
02.14,中国,贵州,143,1,33,3,,,,,3,5,0,
02.15,中国,贵州,144,1,37,1,,,,,1,4,0,
02.16,中国,贵州,146,1,47,2,,,,,2,10,0,
02.17,中国,贵州,146,1,66,0,,,,,0,19,0,
02.18,中国,贵州,146,2,69,0,,,,,0,3,1,
02.19,中国,贵州,146,2,71,0,,,,,0,2,0,
02.20,中国,贵州,146,2,76,0,,,,,0,5,0,
02.21,中国,贵州,146,2,90,0,,,,,0,14,0,
02.22,中国,贵州,146,2,91,0,,,,,0,1,0,
02.23,中国,贵州,146,2,102,0,,,,,0,11,0,
02.24,中国,贵州,146,2,103,0,,,,,0,1,0,
02.25,中国,贵州,146,2,104,0,,,,,0,1,0,
02.26,中国,贵州,146,2,112,0,,,,,0,8,0,
02.27,中国,贵州,146,2,112,0,,,,,0,0,0,
02.28,中国,贵州,146,2,112,0,,,,,0,0,0,
02.29,中国,贵州,146,2,112,0,,,,,0,0,0,
03.01,中国,贵州,146,2,114,0,,,,,0,2,0,
03.02,中国,贵州,146,2,114,0,,,,,0,0,0,
03.03,中国,贵州,146,2,114,0,,,,,0,0,0,
03.04,中国,贵州,146,2,114,0,,,,,0,0,0,
03.05,中国,贵州,146,2,114,0,,,,,0,0,0,
03.06,中国,贵州,146,2,115,0,,,,,0,1,0,
03.07,中国,贵州,146,2,117,0,,,,,0,2,0,
03.08,中国,贵州,146,2,123,0,,,,,0,6,0,
03.09,中国,贵州,146,2,129,0,,,,,0,6,0,
03.10,中国,贵州,146,2,133,0,,,,,0,4,0,
03.11,中国,贵州,146,2,133,0,,,,,0,0,0,
03.12,中国,贵州,146,2,140,0,,,,,0,7,0,
03.13,中国,贵州,146,2,143,0,,,,,0,3,0,
03.14,中国,贵州,146,2,143,0,,,,,0,0,0,
03.15,中国,贵州,146,2,143,0,,,,,0,0,0,
03.16,中国,贵州,146,2,144,0,,,,,0,1,0,
03.17,中国,贵州,146,2,144,0,,,,,0,0,0,
03.18,中国,贵州,146,2,144,0,,,,,0,0,0,
03.19,中国,贵州,146,2,144,0,,,,,0,0,0,
03.20,中国,贵州,146,2,144,0,,,,,0,0,0,
03.21,中国,贵州,146,2,144,0,,,,,0,0,0,
03.22,中国,贵州,146,2,144,0,,,,,0,0,0,
03.23,中国,贵州,146,2,144,0,,,,,0,0,0,
03.24,中国,贵州,146,2,144,0,,,,,0,0,0,
03.25,中国,贵州,146,2,144,0,,,,,0,0,0,
03.26,中国,贵州,146,2,144,0,,,,,0,0,0,
03.27,中国,贵州,146,2,144,0,,,,,0,0,0,
03.28,中国,贵州,147,2,144,1,,,,,1,0,0,
03.29,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
03.30,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
03.31,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.02,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.03,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.04,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.05,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.06,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.07,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.08,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.09,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.10,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.11,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.12,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.13,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.14,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.15,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.16,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.17,中国,贵州,147,2,144,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.18,中国,贵州,147,2,145,0,,,,,0,1,0,贵州累计报告境外输入确诊病例1例。
04.19,中国,贵州,147,2,145,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.20,中国,贵州,147,2,145,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.21,中国,贵州,147,2,145,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.21,中国,贵州,147,2,145,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.22,中国,贵州,147,2,145,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.23,中国,贵州,147,2,145,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
04.24,中国,贵州,147,2,145,0,,,,,0,0,0,贵州累计报告境外输入确诊病例1例。
