date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
02.01,中国,辽宁,64,0,1,1,,,,,0,0,0,
02.02,中国,辽宁,70,0,1,1,,,,,1,0,0,
02.03,中国,辽宁,73,1,2,3,,,,,3,1,1,
02.04,中国,辽宁,75,0,2,5,,,,,5,0,-1,
02.06,中国,辽宁,95,0,6,6,,,,,6,4,0,
02.07,中国,辽宁,103,0,7,4,,,,,4,1,0,
02.08,中国,辽宁,105,0,12,6,,,,,6,5,0,
02.09,中国,辽宁,107,0,12,2,,,,,2,0,0,
02.10,中国,辽宁,111,0,10,3,,,,,3,-2,0,
02.11,中国,辽宁,116,0,19,8,,,,,8,9,0,
02.12,中国,辽宁,116,1,20,8,,,,,8,1,1,
02.13,中国,辽宁,117,1,22,1,,,,,1,2,0,
02.14,中国,辽宁,119,1,29,3,,,,,3,7,0,
02.15,中国,辽宁,120,1,32,1,,,,,1,3,0,
02.16,中国,辽宁,121,1,41,1,,,,,1,9,0,
02.17,中国,辽宁,121,1,43,0,,,,,0,2,0,
02.18,中国,辽宁,121,1,55,0,,,,,0,12,0,
02.19,中国,辽宁,121,1,58,0,,,,,0,3,0,
02.20,中国,辽宁,121,1,61,0,,,,,0,3,0,
02.21,中国,辽宁,121,1,66,0,,,,,0,5,0,
02.22,中国,辽宁,121,1,68,0,,,,,0,2,0,
02.23,中国,辽宁,121,1,73,0,,,,,0,5,0,
02.24,中国,辽宁,121,1,83,0,,,,,0,10,0,
02.25,中国,辽宁,121,1,88,0,,,,,0,5,0,
02.26,中国,辽宁,121,1,92,0,,,,,0,4,0,
02.27,中国,辽宁,121,1,93,0,,,,,0,1,0,
02.28,中国,辽宁,121,1,93,0,,,,,0,0,0,
02.29,中国,辽宁,122,1,101,1,,,,,1,8,0,
03.01,中国,辽宁,122,1,103,1,,,,,1,2,0,
03.02,中国,辽宁,125,1,103,3,,,,,3,0,0,
03.03,中国,辽宁,125,1,106,0,,,,,0,3,0,
