date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.21,中国,重庆,6,0,0,0,,,,,0,0,0,
01.22,中国,重庆,9,0,0,3,,,,,3,0,0,
01.23,中国,重庆,27,0,0,18,,,,,18,0,0,
01.24,中国,重庆,58,0,0,30,,,,,30,0,0,
01.25,中国,重庆,75,0,0,18,,,,,18,0,0,
01.26,中国,重庆,110,0,0,35,,,,,35,0,0,
01.27,中国,重庆,132,0,0,22,,,,,22,0,0,
01.28,中国,重庆,147,0,0,15,,,,,15,0,0,
01.29,中国,重庆,165,0,1,18,,,,,18,1,0,
01.30,中国,重庆,206,0,1,41,,,,,41,0,0,
01.31,中国,重庆,238,1,1,32,,,,,32,0,1,
02.01,中国,重庆,262,1,3,24,,,,,24,2,0,
02.02,中国,重庆,300,2,7,38,,,,,38,4,1,
02.03,中国,重庆,337,2,9,37,,,,,37,2,0,
02.04,中国,重庆,366,2,14,29,,,,,29,5,0,
02.05,中国,重庆,390,2,15,24,,,,,24,1,0,
02.06,中国,重庆,411,2,24,22,,,,,22,9,0,
02.07,中国,重庆,426,2,31,15,,,,,15,7,0,
02.08,中国,重庆,446,2,39,20,,,,,20,8,0,
02.09,中国,重庆,468,2,51,22,,,,,22,12,0,
02.10,中国,重庆,473,2,60,5,,,,,5,9,0,
02.11,中国,重庆,505,3,79,19,,,,,19,19,1,
02.12,中国,重庆,518,3,102,13,,,,,13,23,0,
02.13,中国,重庆,529,4,128,11,,,,,11,26,1,
02.14,中国,重庆,537,5,152,8,,,,,8,24,1,
02.15,中国,重庆,544,5,184,7,,,,,7,32,0,
02.16,中国,重庆,551,5,207,7,,,,,7,23,0,
02.17,中国,重庆,553,5,225,2,,,,,2,18,0,
02.18,中国,重庆,553,5,254,2,,,,,2,29,0,
02.19,中国,重庆,560,5,274,5,,,,,5,20,0,
02.20,中国,重庆,567,6,299,7,,,,,7,25,1,
02.21,中国,重庆,572,6,316,5,,,,,5,17,0,
02.22,中国,重庆,573,6,328,1,,,,,1,12,0,
02.23,中国,重庆,575,6,335,2,,,,,2,7,0,
02.24,中国,重庆,576,6,349,1,,,,,1,14,0,
02.25,中国,重庆,576,6,372,0,,,,,0,23,0,
02.26,中国,重庆,576,6,384,0,,,,,0,12,0,
02.27,中国,重庆,576,6,401,0,,,,,0,17,0,
02.28,中国,重庆,576,6,422,0,,,,,0,21,0,
02.29,中国,重庆,576,6,438,0,,,,,0,16,0,
03.01,中国,重庆,576,6,450,0,,,,,0,12,0,
03.02,中国,重庆,576,6,469,0,,,,,0,19,0,
03.03,中国,重庆,576,6,490,0,,,,,0,21,0,
03.04,中国,重庆,576,6,502,0,,,,,0,12,0,
03.05,中国,重庆,576,6,502,0,,,,,0,0,0,
03.06,中国,重庆,576,6,520,0,,,,,0,18,0,
03.07,中国,重庆,576,6,526,0,,,,,0,6,0,
03.08,中国,重庆,576,6,527,0,,,,,0,1,0,
03.09,中国,重庆,576,6,542,0,,,,,0,15,0,
03.10,中国,重庆,576,6,547,0,,,,,0,5,0,
03.11,中国,重庆,576,6,554,0,,,,,0,7,0,
03.12,中国,重庆,576,6,564,0,,,,,0,10,0,
03.13,中国,重庆,576,6,566,0,,,,,0,2,0,
03.14,中国,重庆,576,6,569,0,,,,,0,3,0,
03.15,中国,重庆,576,6,570,0,,,,,0,1,0,
03.16,中国,重庆,576,6,570,0,,,,,0,0,0,
03.17,中国,重庆,576,6,570,0,,,,,0,0,0,
03.18,中国,重庆,576,6,570,0,,,,,0,0,0,
03.19,中国,重庆,576,6,570,0,,,,,0,0,0,
03.20,中国,重庆,576,6,570,0,,,,,0,0,0,
03.21,中国,重庆,577,6,570,1,,,,,1,0,0,重庆累计报告境外输入确诊病例1例。
03.22,中国,重庆,577,6,570,0,,,,,0,0,0,重庆累计报告境外输入确诊病例1例。
03.23,中国,重庆,578,6,570,1,,,,,1,0,0,重庆累计报告境外输入确诊病例1例。
03.24,中国,重庆,578,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例2例。
03.25,中国,重庆,578,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例2例。
03.26,中国,重庆,578,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例2例。
03.27,中国,重庆,578,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例2例。
03.28,中国,重庆,579,6,570,1,,,,,1,0,0,重庆市累计报告境外输入确诊病例2例。
03.29,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
03.30,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
03.31,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
04.01,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
04.02,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
04.03,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
04.04,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
04.05,中国,重庆,579,6,570,0,,,,,0,0,0,重庆市累计报告境外输入确诊病例3例。
