date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.29,中国,陕西,56,0,0,10,,,,,0,0,0,
01.30,中国,陕西,63,0,0,7,,,,,7,0,0,
01.31,中国,陕西,87,0,0,24,,,,,24,0,0,
02.01,中国,陕西,101,0,0,15,,,,,15,0,0,
02.02,中国,陕西,116,0,0,15,,,,,15,0,0,
02.03,中国,陕西,124,0,6,8,,,,,8,6,0,
02.04,中国,陕西,142,0,1,14,,,,,14,-5,0,
02.05,中国,陕西,165,0,2,23,,,,,23,1,0,
02.06,中国,陕西,173,0,11,8,,,,,8,9,0,
02.07,中国,陕西,184,0,17,11,,,,,11,6,0,
02.08,中国,陕西,195,0,20,11,,,,,11,3,0,
02.09,中国,陕西,208,0,25,13,,,,,13,5,0,
02.10,中国,陕西,219,0,31,11,,,,,11,6,0,
02.11,中国,陕西,225,0,36,6,,,,,6,5,0,
02.12,中国,陕西,229,0,42,4,,,,,4,6,0,
02.13,中国,陕西,230,0,49,1,,,,,1,7,0,
02.14,中国,陕西,230,0,49,1,,,,,1,0,0,
02.15,中国,陕西,236,0,64,4,,,,,4,15,0,
02.16,中国,陕西,240,0,74,4,,,,,4,10,0,
02.17,中国,陕西,240,0,79,0,,,,,0,5,0,
02.18,中国,陕西,242,0,89,2,,,,,2,10,0,
02.19,中国,陕西,245,1,105,3,,,,,3,16,1,
02.20,中国,陕西,245,1,117,0,,,,,0,12,0,
02.21,中国,陕西,245,1,140,0,,,,,0,23,0,
02.22,中国,陕西,245,1,153,0,,,,,0,13,0,
02.23,中国,陕西,245,1,162,0,,,,,0,9,0,
02.24,中国,陕西,245,1,175,0,,,,,0,13,0,
02.25,中国,陕西,245,1,186,0,,,,,0,11,0,
02.26,中国,陕西,245,1,194,0,,,,,0,8,0,
02.27,中国,陕西,245,1,197,0,,,,,0,3,0,
02.28,中国,陕西,245,1,200,0,,,,,0,3,0,
02.29,中国,陕西,245,1,207,0,,,,,0,7,0,
03.01,中国,陕西,245,1,209,0,,,,,0,2,0,
03.02,中国,陕西,245,1,216,0,,,,,0,7,0,
03.03,中国,陕西,245,1,216,0,,,,,0,0,0,
03.04,中国,陕西,245,1,222,0,,,,,0,6,0,
03.05,中国,陕西,245,1,224,0,,,,,0,2,0,
