date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description
01.31,中国,黑龙江,80,0,0,21,,,,,0,0,0,
02.01,中国,黑龙江,95,0,2,15,,,,,15,2,0,
02.02,中国,黑龙江,118,0,2,23,,,,,23,0,0,
02.03,中国,黑龙江,155,0,2,37,,,,,37,0,0,
02.04,中国,黑龙江,190,0,4,35,,,,,35,2,0,
02.05,中国,黑龙江,227,1,7,37,,,,,37,3,1,
02.06,中国,黑龙江,277,3,8,50,,,,,50,1,2,
02.07,中国,黑龙江,295,5,12,19,,,,,19,4,2,
02.08,中国,黑龙江,307,6,13,26,,,,,26,1,1,
02.09,中国,黑龙江,331,7,15,24,,,,,24,2,1,
02.10,中国,黑龙江,360,8,27,29,,,,,29,12,1,
02.11,中国,黑龙江,378,8,28,18,,,,,18,1,0,
02.12,中国,黑龙江,395,9,31,17,,,,,17,3,1,
02.13,中国,黑龙江,418,11,37,23,,,,,23,6,2,
02.14,中国,黑龙江,425,11,48,7,,,,,7,11,0,
02.15,中国,黑龙江,445,11,70,20,,,,,20,22,0,
02.16,中国,黑龙江,457,11,80,12,,,,,12,10,0,
02.17,中国,黑龙江,464,11,85,7,,,,,7,5,0,
02.18,中国,黑龙江,470,12,108,6,,,,,6,23,1,
02.19,中国,黑龙江,476,12,123,6,,,,,6,15,0,
02.20,中国,黑龙江,479,12,141,3,,,,,3,18,0,
02.21,中国,黑龙江,479,12,183,0,,,,,0,42,0,
02.22,中国,黑龙江,480,12,215,1,,,,,1,32,0,
02.23,中国,黑龙江,480,12,224,0,,,,,0,9,0,
02.24,中国,黑龙江,480,12,232,0,,,,,0,8,0,
02.25,中国,黑龙江,480,12,245,0,,,,,0,13,0,
02.26,中国,黑龙江,480,13,262,0,,,,,0,17,1,
02.27,中国,黑龙江,480,13,280,0,,,,,0,18,0,
02.28,中国,黑龙江,480,13,295,0,,,,,0,15,0,
02.29,中国,黑龙江,480,13,330,0,,,,,0,35,0,
03.01,中国,黑龙江,480,13,350,0,,,,,0,20,0,
03.02,中国,黑龙江,480,13,358,0,,,,,0,8,0,
03.03,中国,黑龙江,480,13,372,0,,,,,0,14,0,
03.04,中国,黑龙江,481,13,379,1,,,,,1,7,0,
03.05,中国,黑龙江,481,13,380,0,,,,,0,1,0,
03.06,中国,黑龙江,481,13,402,0,,,,,0,22,0,
03.07,中国,黑龙江,481,13,409,0,,,,,0,7,0,
03.08,中国,黑龙江,481,13,421,0,,,,,0,12,0,
03.09,中国,黑龙江,481,13,434,0,,,,,0,13,0,
03.10,中国,黑龙江,482,13,435,1,,,,,1,1,0,
03.11,中国,黑龙江,482,13,440,0,,,,,0,5,0,
03.12,中国,黑龙江,482,13,446,0,,,,,0,6,0,
03.13,中国,黑龙江,482,13,447,0,,,,,0,1,0,
03.14,中国,黑龙江,482,13,453,0,,,,,0,6,0,
03.15,中国,黑龙江,482,13,454,0,,,,,0,1,0,
03.16,中国,黑龙江,482,13,456,0,,,,,0,2,0,
03.17,中国,黑龙江,482,13,459,0,,,,,0,3,0,
03.18,中国,黑龙江,482,13,459,0,,,,,0,0,0,
03.19,中国,黑龙江,484,13,463,1,,,,,1,4,0,哈尔滨报告境外输入确诊病例1例
03.20,中国,黑龙江,484,13,463,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.21,中国,黑龙江,484,13,463,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.22,中国,黑龙江,484,13,465,0,,,,,0,2,0,哈尔滨报告境外输入确诊病例2例
03.23,中国,黑龙江,484,13,468,0,,,,,0,3,0,哈尔滨报告境外输入确诊病例2例
03.24,中国,黑龙江,484,13,468,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.25,中国,黑龙江,484,13,469,0,,,,,0,1,0,哈尔滨报告境外输入确诊病例2例
03.26,中国,黑龙江,484,13,469,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.27,中国,黑龙江,484,13,469,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.28,中国,黑龙江,484,13,469,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.29,中国,黑龙江,484,13,469,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.30,中国,黑龙江,484,13,469,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
03.31,中国,黑龙江,484,13,469,0,,,,,0,0,0,哈尔滨报告境外输入确诊病例2例
04.01,中国,黑龙江,488,13,469,4,,,,,4,0,0,哈尔滨报告境外输入确诊病例2例
04.02,中国,黑龙江,489,13,469,1,,,,,1,0,0,哈尔滨报告境外输入确诊病例7例。
04.03,中国,黑龙江,491,13,469,2,,,,,2,0,0,哈尔滨报告境外输入确诊病例7例。
04.04,中国,黑龙江,504,13,469,13,,,,,13,0,0,哈尔滨报告境外输入确诊病例9例。
04.05,中国,黑龙江,524,13,469,20,,,,,20,0,0,哈尔滨报告境外输入确诊病例22例。
04.06,中国,黑龙江,544,13,469,20,,,,,20,0,0,哈尔滨报告境外输入确诊病例42例。
04.07,中国,黑龙江,569,13,470,25,,,,,25,1,0,哈尔滨报告境外输入确诊病例62例。
04.08,中国,黑龙江,609,13,470,40,,,,,40,0,0,黑龙江省累计报告境外输入确诊病例87例。
04.09,中国,黑龙江,638,13,470,29,,,,,29,0,0,黑龙江省累计报告境外输入确诊病例127例。
04.10,中国,黑龙江,661,13,470,23,,,,,23,0,0,黑龙江省累计报告境外输入确诊病例177例。
04.11,中国,黑龙江,684,13,470,23,,,,,23,0,0,黑龙江省累计报告境外输入确诊病例198例。
04.12,中国,黑龙江,740,13,470,56,,,,,56,0,0,黑龙江省累计报告境外输入确诊病例198例。
04.13,中国,黑龙江,819,13,470,79,,,,,79,0,0,黑龙江省累计报告境外输入确诊病例326例。
04.14,中国,黑龙江,841,13,470,22,,,,,22,0,0,黑龙江省累计报告境外输入确诊病例340例。
04.15,中国,黑龙江,861,13,471,20,,,,,20,1,0,黑龙江省累计报告境外输入确诊病例356例。
04.16,中国,黑龙江,872,13,471,11,,,,,11,0,0,黑龙江省累计报告境外输入确诊病例364例。
04.17,中国,黑龙江,892,13,472,20,,,,,20,1,0,黑龙江省累计报告境外输入确诊病例377例。
04.18,中国,黑龙江,898,13,472,6,,,,,6,0,0,黑龙江省累计报告境外输入确诊病例377例。
04.19,中国,黑龙江,905,13,472,7,,,,,7,0,0,黑龙江省累计报告境外输入确诊病例381例。
04.20,中国,黑龙江,913,13,475,8,,,,,8,3,0,黑龙江省累计报告境外输入确诊病例383例。
04.21,中国,黑龙江,921,13,477,8,,,,,8,2,0,黑龙江省累计报告境外输入确诊病例384例。
04.22,中国,黑龙江,925,13,485,4,,,,,4,8,0,黑龙江省累计报告境外输入确诊病例385例。
04.23,中国,黑龙江,928,13,485,3,,,,,3,0,0,黑龙江省累计报告境外输入确诊病例385例。
04.24,中国,黑龙江,930,13,508,2,,,,,2,23,0,黑龙江省累计报告境外输入确诊病例386例。
04.25,中国,黑龙江,935,13,511,5,,,,,5,3,0,黑龙江省累计报告境外输入确诊病例386例。
04.26,中国,黑龙江,936,13,556,1,,,,,1,45,0,黑龙江省累计报告境外输入确诊病例386例。
04.27,中国,黑龙江,939,13,586,3,,,,,3,30,0,黑龙江省累计报告境外输入确诊病例386例。
04.28,中国,黑龙江,939,13,587,0,,,,,0,1,0,黑龙江省累计报告境外输入确诊病例386例。
04.29,中国,黑龙江,939,13,587,0,,,,,0,0,0,黑龙江省累计报告境外输入确诊病例386例。
04.30,中国,黑龙江,944,13,587,5,,,,,5,0,0,黑龙江省累计报告境外输入确诊病例386例。
05.01,中国,黑龙江,944,13,604,0,,,,,0,17,0,黑龙江省累计报告境外输入确诊病例386例。
05.02,中国,黑龙江,944,13,620,0,,,,,0,16,0,黑龙江省累计报告境外输入确诊病例386例。
05.03,中国,黑龙江,944,13,657,0,,,,,0,37,0,黑龙江省累计报告境外输入确诊病例386例。
05.04,中国,黑龙江,944,13,719,0,,,,,0,62,0,黑龙江省累计报告境外输入确诊病例386例。
05.05,中国,黑龙江,944,13,758,0,,,,,0,39,0,黑龙江省累计报告境外输入确诊病例386例。
05.06,中国,黑龙江,944,13,793,0,,,,,0,35,0,黑龙江省累计报告境外输入确诊病例386例。
05.07,中国,黑龙江,944,13,815,0,,,,,0,22,0,黑龙江省累计报告境外输入确诊病例386例。
05.08,中国,黑龙江,944,13,835,0,,,,,0,20,0,黑龙江省累计报告境外输入确诊病例386例。
05.09,中国,黑龙江,945,13,891,1,,,,,1,56,0,黑龙江省累计报告境外输入确诊病例386例。
