confirm,suspect,dead,heal,nowConfirm,nowSevere,importedCase,deadRate,healRate,date,noInfect
45,0,2,8,0,0,0,4.4,17.8,01.16,0
62,0,2,12,0,0,0,3.2,19.4,01.17,0
198,0,3,17,0,0,0,1.5,8.6,01.18,0
275,0,4,18,0,0,0,1.5,6.5,01.19,0
291,54,6,25,291,0,0,2.1,8.6,01.20,0
440,37,9,25,431,0,0,2.0,5.7,01.21,0
574,393,17,25,557,0,0,3.0,4.4,01.22,0
835,1072,25,34,776,0,0,3.0,4.1,01.23,0
1297,1965,41,38,1218,0,0,3.2,2.9,01.24,0
1985,2684,56,49,1880,324,0,2.8,2.5,01.25,0
2761,5794,80,51,2630,461,0,2.9,1.8,01.26,0
4535,6973,106,60,4369,976,0,2.3,1.3,01.27,0
5997,9239,132,103,5762,1239,0,2.2,1.7,01.28,0
7736,12167,170,124,7442,1370,0,2.2,1.6,01.29,0
9720,15238,213,171,9336,1527,0,2.2,1.8,01.30,0
11821,17988,259,243,11319,1795,0,2.2,2.1,01.31,0
14411,19544,304,328,13779,2110,0,2.1,2.3,02.01,0
17238,21558,361,475,16402,2296,0,2.1,2.8,02.02,0
20471,23214,425,632,19414,2788,0,2.1,3.1,02.03,0
24363,23260,491,892,22980,3219,0,2.0,3.7,02.04,0
28060,24702,564,1153,26343,3859,0,2.0,4.1,02.05,0
31211,26359,637,1542,29032,4821,0,2.0,4.9,02.06,0
34598,27657,723,2052,31823,6101,0,2.1,5.9,02.07,0
37251,28942,812,2651,33788,6188,0,2.2,7.1,02.08,0
40235,23589,909,3283,36043,6484,0,2.3,8.2,02.09,0
42708,21675,1017,3998,37693,7333,0,2.4,9.4,02.10,0
44730,16067,1114,4742,38874,8204,0,2.5,10.6,02.11,0
59882,13435,1368,5915,52599,8030,0,2.3,9.9,02.12,0
63932,10109,1381,6728,55823,10204,0,2.2,10.5,02.13,0
66576,8969,1524,8101,56951,11053,0,2.3,12.2,02.14,0
68584,8228,1666,9425,57493,11272,0,2.4,13.7,02.15,0
70635,7264,1772,10853,58010,10644,0,2.5,15.4,02.16,0
72528,6242,1870,12561,58097,11741,0,2.6,17.3,02.17,0
74279,5248,2006,14387,57886,11977,0,2.7,19.4,02.18,0
75002,4922,2121,16157,56386,11864,0,2.8,21.5,02.19,0
75993,5206,2239,18266,55051,11633,0,2.9,24.0,02.20,0
76392,5365,2348,20673,53371,11477,0,3.1,27.1,02.21,0
77041,4148,2445,22907,51689,10968,0,3.2,29.7,02.22,0
77262,3434,2595,24757,49910,9915,0,3.4,32.0,02.23,0
77779,2824,2666,27353,47760,9126,0,3.4,35.2,02.24,0
78190,2491,2718,29775,45697,8752,0,3.5,38.1,02.25,0
78630,2358,2747,32531,43352,8346,0,3.5,41.4,02.26,0
78959,2308,2791,36157,40011,7952,0,3.5,45.8,02.27,0
79389,1418,2838,39049,37502,7664,0,3.6,49.2,02.28,0
79968,851,2873,41675,35420,7365,0,3.6,52.1,02.29,0
80174,715,2915,44518,32741,7110,0,3.6,55.5,03.01,0
80302,587,2946,47260,30096,6806,0,3.7,58.9,03.02,0
80422,520,2984,49914,27524,6416,0,3.7,62.1,03.03,0
80565,522,3015,52109,25441,5952,20,3.7,64.7,03.04,0
80710,482,3045,53793,23872,5737,36,3.8,66.6,03.05,0
80813,502,3073,55477,22263,5489,60,3.8,68.6,03.06,0
80859,458,3100,57143,20616,5264,63,3.8,70.7,03.07,0
80904,421,3123,58684,19097,5111,67,3.9,72.5,03.08,0
80924,349,3140,59982,17802,4794,69,3.9,74.1,03.09,0
80955,285,3162,61567,16226,4492,79,3.9,76.1,03.10,0
80992,253,3173,62887,14920,4257,85,3.9,77.6,03.11,0
81003,147,3180,64216,13607,4020,88,3.9,79.3,03.12,0
81021,115,3194,65649,12178,3610,95,3.9,81.0,03.13,0
81048,113,3204,67022,10822,3226,111,4.0,82.7,03.14,0
81077,134,3218,67863,9996,3032,123,4.0,83.7,03.15,0
81116,128,3231,68799,9086,2830,143,4.0,84.8,03.16,0
81151,119,3242,69725,8184,2622,155,4.0,85.9,03.17,0
81235,105,3250,70547,7438,2314,189,4.0,86.8,03.18,0
81300,104,3253,71284,6763,2136,228,4.0,87.7,03.19,0
81416,106,3261,71876,6013,1963,269,4.0,88.3,03.20,0
81498,118,3267,72382,5849,1845,314,4.0,88.8,03.21,0
81600,136,3276,72841,5483,1749,353,4.0,89.3,03.22,0
81747,132,3283,73299,5165,1573,427,4.0,89.7,03.23,0
81846,134,3287,73791,4768,1399,474,4.0,90.2,03.24,0
81960,159,3293,74196,4471,1235,541,4.0,90.5,03.25,0
82078,189,3298,74737,4043,1034,595,4.0,91.1,03.26,0
82213,184,3301,75122,3790,921,649,4.0,91.4,03.27,0
82341,174,3306,75600,3435,742,693,4.0,91.8,03.28,0
82447,168,3311,75937,3199,633,723,4.0,92.1,03.29,0
82545,183,3314,76225,3006,528,771,4.0,92.3,03.30,0
82631,172,3321,76415,2895,466,806,4.0,92.5,03.31,1367
82724,153,3327,76610,2787,429,841,4.0,92.6,04.01,1075
82802,135,3331,76785,2686,379,870,4.0,92.7,04.02,1027
82861,114,3335,76984,2556,331,888,4.0,92.9,04.03,1030
82930,107,3338,77210,2382,295,913,4.0,93.1,04.04,1024
83005,88,3340,77348,2317,265,951,4.0,93.2,04.05,1047
83071,89,3340,77450,2281,211,983,4.0,93.2,04.06,1033
83157,83,3342,77586,2229,189,1042,4.0,93.3,04.07,1095
83249,73,3344,77711,2194,176,1103,4.0,93.3,04.08,1104
83305,53,3345,77838,2122,144,1141,4.0,93.4,04.09,1097
83369,44,3349,77935,2085,141,1183,4.0,93.5,04.10,1092
83482,82,3349,78020,2113,139,1280,4.0,93.5,04.11,1086
83602,72,3351,78145,2106,121,1378,4.0,93.5,04.12,1064
83696,72,3351,78262,2083,116,1464,4.0,93.5,04.13,1005
