confirm,suspect,dead,heal,importedCase,infect,deadRate,healRate,date
259,680,8,6,0,0,3.1,2.3,01.23
444,1118,16,3,0,0,3.6,0.7,01.24
688,1309,15,11,0,0,2.2,1.6,01.25
769,3806,24,2,0,0,3.1,0.3,01.26
1771,2077,26,9,0,0,1.5,0.5,01.27
1459,3248,26,43,0,0,1.8,2.9,01.28
1737,4148,38,21,0,0,2.2,1.2,01.29
1982,4812,43,47,0,0,2.2,2.4,01.30
2102,5019,46,72,0,0,2.2,3.4,01.31
2590,4562,45,85,0,0,1.7,3.3,02.01
2829,5173,57,147,0,0,2.0,5.2,02.02
3235,5072,64,157,0,0,2.0,4.9,02.03
3893,3971,65,262,0,0,1.7,6.7,02.04
3697,5328,73,261,0,0,2.0,7.1,02.05
3143,4833,73,387,0,0,2.3,12.3,02.06
3401,4214,86,510,0,0,2.5,15.0,02.07
2656,3916,89,600,0,0,3.4,22.6,02.08
3062,4008,97,632,0,0,3.2,20.6,02.09
2484,3536,108,716,0,0,4.3,28.8,02.10
2022,3342,97,744,0,0,4.8,36.8,02.11
15153,2807,254,1173,0,0,1.7,7.7,02.12
5093,2450,121,1083,0,0,2.4,21.3,02.13
2644,2277,143,1373,0,0,5.4,51.9,02.14
2009,1918,142,1324,0,0,7.1,65.9,02.15
2051,1563,105,1425,0,0,5.1,69.5,02.16
1891,1432,98,1701,0,0,5.2,90.0,02.17
1751,1185,136,1826,0,0,7.8,104.3,02.18
820,1277,115,1781,0,0,14.0,217.2,02.19
892,1614,118,2109,0,0,13.2,236.4,02.20
399,1361,109,2394,0,0,27.3,600.0,02.21
649,882,97,2235,0,0,14.9,344.4,02.22
416,620,150,1850,0,0,36.1,444.7,02.23
517,530,71,2596,0,0,13.7,502.1,02.24
411,439,52,2422,0,0,12.7,589.3,02.25
440,508,29,2756,0,0,6.6,626.4,02.26
329,452,44,3626,0,0,13.4,1102.1,02.27
430,248,47,2892,0,0,10.9,672.6,02.28
579,132,35,2626,0,0,6.0,453.5,02.29
206,141,42,2843,0,0,20.4,1380.1,03.01
128,129,31,2742,0,0,24.2,2142.2,03.02
120,143,38,2654,0,0,31.7,2211.7,03.03
143,143,31,2195,2,0,21.7,1535.0,03.04
145,102,30,1684,16,0,20.7,1161.4,03.05
103,99,28,1684,24,0,27.2,1635.0,03.06
46,84,27,1666,3,0,58.7,3621.7,03.07
45,60,23,1541,4,0,51.1,3424.4,03.08
20,36,17,1298,2,0,85.0,6490.0,03.09
31,31,22,1585,10,0,71.0,5112.9,03.10
25,33,11,1320,6,0,44.0,5280.0,03.11
11,33,7,1329,3,0,63.6,12081.8,03.12
18,17,14,1433,7,0,77.8,7961.1,03.13
27,39,10,1373,16,0,37.0,5085.2,03.14
29,41,14,841,12,0,48.3,2900.0,03.15
39,45,13,936,20,0,33.3,2400.0,03.16
35,21,11,926,12,0,31.4,2645.7,03.17
84,23,8,822,34,0,9.5,978.6,03.18
65,31,3,737,39,0,4.6,1133.8,03.19
116,36,8,592,41,0,6.9,510.3,03.20
82,45,6,506,45,0,7.3,617.1,03.21
102,47,9,459,39,0,8.8,450.0,03.22
147,35,7,458,74,0,4.8,311.6,03.23
99,33,4,492,47,0,4.0,497.0,03.24
114,58,6,405,67,0,5.3,355.3,03.25
118,49,5,541,54,0,4.2,458.5,03.26
135,29,3,385,54,0,2.2,285.2,03.27
128,28,5,478,44,0,3.9,373.4,03.28
106,17,5,337,30,0,4.7,317.9,03.29
98,44,3,288,48,0,3.1,293.9,03.30
86,26,7,190,35,130,8.1,220.9,03.31
93,20,6,195,35,55,6.5,209.7,04.01
78,12,4,175,29,60,5.1,224.4,04.02
73,11,4,199,18,64,5.5,272.6,04.03
55,11,3,226,25,47,5.5,410.9,04.04
75,10,1,138,38,78,1.3,184.0,04.05
66,12,0,102,32,30,0.0,154.5,04.06
86,12,2,136,59,137,2.3,158.1,04.07
92,17,2,125,61,56,2.2,135.9,04.08
56,3,1,127,38,47,1.8,226.8,04.09
64,8,4,97,42,34,6.2,151.6,04.10
113,49,0,85,97,63,0.0,75.2,04.11
115,6,2,125,98,61,1.7,108.7,04.12
99,3,0,117,86,54,0.0,118.2,04.13
49,11,1,127,36,57,2.0,259.2,04.14
52,4,0,115,34,64,0.0,221.2,04.15
27,3,0,96,15,66,0.0,355.6,04.16
31,5,0,109,17,54,0.0,351.6,04.17
21,2,0,81,9,44,0.0,385.7,04.18
36,2,0,70,8,49,0.0,194.4,04.19
13,3,0,131,4,37,0.0,1007.7,04.20
37,3,0,156,23,42,0.0,421.6,04.21
15,0,0,105,6,27,0.0,700.0,04.22
9,2,0,89,2,34,0.0,988.9,04.23
13,3,0,126,11,29,0.0,969.2,04.24
14,0,0,88,5,30,0.0,628.6,04.25
3,5,0,108,2,25,0.0,3600.0,04.26
6,1,0,106,3,40,0.0,1766.7,04.27
22,2,0,65,21,26,0.0,295.5,04.28
4,3,0,56,4,33,0.0,1400.0,04.29
12,3,0,60,6,25,0.0,500.0,04.30
3,2,0,60,1,20,0.0,2000.0,05.01
5,0,0,34,1,12,0.0,680.0,05.02
7,1,0,77,3,13,0.0,1100.0,05.03
4,0,0,110,1,15,0.0,2750.0,05.04
2,3,0,78,2,20,0.0,3900.0,05.05
3,2,0,64,2,6,0.0,2133.3,05.06
6,3,0,56,0,16,0.0,933.3,05.07
1,2,0,77,1,15,0.0,7700.0,05.08
14,1,0,87,2,20,0.0,621.4,05.09
20,0,0,45,7,12,0.0,225.0,05.10
1,1,0,33,1,15,0.0,3300.0,05.11
7,1,0,28,1,8,0.0,400.0,05.12
6,0,0,27,0,12,0.0,450.0,05.13
5,1,0,23,0,11,0.0,460.0,05.14
9,2,0,24,6,13,0.0,266.7,05.15
5,2,0,14,2,12,0.0,280.0,05.16
10,1,0,19,4,18,0.0,190.0,05.17
6,1,0,7,3,17,0.0,116.7,05.18
5,3,0,7,1,16,0.0,140.0,05.19
2,1,0,7,1,31,0.0,350.0,05.20
13,1,0,14,2,35,0.0,107.7,05.21
2,2,0,4,0,28,0.0,200.0,05.22
3,3,0,6,2,36,0.0,200.0,05.23
11,0,0,11,11,40,0.0,100.0,05.24
7,0,0,10,7,29,0.0,142.9,05.25
1,1,0,7,1,28,0.0,700.0,05.26
3,0,0,12,2,23,0.0,400.0,05.27
0,0,0,5,0,5,0.0,0.0,05.28
18,1,0,11,4,4,0.0,61.1,05.29
5,0,0,4,2,3,0.0,80.0,05.30
18,0,0,6,16,16,0.0,33.3,05.31
9,0,0,12,5,10,0.0,133.3,06.01
7,1,0,2,1,4,0.0,28.6,06.02
1,0,0,7,1,4,0.0,700.0,06.03
11,0,0,11,5,3,0.0,100.0,06.04
6,1,0,6,3,2,0.0,100.0,06.05
9,2,0,6,5,5,0.0,66.7,06.06
5,1,0,11,4,2,0.0,220.0,06.07
4,0,0,10,3,21,0.0,250.0,06.08
3,0,0,8,3,5,0.0,266.7,06.09
11,0,0,5,11,4,0.0,45.5,06.10
7,0,0,8,6,1,0.0,114.3,06.11
11,0,0,7,5,7,0.0,63.6,06.12
58,1,0,3,19,9,0.0,5.2,06.13
49,1,0,7,10,18,0.0,14.3,06.14
45,3,0,9,8,6,0.0,20.0,06.15
44,3,0,4,11,11,0.0,9.1,06.16
36,3,0,18,4,8,0.0,50.0,06.17
37,2,0,5,4,5,0.0,13.5,06.18
30,4,0,14,4,7,0.0,46.7,06.19
27,3,1,6,1,6,3.7,22.2,06.20
21,2,0,1,7,7,0.0,4.8,06.21
52,2,0,13,9,7,0.0,25.0,06.22
28,4,1,8,3,3,3.6,28.6,06.23
21,0,0,8,5,1,0.0,38.1,06.24
29,3,1,8,2,5,3.4,27.6,06.25
24,1,0,8,4,12,0.0,33.3,06.26
18,1,0,11,3,7,0.0,61.1,06.27
14,4,0,18,5,6,0.0,128.6,06.28
23,1,0,10,11,4,0.0,43.5,06.29
5,2,0,14,0,3,0.0,280.0,06.30
31,0,0,19,2,2,0.0,61.3,07.01
15,1,0,15,3,4,0.0,100.0,07.02
9,2,0,15,2,4,0.0,166.7,07.03
19,1,0,27,6,7,0.0,142.1,07.04
14,0,0,13,3,11,0.0,92.9,07.05
25,2,0,11,8,15,0.0,44.0,07.06
21,0,0,24,7,6,0.0,114.3,07.07
33,0,0,48,9,6,0.0,145.5,07.08
