nation,confirm,population,rate
卡塔尔,107871,2781677,38779
巴林,37316,1569439,23777
智利,334683,18729160,17870
阿曼,71547,4829483,14815
科威特,60434,4137309,14607
巴拿马,55153,4176873,13204
美国,4028569,327167434,12313
亚美尼亚,35693,2951776,12092
秘鲁,362087,31989256,11319
巴西,2159654,209469333,10310
卢森堡,5725,607728,9420
新加坡,48744,5638676,8645
瑞典,78504,10183175,7709
沙特阿拉伯,255825,33699947,7591
白俄罗斯,66521,9485386,7013
西班牙,313274,46723749,6705
南非,381798,57779622,6608
阿联酋,57498,9300000,6183
以色列,54663,8883800,6153
摩尔多瓦,21442,3545883,6047
马尔代夫,3044,515696,5903
比利时,64258,11422068,5626
玻利维亚,62357,11353142,5492
俄罗斯,787846,144478050,5453
爱尔兰,25802,4853506,5316
吉布提,5030,958920,5245
冰岛,1840,353574,5204
多米尼加,54797,10627165,5156
葡萄牙,48898,10281762,4756
吉尔吉斯斯坦,28980,6315800,4588
英国,297389,66488991,4473
厄瓜多尔,76217,17084357,4461
哥伦比亚,211038,49648685,4251
哈萨克斯坦,75153,18276499,4112
意大利,244752,60431283,4050
瑞士,33883,8516543,3978
黑山,2381,622345,3826
洪都拉斯,35345,9587522,3687
伊朗,281413,81800269,3440
法国,214607,66987244,3204
塞尔维亚,21605,6982084,3094
加拿大,113473,37058856,3062
阿根廷,136118,44494502,3059
荷兰,52475,17231017,3045
加蓬,6433,2119275,3035
阿塞拜疆,28242,9942334,2841
墨西哥,356255,126190788,2823
土耳其,221500,82319724,2691
波黑,9115,3516816,2592
伊拉克,97159,38433600,2528
德国,204003,82927922,2460
哥斯达黎加,11811,4999441,2362
赤道几内亚,3071,1308974,2346
丹麦,13554,5797446,2338
危地马拉,40229,17247807,2332
奥地利,19929,8847037,2253
罗马尼亚,40163,19473936,2062
萨尔瓦多,12975,6420744,2021
巴勒斯坦,9398,4684777,2006
苏里南,1131,575991,1964
挪威,9053,5314336,1704
爱沙尼亚,2025,1320884,1533
阿尔巴尼亚,4290,2866376,1497
乌克兰,62295,44622516,1396
斯威士兰,1894,1390000,1363
毛里塔尼亚,5985,4403319,1359
捷克,14324,10625695,1348
芬兰,7362,5518050,1334
孟加拉,213254,161356039,1322
保加利亚,9254,7024216,1317
巴基斯坦,267428,212215030,1260
克罗地亚,4530,4089400,1108
波兰,41162,37978548,1084
几内亚比绍,1954,1874309,1043
中非共和国,4561,4666377,977
加纳,28989,29767108,974
斯洛文尼亚,2006,2067372,970
阿富汗,35727,37172386,961
埃及,89078,98423595,905
印度,1193078,1352617328,882
塞浦路斯,1040,1189265,874
塔吉克斯坦,6967,9100837,766
立陶宛,1951,2789533,699
菲律宾,72269,106651922,678
喀麦隆,16522,25216237,655
尼泊尔,18094,28087871,644
海地,7146,11123176,642
拉脱维亚,1197,1926542,621
科特迪瓦,14531,24900000,584
阿尔及利亚,24278,42228429,575
塞内加尔,8985,15854360,567
纳米比亚,1366,2448255,558
乌兹别克斯坦,18324,32955400,556
巴拉圭,3817,6956071,549
刚果（布）,2851,5260000,542
几内亚,6652,12414318,536
尼加拉瓜,3439,6465513,532
澳大利亚,12896,24992369,516
摩洛哥,17742,36029138,492
匈牙利,4366,9768785,447
委内瑞拉,12774,28870195,442
黎巴嫩,2980,6848925,435
斯洛伐克,2058,5450000,378
希腊,4048,10727668,377
印度尼西亚,91751,267663435,343
乌拉圭,1096,3449299,318
新西兰,1555,4885500,318
利比亚,2088,6678567,313
马达加斯加,8162,26262368,311
格鲁吉亚,1073,3731000,288
马来西亚,8831,31528585,280
肯尼亚,14168,51393010,276
韩国,13879,51269185,271
苏丹,10992,41801533,263
利比里亚,1108,4818977,230
塞拉利昂,1727,7650154,226
古巴,2449,11338138,216
日本本土,27026,126529100,214
索马里,3135,15008154,209
赞比亚,3583,17351822,206
尼日利亚,37801,195874740,193
马拉维,3149,18143315,174
贝宁,1602,11485048,139
卢旺达,1655,12301939,135
马里,2477,19077690,130
斯里兰卡,2730,21440000,127
津巴布韦,1820,14439018,126
突尼斯,1389,11565204,120
约旦,1113,9956011,112
刚果（金）,8626,84068091,103
埃塞俄比亚,11072,109224559,101
也门,1629,28498687,57
布基纳法索,1066,19190000,56
莫桑比克,1536,29495962,52
尼日尔,1113,22442948,50
泰国,3261,69428524,47
乌干达,1075,42723139,25
