name,continent,date,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal,nowConfirm,confirmCompare,nowConfirmCompare,healCompare,deadCompare
美国,北美洲,07.22,True,67140,0,4028569,0,144953,1886583,1997033,67140,29427,36594,1119
巴西,南美洲,07.22,False,41008,0,2159654,0,81487,1563382,514785,41008,-2298,41939,1367
印度,亚洲,07.22,False,37724,0,1193078,0,28732,753050,411296,37724,8604,28472,648
俄罗斯,欧洲,07.22,False,5806,0,787846,0,12722,570984,204140,5806,-3942,9587,161
南非,非洲,07.22,False,8170,0,381798,0,5368,208144,168286,8170,-5304,13279,195
秘鲁,南美洲,07.22,False,8497,0,362087,0,13579,248746,99762,8497,4440,3665,392
墨西哥,北美洲,07.22,False,6859,0,356255,0,40400,267407,48448,6859,1628,4316,915
智利,南美洲,07.22,False,3753,0,334683,0,8677,306816,19190,3753,-1443,5022,174
西班牙,欧洲,07.22,True,1358,0,313274,0,28424,196958,87892,1358,1356,0,2
英国,欧洲,07.22,False,0,0,297389,0,45507,1414,250468,0,-1,1,0
伊朗,亚洲,07.22,False,2586,0,281413,0,14853,244840,21720,2586,-122,2489,219
巴基斯坦,亚洲,07.22,False,1332,0,267428,0,5677,210468,51283,1332,-1144,2438,38
沙特阿拉伯,亚洲,07.22,False,0,0,255825,0,2557,207259,46009,0,0,0,0
意大利,欧洲,07.22,False,0,0,244752,0,35073,197431,12248,0,0,0,0
土耳其,亚洲,07.22,False,928,0,221500,0,5526,204011,11963,928,-99,1009,18
法国,欧洲,07.22,False,584,0,214607,0,30168,79861,104578,584,403,193,0
孟加拉,亚洲,07.22,False,2744,0,213254,0,2751,117202,93301,2744,897,1805,42
哥伦比亚,南美洲,07.22,False,7033,0,211038,0,7166,98840,105032,7033,3760,3036,237
德国,欧洲,07.22,False,438,0,204003,0,9102,188575,6326,438,42,392,4
阿根廷,南美洲,07.22,False,5344,0,136118,0,2490,58598,75030,5344,2542,2685,117
加拿大,北美洲,07.22,False,535,0,113473,0,8908,99248,5317,535,256,273,6
卡塔尔,亚洲,07.22,False,441,0,107871,0,163,104641,3067,441,-12,450,3
伊拉克,亚洲,07.22,False,0,0,97159,0,3950,64950,28259,0,0,0,0
印度尼西亚,亚洲,07.22,False,1882,0,91751,0,4459,50255,37037,1882,-46,1789,139
埃及,非洲,07.22,False,676,0,89078,0,4399,29473,55206,676,80,549,47
瑞典,欧洲,07.22,False,338,0,78504,0,5667,0,72837,338,5288,0,21
厄瓜多尔,南美洲,07.22,False,1597,0,76217,0,5366,32725,38126,1597,779,770,48
哈萨克斯坦,亚洲,07.22,False,1685,0,75153,0,585,46790,27778,1685,271,1414,0
