name,date,nameMap,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal
东京,07.23,Tokyo,False,0,0,10054,0,10,0
大阪府,07.23,Osaka,False,0,0,2662,0,4,0
神奈川县,07.23,Kanagawa,False,0,0,2105,0,5,0
埼玉县,07.23,Saitama,False,0,0,1888,0,7,0
北海道,07.23,Hokkaido,False,0,0,1367,0,5,0
千叶县,07.23,Chiba,False,0,0,1364,0,1,0
福冈县,07.23,Fukuoka,False,0,0,1128,0,0,0
兵库县,07.23,Hyogo,False,0,0,883,0,7,0
爱知县,07.23,Aichi,False,0,0,781,0,19,0
京都府,07.23,Kyoto,False,0,0,605,0,0,0
检疫等工作人员,07.23,,False,0,0,485,0,0,0
石川县,07.23,Ishikawa,False,0,0,306,0,0,0
茨城县,07.23,Ibaraki,False,0,0,235,0,0,0
富山县,07.23,,False,0,0,234,0,0,0
广岛县,07.23,Hiroshima,False,0,0,227,0,0,0
岐阜县,07.23,Gifu,False,0,0,200,0,0,0
鹿儿岛县,07.23,Kagoshima,False,0,0,174,0,0,0
群马县,07.23,Gunma,False,0,0,174,0,1,0
武汉包机回国者,07.23,,False,0,0,173,0,0,0
奈良县,07.23,Nara,False,0,0,171,0,0,0
冲绳县,07.23,Okinawa,False,0,0,157,0,0,0
栃木县,07.23,Tochigi,False,0,0,142,0,0,0
宫城县,07.23,Miyagi,False,0,0,138,0,0,0
滋贺县,07.23,Shiga,False,0,0,128,0,0,0
福井县,07.23,Fukui,False,0,0,126,0,0,0
静冈县,07.23,Shizuoka,False,0,0,119,0,0,0
和歌山县,07.23,Wakayama,False,0,0,100,0,1,0
新潟县,07.23,Niigata,False,0,0,91,0,0,0
长野县,07.23,Nagano,False,0,0,86,0,0,0
福岛县,07.23,Fukushima,False,0,0,85,0,0,0
爱媛县,07.23,Ehime,False,0,0,83,0,0,0
山梨县,07.23,Yamanashi,False,0,0,80,0,0,0
高知县,07.23,Kochi,False,0,0,77,0,1,0
山形县,07.23,Yamagata,False,0,0,75,0,1,0
大分县,07.23,Oita,False,0,0,60,0,0,0
三重县,07.23,Mie,False,0,0,59,0,0,0
佐贺县,07.23,,False,0,0,55,0,0,0
熊本县,07.23,Kumamoto,False,0,0,53,0,0,0
长崎县,07.23,,False,0,0,50,0,0,0
香川县,07.23,Kagawa,False,0,0,45,0,0,0
冈山县,07.23,Okayama,False,0,0,44,0,0,0
山口县,07.23,Yamaguchi,False,0,0,43,0,0,0
青森县,07.23,Aomori,False,0,0,31,0,0,0
岛根县,07.23,Shimane,False,0,0,26,0,0,0
宫崎县,07.23,Miyazaki,False,0,0,22,0,0,0
秋田县,07.23,Akita,False,0,0,16,0,0,0
德岛县,07.23,Tokushima,False,0,0,10,0,0,0
鸟取县,07.23,,False,0,0,5,0,0,0
地区待确认,07.23,,False,0,0,0,0,927,20651
