name,date,nameMap,isUpdated,confirmAdd,confirmAddCut,confirm,suspect,dead,heal
纽约,07.22,New York,True,0,0,413315,0,32520,58366
加利福尼亚,07.22,California,True,0,0,409305,0,7890,108711
佛罗里达,07.22,Florida,True,0,0,369834,0,5206,381
德克萨斯,07.22,Texas,True,0,0,351113,0,4213,186529
新泽西,07.22,New Jersey,True,0,0,177256,0,15826,3973
伊利诺伊,07.22,Illinois,True,0,0,163689,0,7324,75880
乔治亚,07.22,Georgia,True,0,0,148988,0,3254,340
亚利桑那,07.22,Arizona,True,0,0,148683,0,2918,174
马萨诸塞,07.22,Massachusetts,True,0,0,114033,0,8450,94347
宾夕法尼亚,07.22,Pennsylvania,True,0,0,107414,0,7046,1369
北卡罗来纳,07.22,North Carolina,True,0,0,102871,0,1668,67124
路易斯安那州,07.22,Louisiana,True,0,0,96583,0,3608,53288
密歇根州,07.22,Michigan,True,0,0,83059,0,6382,55162
田纳西,07.22,Tennessee,True,0,0,81944,0,872,47853
马里兰,07.22,Maryland,True,0,0,79545,0,3402,5380
弗吉尼亚,07.22,Virginia,True,0,0,79371,0,2049,10107
俄亥俄州,07.22,Ohio,True,0,0,77216,0,3220,7630
南卡罗来纳州,07.22,South Carolina,True,0,0,73101,0,1203,5076
阿拉巴马州,07.22,Alabama,True,0,0,70358,0,1303,29736
印第安纳,07.22,Indiana,True,0,0,57916,0,2846,3169
华盛顿州,07.22,Washington,True,0,0,48728,0,1461,5488
康涅狄格,07.22,Connecticut,True,0,0,48096,0,4406,63
明尼苏达,07.22,Minnesota,True,0,0,47457,0,1548,41511
密西西比州,07.22,Mississippi,True,0,0,45524,0,1389,30315
威斯康星,07.22,Wisconsin,True,0,0,44135,0,860,33902
科罗拉多,07.22,Colorado,True,0,0,41071,0,1763,3671
爱荷华州,07.22,Iowa,True,0,0,39471,0,801,28371
内华达,07.22,Nevada,True,0,0,37605,0,681,25900
密苏里州,07.22,Missouri,True,0,0,37161,0,1183,4102
犹他,07.22,Utah,True,0,0,35012,0,251,4006
阿肯色州,07.22,Arkansas,True,0,0,34655,0,374,27283
退伍军人事务部,07.22,veteran affair,True,0,0,33411,0,1927,13019
美军,07.22,,True,0,0,31418,0,48,12728
俄克拉荷马,07.22,Oklahoma,True,0,0,26326,0,461,20664
肯塔基,07.22,Kentucky,True,0,0,24060,0,674,6927
内布拉斯加,07.22,Nebraska,True,0,0,23173,0,317,14641
堪萨斯州,07.22,Kansas,True,0,0,22929,0,316,13095
罗德岛,07.22,Rhode Island,True,0,0,17986,0,996,1683
新墨西哥州,07.22,New Mexico,True,0,0,17517,0,588,6870
爱达荷州,07.22,Idaho,True,0,0,15822,0,126,3022
俄勒冈,07.22,Oregon,True,0,0,15139,0,269,1885
特拉华州,07.22,Delaware,True,0,0,13746,0,525,7362
波多黎各,07.22,Puerto Rico,True,0,0,12940,0,180,850
华盛顿特区,07.22,District of Columbia,True,0,0,11427,0,580,1932
联邦监狱局,07.22,,True,0,0,10811,0,99,6195
纳瓦霍族保留地,07.22,,True,0,0,8617,0,425,930
南达科塔州,07.22,South Dakota,True,0,0,8019,0,118,7081
新罕布什尔,07.22,New Hampshire,True,0,0,6262,0,400,5316
北达科他州,07.22,North Dakota,True,0,0,5207,0,94,4319
西弗吉尼亚,07.22,West Virginia,True,0,0,5172,0,101,3491
缅因州,07.22,Maine,True,0,0,3723,0,118,3191
蒙大拿,07.22,Montana,True,0,0,2712,0,40,1493
怀俄明州,07.22,Wyoming,True,0,0,2238,0,25,1694
阿拉斯加州,07.22,Alaska,True,0,0,2042,0,18,737
夏威夷,07.22,Hawaii,True,0,0,1418,0,24,1084
佛蒙特,07.22,Vermont,True,0,0,1366,0,56,1148
关岛,07.22,Guam,True,0,0,319,0,5,143
美属维尔京群岛,07.22,US Virgin Islands,True,0,0,304,0,6,135
至尊公主号邮轮,07.22,,True,0,0,103,0,3,0
钻石公主号邮轮,07.22,,True,0,0,49,0,0,0
北马里亚纳群岛,07.22,,True,0,0,31,0,2,16
撤回侨民,07.22,,True,0,0,4,0,0,0
地区待确认,04.02,,False,0,0,0,0,0,0
