date,confirm_add,confirm,heal,dead
03.06,1,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,0,1,0,0
03.13,0,1,0,0
03.14,0,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,1,2,0,0
03.22,0,2,0,0
03.23,0,2,0,0
03.24,0,2,0,0
03.25,0,2,0,0
03.26,0,2,0,0
03.27,1,3,0,0
03.28,1,3,0,0
03.29,1,4,0,0
03.30,1,4,0,0
03.31,0,4,0,0
04.01,0,4,0,0
04.02,1,5,1,0
04.03,0,5,2,0
04.04,0,5,2,0
04.05,0,5,2,0
04.06,0,5,2,0
04.07,0,5,2,0
04.08,0,5,2,0
04.09,0,5,2,0
04.10,0,5,2,0
04.11,0,5,2,0
04.12,0,5,2,0
04.13,0,5,2,0
04.14,0,5,2,0
04.15,0,5,2,0
04.16,0,5,2,0
04.17,0,5,2,0
04.18,0,5,2,0
04.19,0,5,2,0
04.20,0,5,2,0
04.21,1,6,2,0
04.22,0,6,2,0
04.23,1,7,3,0
04.24,0,7,3,0
04.25,0,7,3,0
04.26,0,7,4,0
04.27,0,7,4,0
04.28,0,7,5,0
04.29,0,7,5,0
04.30,0,7,5,0
05.01,0,7,5,0
05.02,0,7,5,0
05.03,0,7,5,0
05.04,0,7,5,0
05.05,0,7,5,0
05.06,0,7,5,0
05.07,0,7,5,0
05.08,0,7,5,0
05.09,0,7,5,0
05.10,0,7,5,0
05.11,2,9,5,0
05.12,2,11,5,0
05.13,0,11,5,0
05.14,8,19,5,0
05.15,2,21,5,0
05.16,0,21,5,0
05.17,0,21,5,0
05.18,0,21,5,0
05.19,0,21,5,0
05.20,0,21,5,0
05.21,0,21,6,0
05.22,0,21,6,0
05.23,3,24,6,0
05.24,0,24,6,0
05.25,3,27,6,0
05.26,0,27,6,0
05.27,1,28,6,0
05.28,3,31,6,0
05.29,0,31,6,0
05.30,2,33,6,0
05.31,10,43,6,0
06.01,0,43,6,0
06.02,4,47,9,0
06.03,0,47,9,0
06.04,0,47,9,0
06.05,1,48,11,0
06.06,0,48,11,0
06.07,0,48,11,0
06.08,11,59,14,0
06.09,0,59,17,0
06.10,0,59,18,0
06.11,3,62,18,0
06.12,0,62,19,0
06.13,0,62,20,0
06.14,4,66,21,0
06.15,0,66,22,0
06.16,1,67,22,0
06.17,0,67,24,0
06.18,0,67,25,0
06.19,0,67,25,0
06.20,1,68,28,0
06.21,0,68,30,0
06.22,0,68,32,0
06.23,1,69,32,0
06.24,1,70,34,0
06.25,0,70,34,0
06.26,0,70,38,0
06.27,5,75,38,0
06.28,1,76,38,0
06.29,0,76,44,0
06.30,1,77,44,0
07.01,0,77,48,0
07.02,0,77,50,0
07.03,0,77,50,0
07.04,1,78,51,0
07.05,0,78,51,0
07.06,2,80,53,0
07.07,0,80,54,0
07.08,0,80,55,0
07.09,0,80,55,0
07.10,0,80,55,0
07.11,2,82,57,0
07.12,0,82,76,0
07.13,2,84,76,0
07.14,0,84,78,0
07.15,0,84,78,0
07.16,0,84,78,0
07.17,2,86,78,0
07.18,1,87,78,0
07.19,0,87,80,0
07.20,2,89,82,0
07.21,1,90,83,0
07.22,2,92,83,0
