date,confirm_add,confirm,heal,dead
03.15,1,1,0,0
03.16,5,6,0,0
03.17,5,11,0,0
03.18,4,15,0,0
03.19,8,23,0,0
03.20,10,33,0,0
03.21,4,37,0,0
03.22,10,43,0,0
03.23,3,46,0,0
03.24,4,50,0,0
03.25,5,55,0,0
03.26,10,65,0,0
03.27,18,83,0,1
03.28,21,104,5,2
03.29,29,133,7,2
03.30,45,149,7,2
03.31,18,167,7,2
04.01,6,173,12,2
04.02,17,190,25,2
04.03,31,221,25,2
04.04,42,263,25,2
04.05,35,298,30,2
04.06,92,390,30,2
04.07,114,504,30,2
04.08,41,545,30,3
04.09,37,582,38,3
04.10,42,624,42,3
04.11,105,729,42,3
04.12,104,833,65,4
04.13,101,934,85,4
04.14,179,1113,99,4
04.15,162,1275,107,4
04.16,74,1349,129,4
04.17,41,1390,140,4
04.18,79,1469,194,4
04.19,74,1543,225,5
04.20,61,1604,261,5
04.21,53,1657,344,6
04.22,35,1692,450,7
04.23,43,1735,561,7
04.24,43,1778,598,8
04.25,58,1836,707,8
04.26,33,1869,765,8
04.27,18,1887,880,8
04.28,52,1939,958,8
04.29,30,1969,1066,8
04.30,48,2017,1126,9
05.01,58,2075,1182,9
05.02,19,2094,1271,9
05.03,24,2118,1271,9
05.04,63,2181,1370,10
05.05,23,2204,1501,10
05.06,27,2231,1577,10
05.07,38,2269,1624,10
05.08,55,2324,1775,10
05.09,25,2349,1803,10
05.10,62,2411,1881,10
05.11,71,2482,1982,10
05.12,37,2519,2010,10
05.13,49,2568,2040,10
05.14,68,2636,2136,11
05.15,16,2652,2136,11
05.16,67,2719,2195,11
05.17,22,2741,2213,12
05.18,38,2779,2314,13
05.19,46,2825,2338,13
05.20,102,2927,2369,13
05.21,37,2964,2407,13
05.22,42,3006,2407,13
05.23,83,3089,2525,13
05.24,61,3150,2565,13
05.25,39,3189,2607,13
05.26,92,3281,2624,13
05.27,74,3355,2668,14
05.28,82,3437,2694,14
05.29,31,3468,2728,14
05.30,55,3523,2783,14
05.31,60,3583,2837,15
06.01,90,3673,2859,15
06.02,77,3750,2908,15
06.03,10,3760,2908,15
06.04,149,3909,3087,16
06.05,78,3987,3227,16
06.06,35,4022,3247,16
06.07,280,4302,3330,17
06.08,50,4352,3354,17
06.09,130,4482,3444,18
06.10,65,4547,3459,18
06.11,170,4717,3623,19
06.12,120,4837,3700,19
06.13,100,4937,3837,19
06.14,114,5051,3910,19
06.15,103,5154,3996,19
06.16,174,5328,4019,19
06.17,310,5638,4096,19
06.18,92,5730,4166,19
06.19,190,5920,4273,19
06.20,199,6119,4273,19
06.21,153,6272,4290,19
06.22,86,6358,4377,19
06.23,177,6535,4520,19
06.24,312,6847,4675,19
06.25,240,7087,4724,20
06.26,141,7228,4877,20
06.27,262,7490,5038,20
06.28,323,7813,5248,21
06.29,386,8199,5426,23
06.30,186,8385,5569,25
07.01,286,8671,5737,26
07.02,325,8996,5847,27
07.03,330,9326,6161,28
07.04,174,9500,6251,29
07.05,329,9829,6425,31
07.06,455,10284,6584,36
07.07,303,10587,6690,39
07.08,395,10982,6888,42
07.09,465,11447,7082,49
07.10,410,11857,7335,53
07.11,545,12402,7540,56
07.12,453,12855,7723,59
07.13,505,13360,7852,62
07.14,633,13993,8074,65
07.15,473,14466,8343,69
07.16,525,14991,8655,73
07.17,358,15349,8783,76
07.18,547,15896,9003,80
07.19,711,16607,9178,85
07.20,542,17149,9387,90
07.21,606,17755,9463,93
07.22,569,18324,9554,97
