date,confirm_add,confirm,heal,dead
04.10,0,1,0,0
04.11,0,1,0,0
04.12,0,1,0,0
04.13,0,1,0,0
04.14,0,1,0,0
04.15,0,1,0,0
04.16,0,1,0,0
04.17,0,1,0,0
04.18,0,1,0,0
04.19,0,1,0,0
04.20,0,1,0,0
04.21,0,1,0,0
04.22,0,1,0,0
04.23,0,1,0,0
04.24,0,1,1,0
04.25,0,1,1,0
04.26,0,1,1,0
04.27,0,1,1,0
04.28,0,1,1,0
04.29,0,1,1,0
04.30,5,6,1,2
05.01,0,6,1,2
05.02,1,7,1,2
05.03,3,10,1,2
05.04,0,10,1,2
05.05,11,21,1,3
05.06,4,25,1,5
05.07,0,25,1,5
05.08,9,34,1,7
05.09,0,34,1,7
05.10,0,34,1,7
05.11,17,51,1,8
05.12,5,56,1,9
05.13,14,70,1,12
05.14,15,85,1,12
05.15,21,106,1,15
05.16,16,122,1,18
05.17,0,122,1,18
05.18,6,128,1,20
05.19,2,130,1,20
05.20,37,167,5,28
05.21,17,184,5,30
05.22,13,197,5,33
05.23,12,209,11,33
05.24,3,212,11,39
05.25,21,233,10,44
05.26,0,233,10,44
05.27,16,249,10,49
05.28,7,256,10,53
05.29,27,283,11,65
05.30,0,283,11,65
05.31,27,310,13,77
06.01,13,323,14,80
06.02,31,354,14,84
06.03,45,399,15,87
06.04,20,419,17,95
06.05,34,453,17,103
06.06,16,469,23,111
06.07,13,482,23,111
06.08,2,484,23,112
06.09,12,496,23,112
06.10,28,524,23,127
06.11,36,560,23,129
06.12,31,591,23,136
06.13,41,632,28,139
06.14,73,705,39,160
06.15,23,728,53,164
06.16,116,844,79,208
06.17,41,885,91,214
06.18,17,902,271,244
06.19,7,909,273,248
06.20,10,919,288,251
06.21,3,922,328,254
06.22,19,941,347,256
06.23,26,967,350,257
06.24,25,992,356,261
06.25,23,1015,379,274
06.26,61,1076,386,288
06.27,13,1089,402,293
06.28,14,1103,417,296
06.29,15,1118,430,302
06.30,10,1128,432,304
07.01,30,1158,488,312
07.02,32,1190,504,318
07.03,31,1221,513,325
07.04,19,1240,536,335
07.05,8,1248,537,337
07.06,17,1265,552,338
07.07,19,1284,575,345
07.08,13,1297,591,348
07.09,21,1318,595,351
07.10,38,1356,619,361
07.11,24,1380,630,364
07.12,9,1389,642,365
07.13,76,1465,659,417
07.14,33,1498,675,424
07.15,18,1516,685,429
07.16,10,1526,694,433
07.17,26,1552,695,438
07.18,24,1576,695,440
07.19,5,1581,701,443
07.20,25,1606,712,445
07.21,13,1619,714,447
07.22,10,1629,741,456
