date,confirm_add,confirm,heal,dead
03.20,1,1,0,0
03.21,2,3,0,0
03.22,0,3,0,0
03.23,0,3,0,0
03.24,2,3,0,1
03.25,1,4,0,1
03.26,0,4,0,1
03.27,1,5,0,1
03.28,2,5,0,1
03.29,1,6,0,1
03.30,0,6,0,1
03.31,0,6,0,1
04.01,0,6,0,1
04.02,0,6,0,1
04.03,0,6,0,1
04.04,1,7,0,1
04.05,0,7,0,1
04.06,0,7,1,1
04.07,0,7,1,1
04.08,0,7,1,1
04.09,0,7,1,1
04.10,0,7,1,1
04.11,1,8,1,1
04.12,0,8,1,1
04.13,2,10,1,1
04.14,0,10,1,1
04.15,46,56,1,1
04.16,0,56,1,1
04.17,0,56,1,1
04.18,2,58,1,1
04.19,3,61,1,1
04.20,6,67,1,1
04.21,0,67,1,1
04.22,1,68,1,1
04.23,14,82,1,1
04.24,6,88,1,1
04.25,2,90,1,1
04.26,16,106,1,1
04.27,3,109,1,1
04.28,5,114,2,1
04.29,0,114,2,1
04.30,-1,113,2,1
05.01,8,121,4,1
05.02,1,122,18,1
05.03,30,152,18,2
05.04,23,175,37,2
05.05,11,186,37,2
05.06,5,191,38,2
05.07,27,218,38,2
05.08,12,230,44,2
05.09,0,230,44,2
05.10,6,236,56,2
05.11,10,246,56,2
05.12,21,267,58,2
05.13,22,289,61,2
05.14,26,315,67,2
05.15,11,326,67,2
05.16,0,326,67,2
05.17,2,328,84,3
05.18,0,328,84,3
05.19,0,328,85,3
05.20,21,349,85,3
05.21,0,349,85,3
05.22,7,356,95,3
05.23,15,371,142,3
05.24,0,371,142,3
05.25,19,390,155,3
05.26,0,390,155,3
05.27,0,390,155,4
05.28,0,390,155,4
05.29,0,390,155,4
05.30,31,421,167,4
05.31,0,421,167,4
06.01,14,435,193,4
06.02,31,466,237,5
06.03,0,466,237,5
06.04,36,502,239,5
06.05,0,502,239,5
06.06,40,542,240,5
06.07,0,542,240,5
06.08,25,567,266,5
06.09,18,585,270,5
06.10,0,585,270,5
06.11,72,657,294,5
06.12,40,697,294,6
06.13,0,697,294,6
06.14,53,750,301,6
06.15,9,759,301,6
06.16,1,760,354,7
06.17,31,791,354,7
06.18,32,823,377,7
06.19,0,823,377,7
06.20,40,863,377,8
06.21,0,863,377,8
06.22,27,890,413,8
06.23,54,944,419,8
06.24,38,982,479,8
06.25,21,1003,562,8
06.26,24,1027,562,9
06.27,0,1027,568,10
06.28,64,1091,568,12
06.29,64,1155,570,12
06.30,10,1165,608,12
07.01,102,1267,629,15
07.02,34,1301,629,15
07.03,0,1301,629,15
07.04,81,1382,629,15
07.05,39,1421,654,16
07.06,30,1451,655,17
07.07,12,1463,722,17
07.08,36,1499,724,18
07.09,43,1542,730,18
07.10,10,1552,730,18
07.11,39,1591,730,19
07.12,32,1623,748,19
07.13,75,1698,748,19
07.14,24,1722,772,19
07.15,58,1780,850,19
07.16,57,1837,892,19
07.17,102,1939,902,19
07.18,0,1939,902,19
07.19,75,2014,913,21
07.20,31,2045,973,21
07.21,26,2071,1063,21
07.22,36,2107,1100,21
