date,confirm_add,confirm,heal,dead
03.16,1,1,0,0
03.17,1,2,0,0
03.18,0,2,0,0
03.19,0,2,0,0
03.20,0,2,0,0
03.21,1,3,0,0
03.22,0,3,0,0
03.23,0,3,0,0
03.24,0,3,0,0
03.25,0,3,0,0
03.26,0,3,0,0
03.27,0,3,0,0
03.28,0,3,0,0
03.29,0,3,0,0
03.30,0,3,0,0
03.31,0,3,0,0
04.01,3,6,0,0
04.02,0,6,0,0
04.03,1,7,0,0
04.04,3,10,0,1
04.05,3,13,3,3
04.06,0,13,3,3
04.07,1,14,3,3
04.08,0,14,3,3
04.09,17,31,3,4
04.10,0,31,3,4
04.11,6,37,3,5
04.12,13,50,3,5
04.13,1,51,4,6
04.14,8,59,4,6
04.15,0,59,4,6
04.16,0,59,4,6
04.17,17,76,7,7
04.18,0,76,7,7
04.19,0,76,7,7
04.20,15,91,7,8
04.21,10,101,7,8
04.22,0,101,20,8
04.23,0,101,20,8
04.24,16,117,25,8
04.25,3,120,25,11
04.26,0,120,25,11
04.27,4,124,25,12
04.28,9,133,25,16
04.29,8,141,45,16
04.30,0,141,45,16
05.01,0,141,45,16
05.02,11,152,45,18
05.03,0,152,45,18
05.04,14,166,58,18
05.05,0,166,58,18
05.06,12,178,75,20
05.07,0,178,75,20
05.08,11,189,79,20
05.09,10,199,79,20
05.10,0,199,79,20
05.11,0,199,79,20
05.12,12,211,85,20
05.13,1,212,86,20
05.14,1,213,101,20
05.15,2,215,105,20
05.16,4,219,108,20
05.17,7,226,120,21
05.18,0,226,120,21
05.19,7,233,125,23
05.20,5,238,128,23
05.21,2,240,131,23
05.22,0,240,131,23
05.23,15,255,136,26
05.24,0,255,136,26
05.25,10,265,141,26
05.26,0,265,141,26
05.27,1,266,144,27
05.28,3,269,144,27
05.29,4,273,146,27
05.30,7,280,148,27
05.31,8,288,157,27
06.01,8,296,159,27
06.02,15,311,167,28
06.03,0,311,167,28
06.04,10,321,175,28
06.05,13,334,176,30
06.06,0,334,176,30
06.07,11,345,185,30
06.08,25,370,195,30
06.09,13,383,199,31
06.10,0,383,199,31
06.11,27,410,206,31
06.12,0,410,206,31
06.13,36,446,214,32
06.14,0,446,214,32
06.15,52,498,221,33
06.16,11,509,222,33
06.17,0,509,222,33
06.18,33,542,250,33
06.19,0,542,250,33
06.20,59,601,254,33
06.21,25,626,254,34
06.22,0,626,254,34
06.23,24,650,260,34
06.24,2,652,270,34
06.25,29,681,278,34
06.26,3,684,285,34
06.27,0,684,285,34
06.28,45,729,291,34
06.29,41,770,312,36
06.30,10,780,324,36
07.01,0,780,324,36
07.02,24,804,335,37
07.03,15,819,338,37
07.04,14,833,346,37
07.05,36,869,369,37
07.06,5,874,377,37
07.07,17,891,377,39
07.08,26,917,394,41
07.09,40,957,398,42
07.10,6,963,400,47
07.11,35,998,420,47
07.12,12,1010,423,51
07.13,14,1024,439,51
07.14,0,1024,439,51
07.15,0,1024,439,51
07.16,32,1056,447,51
07.17,29,1085,496,69
07.18,3,1088,519,70
07.19,3,1091,534,70
07.20,0,1091,534,70
07.21,16,1107,547,70
07.22,1,1108,575,70
