date,confirm_add,confirm,heal,dead
02.26,2,3,0,0
02.27,0,3,0,0
02.28,0,3,0,0
02.29,0,3,0,0
03.01,0,3,0,0
03.02,0,3,0,0
03.03,0,3,0,0
03.04,0,3,0,0
03.05,0,3,0,0
03.06,0,3,0,0
03.07,0,3,0,0
03.08,0,3,0,0
03.09,1,4,0,0
03.10,3,7,0,0
03.11,0,7,0,0
03.12,2,9,0,0
03.13,0,9,0,0
03.14,4,13,0,0
03.15,5,18,0,0
03.16,0,18,0,0
03.17,0,18,0,0
03.18,5,31,0,0
03.19,12,43,1,0
03.20,24,67,1,0
03.21,9,76,1,0
03.22,18,85,1,0
03.23,29,114,1,1
03.24,22,136,1,2
03.25,41,177,1,2
03.26,24,201,3,3
03.27,18,219,3,3
03.28,22,241,3,4
03.29,18,259,3,6
03.30,123,259,3,6
03.31,70,329,12,9
04.01,25,354,12,9
04.02,30,384,17,11
04.03,46,430,17,11
04.04,53,483,20,17
04.05,72,555,23,18
04.06,0,555,23,18
04.07,44,599,30,26
04.08,18,617,35,29
04.09,46,663,37,30
04.10,48,711,41,32
04.11,49,760,41,34
04.12,68,828,41,34
04.13,26,854,44,38
04.14,54,908,86,44
04.15,66,974,98,45
04.16,0,974,98,45
04.17,143,1117,139,49
04.18,53,1170,164,49
04.19,37,1207,179,51
04.20,18,1225,200,54
04.21,6,1231,224,55
04.22,28,1259,272,56
04.23,41,1300,301,56
04.24,26,1326,337,57
04.25,41,1367,374,59
04.26,19,1386,500,61
04.27,13,1399,553,65
04.28,22,1421,589,71
04.29,21,1442,627,73
04.30,23,1465,738,77
05.01,0,1465,738,77
05.02,41,1506,852,82
05.03,0,1506,852,82
05.04,12,1518,992,85
05.05,8,1526,1013,86
05.06,13,1539,1057,88
05.07,33,1572,1079,89
05.08,14,1586,1099,90
05.09,36,1622,1112,91
05.10,20,1642,1136,91
05.11,22,1664,1200,91
05.12,10,1674,1205,92
05.13,20,1694,1229,95
05.14,29,1723,1235,95
05.15,17,1740,1251,97
05.16,22,1762,1267,98
05.17,30,1792,1293,101
05.18,25,1817,1301,104
05.19,22,1839,1351,106
05.20,19,1858,1367,110
05.21,40,1898,1378,111
05.22,23,1921,1387,112
05.23,20,1941,1411,113
05.24,37,1978,1422,113
05.25,21,1999,1439,113
05.26,15,2014,1453,116
05.27,25,2039,1470,119
05.28,38,2077,1486,121
05.29,52,2129,1516,126
05.30,35,2164,1535,131
05.31,62,2226,1552,133
06.01,89,2315,1569,140
06.02,0,2315,1569,140
06.03,76,2391,1595,141
06.04,220,2611,1621,147
06.05,179,2790,1632,149
06.06,125,2915,1640,151
06.07,110,3025,1646,153
06.08,127,3152,1653,156
06.09,87,3239,1658,157
06.10,0,3239,1658,157
06.11,299,3538,1682,169
06.12,163,3701,1694,171
06.13,194,3895,1705,179
06.14,162,4057,1710,188
06.15,100,4157,1723,193
06.16,132,4289,1757,201
06.17,193,4482,1803,210
06.18,182,4664,1836,216
06.19,156,4820,1863,222
06.20,185,5005,1904,233
06.21,101,5106,1926,238
06.22,90,5196,1974,247
06.23,115,5311,2048,251
06.24,134,5445,2091,259
06.25,150,5595,2166,265
06.26,163,5758,2206,268
06.27,148,5906,2236,277
06.28,174,6080,2315,286
06.29,129,6209,2427,298
06.30,125,6334,2475,302
07.01,120,6454,2598,306
07.02,171,6625,2748,321
07.03,0,6625,2748,321
07.04,162,6787,2876,328
07.05,259,7046,3027,341
07.06,78,7124,3199,346
07.07,120,7244,3324,351
07.08,162,7406,3554,359
07.09,166,7572,3624,362
07.10,205,7777,3960,368
07.11,0,7777,3960,368
07.12,198,7975,4080,376
07.13,222,8197,4326,385
07.14,135,8332,4468,389
07.15,0,8332,4468,389
07.16,198,8530,4565,393
07.17,256,8786,4676,406
07.18,0,8786,4676,406
07.19,240,9026,4727,414
07.20,127,9153,4810,422
07.21,259,9412,4940,432
07.22,0,9412,4940,432
