date,confirm_add,confirm,heal,dead
03.01,1,1,0,0
03.02,1,6,0,0
03.03,1,7,0,0
03.04,0,7,0,0
03.05,3,10,0,0
03.06,3,13,0,0
03.07,0,13,0,0
03.08,0,13,0,0
03.09,1,14,0,0
03.10,0,14,0,0
03.11,3,17,0,0
03.12,0,17,0,0
03.13,0,17,0,0
03.14,6,23,0,1
03.15,0,23,0,1
03.16,14,37,0,1
03.17,21,58,0,2
03.18,53,111,0,2
03.19,56,168,0,2
03.20,92,260,1,3
03.21,107,367,1,5
03.22,165,532,3,7
03.23,257,789,3,14
03.24,192,981,3,18
03.25,68,1049,3,27
03.26,68,1049,3,27
03.27,245,1382,3,41
03.28,245,1627,3,41
03.29,196,1823,3,48
03.30,297,1924,3,58
03.31,42,1966,54,62
04.01,336,2302,58,79
04.02,456,2758,58,98
04.03,405,3163,65,120
04.04,205,3368,65,145
04.05,97,3465,100,172
04.06,181,3646,100,180
04.07,101,3747,100,191
04.08,248,3995,140,220
04.09,455,4450,140,242
04.10,515,4965,339,272
04.11,2196,7161,368,297
04.12,96,7257,411,315
04.13,209,7466,501,333
04.14,63,7529,597,355
04.15,74,7603,696,369
04.16,255,7858,780,388
04.17,367,8225,838,403
04.18,225,8450,838,421
04.19,572,9022,1008,456
04.20,446,9468,1061,474
04.21,660,10128,1150,507
04.22,270,10398,1207,520
04.23,452,10850,1262,537
04.24,333,11183,1328,560
04.25,11536,22719,1366,576
04.26,0,22719,1366,576
04.27,0,22719,1366,576
04.28,521,23240,1557,663
04.29,1018,24258,1557,871
04.30,417,24675,1557,883
05.01,259,24934,1558,900
05.02,1402,26336,1913,1063
05.03,1128,27464,2132,1371
05.04,2074,29538,3300,1564
05.05,2343,31881,3433,1569
05.06,0,31881,3433,1569
05.07,-2461,29420,3433,1618
05.08,878,30298,3433,1654
05.09,-1480,28818,3433,1704
05.10,253,29071,3433,1717
05.11,488,29559,3433,2127
05.12,-50,29509,3433,2145
05.13,910,30419,3433,2327
05.14,67,30486,3433,2334
05.15,16,30502,3433,2338
05.16,965,31467,3433,2594
05.17,1296,32763,3433,2688
05.18,419,33182,3433,2736
05.19,400,33582,3433,2799
05.20,569,34151,3457,2839
05.21,703,34854,3557,2888
05.22,452,35306,3557,2939
05.23,522,35828,3557,3056
05.24,430,36258,3557,3096
05.25,498,36756,3560,3108
05.26,599,37355,18003,3203
05.27,0,37355,18003,3203
05.28,748,38103,18425,3275
05.29,368,38471,18425,3313
05.30,100,38571,19190,3334
05.31,0,38571,19190,3334
06.01,527,39098,19592,3358
06.02,896,39994,19823,3394
06.03,420,40414,20019,3438
06.04,552,40966,20019,3486
06.05,0,40966,20019,3486
06.06,609,41575,20568,3534
06.07,1153,42728,21020,3608
06.08,392,43120,21020,3621
06.09,258,43378,21020,3642
06.10,539,43917,21020,3690
06.11,523,44440,21862,3720
06.12,0,44440,21862,3720
06.13,1338,45778,22679,3828
06.14,578,46356,22865,3874
06.15,395,46751,23064,3896
06.16,571,47322,23349,3929
06.17,621,47943,23684,3970
06.18,547,48490,23881,4007
06.19,607,49097,24123,4087
06.20,634,49731,24446,4156
06.21,0,49731,24446,4156
06.22,909,50640,24991,4223
06.23,0,50640,24991,4223
06.24,1003,51643,24991,4274
06.25,0,51643,24991,4274
06.26,1513,53156,26097,4343
06.27,700,53856,26493,4406
06.28,718,54574,26920,4424
06.29,681,55255,27058,4429
06.30,410,55665,27430,4502
07.01,767,56432,27594,4527
07.02,1825,58257,27887,4576
07.03,1211,59468,28032,4639
07.04,1189,60657,28391,4700
07.05,878,61535,28507,4769
07.06,423,61958,28722,4781
07.07,422,62380,28872,4821
07.08,865,63245,29071,4873
07.09,976,64221,29184,4900
07.10,0,64221,29184,4900
07.11,797,65018,29577,4939
07.12,2191,67209,30107,5031
07.13,661,67870,30283,5047
07.14,589,68459,30369,5063
07.15,1111,69570,30484,5130
07.16,759,70329,30641,5158
07.17,1036,71365,31260,5207
07.18,1079,72444,31404,5250
07.19,938,73382,31757,5282
07.20,631,74013,31901,5313
07.21,607,74620,31955,5318
07.22,1597,76217,32725,5366
