date,confirm_add,confirm,heal,dead
03.13,3,3,0,0
03.14,3,6,0,0
03.15,2,8,0,0
03.16,0,8,0,0
03.17,24,32,0,0
03.18,3,35,0,0
03.19,9,44,0,0
03.20,5,49,0,0
03.21,4,53,0,0
03.22,1,54,0,0
03.23,6,60,0,0
03.24,6,66,0,0
03.25,14,80,2,0
03.26,8,88,2,0
03.27,47,135,3,1
03.28,56,191,4,1
03.29,80,271,16,1
03.30,31,302,21,1
03.31,34,336,22,2
04.01,39,375,26,3
04.02,48,423,27,3
04.03,37,460,29,6
04.04,65,525,36,5
04.05,44,569,36,6
04.06,60,629,45,6
04.07,56,685,50,6
04.08,24,709,54,7
04.09,55,764,60,7
04.10,38,802,64,9
04.11,57,859,81,10
04.12,52,911,99,10
04.13,68,979,138,12
04.14,223,1202,203,14
04.15,88,1290,240,16
04.16,72,1362,273,17
04.17,136,1498,347,17
04.18,117,1615,377,17
04.19,61,1676,400,17
04.20,99,1775,428,19
04.21,192,1967,476,19
04.22,103,2070,515,19
04.23,181,2251,551,20
04.24,125,2376,602,25
04.25,188,2564,629,25
04.26,129,2693,677,25
04.27,142,2835,720,25
04.28,184,3019,754,25
04.29,86,3105,798,25
04.30,251,3356,858,25
05.01,195,3551,866,25
05.02,249,3800,985,25
05.03,57,3857,985,25
05.04,171,4028,1134,27
05.05,151,4179,1264,29
05.06,165,4344,1387,30
05.07,186,4530,1470,30
05.08,264,4794,1615,31
05.09,152,4946,1740,31
05.10,130,5076,1901,31
05.11,84,5160,2020,32
05.12,119,5279,2108,32
05.13,138,5417,2223,32
05.14,154,5571,2408,32
05.15,118,5689,2531,34
05.16,161,5850,2707,34
05.17,307,6157,3090,34
05.18,283,6440,3373,35
05.19,311,6751,3572,35
05.20,218,6969,3649,35
05.21,265,7234,3777,35
05.22,363,7597,3885,35
05.23,322,7919,4096,35
05.24,403,8322,4320,35
05.25,209,8531,4506,35
05.26,438,8969,4560,35
05.27,335,9304,4746,37
05.28,272,9576,4893,37
05.29,356,9932,5011,37
05.30,450,10382,5057,38
05.31,476,10858,5404,40
06.01,450,11308,5458,41
06.02,263,11571,5941,41
06.03,0,11571,5941,44
06.04,496,12067,6574,48
06.05,245,12312,6848,52
06.06,199,12511,6903,52
06.07,183,12694,7135,53
06.08,165,12859,7376,56
06.09,215,13074,8015,58
06.10,245,13319,8015,61
06.11,239,13558,8531,67
06.12,314,13872,8668,68
06.13,366,14238,8829,70
06.14,258,14496,9174,73
06.15,313,14809,9241,77
06.16,383,15192,9488,81
06.17,350,15542,9716,88
06.18,335,15877,10065,100
06.19,474,16351,10195,105
06.20,428,16779,10411,113
06.21,446,17225,10719,118
06.22,507,17732,10897,120
06.23,499,18231,11158,127
06.24,534,18765,11585,134
06.25,520,19285,11882,136
06.26,465,19750,12220,140
06.27,569,20319,12589,150
06.28,461,20780,12824,173
06.29,547,21327,13008,183
06.30,492,21819,13008,188
07.01,489,22308,13558,188
07.02,20266,42574,25533,188
07.03,1501,44075,14777,188
07.04,1644,45719,15276,188
07.05,1452,47171,15556,188
07.06,1403,48574,15860,188
07.07,1109,49683,16298,264
07.08,1376,51059,16298,264
07.09,1962,53021,35137,264
07.10,1726,54747,35137,264
07.11,1708,56455,32500,264
07.12,1798,58253,33814,264
07.13,1646,59899,34190,375
07.14,1856,61755,35911,375
07.15,1759,63514,38008,375
07.16,1674,65188,39066,375
07.17,1707,66895,40256,375
07.18,1808,68703,40256,375
07.19,1636,70339,43029,375
07.20,1499,71838,43029,375
07.21,1630,73468,45376,585
07.22,1685,75153,46790,585
