date,confirm_add,confirm,heal,dead
03.21,0,1,0,0
03.22,0,1,0,0
03.23,0,1,0,0
03.24,0,1,0,0
03.25,0,1,0,0
03.26,0,1,0,0
03.27,0,1,0,0
03.28,0,1,0,0
03.29,0,1,1,0
03.30,0,1,1,0
03.31,0,1,1,0
04.01,0,1,1,0
04.02,1,2,1,0
04.03,1,3,1,0
04.04,4,7,1,0
04.05,0,7,1,0
04.06,0,7,1,0
04.07,0,7,1,0
04.08,1,8,1,0
04.09,0,8,1,0
04.10,4,12,1,0
04.11,0,12,1,0
04.12,0,12,1,0
04.13,0,12,1,0
04.14,0,12,1,0
04.15,0,12,1,0
04.16,0,12,1,0
04.17,0,12,1,0
04.18,0,12,1,0
04.19,0,12,1,0
04.20,0,12,1,0
04.21,0,12,2,0
04.22,1,13,3,0
04.23,0,13,3,0
04.24,1,14,5,0
04.25,0,14,5,0
04.26,0,14,5,0
04.27,1,15,5,0
04.28,0,15,8,0
04.29,0,15,8,0
04.30,1,16,8,0
05.01,0,16,8,0
05.02,0,16,8,0
05.03,0,16,8,0
05.04,1,17,9,0
05.05,0,17,9,0
05.06,0,17,9,0
05.07,0,17,9,0
05.08,0,17,9,0
05.09,0,17,9,0
05.10,0,17,9,0
05.11,0,17,9,0
05.12,0,17,9,0
05.13,0,17,12,0
05.14,0,17,12,0
05.15,0,17,14,0
05.16,0,17,14,0
05.17,0,17,14,0
05.18,0,17,14,0
05.19,0,17,14,0
05.20,0,17,14,0
05.21,1,18,14,0
05.22,0,18,14,0
05.23,0,18,14,0
05.24,0,18,14,0
05.25,0,18,14,0
05.26,0,18,14,0
05.27,0,18,14,0
05.28,7,25,14,0
05.29,0,25,14,0
05.30,1,26,14,0
05.31,0,26,15,0
06.01,0,26,15,0
06.02,0,26,15,0
06.03,0,26,15,0
06.04,0,26,15,0
06.05,0,26,15,0
06.06,0,26,15,0
06.07,0,26,15,0
06.08,1,27,16,0
06.09,0,27,16,0
06.10,0,27,25,0
06.11,0,27,25,0
06.12,0,27,25,0
06.13,0,27,25,0
06.14,0,27,25,0
06.15,0,27,25,0
06.16,0,27,25,0
06.17,2,29,25,0
06.18,0,29,25,0
06.19,0,29,26,0
06.20,0,29,26,0
06.21,0,29,26,0
06.22,0,29,26,0
06.23,0,29,26,0
06.24,0,29,27,0
06.25,0,29,27,0
06.26,0,29,29,0
06.27,0,29,29,0
06.28,0,29,29,0
06.29,0,29,29,0
06.30,0,29,29,0
07.01,0,29,29,0
07.02,0,29,29,0
07.03,0,29,29,0
07.04,0,29,29,0
07.05,0,29,29,0
07.06,0,29,29,0
07.07,0,29,29,0
07.08,0,29,29,0
07.09,0,29,29,0
07.10,0,29,29,0
07.11,0,29,29,0
07.12,0,29,29,0
07.13,6,35,29,0
07.14,0,35,29,0
07.15,0,35,29,0
07.16,0,35,29,0
07.17,0,35,29,0
07.18,0,35,29,0
07.19,3,38,29,0
07.20,12,50,29,0
07.21,0,50,29,0
07.22,0,50,29,0
