date,confirm_add,confirm,heal,dead
03.31,0,1,0,0
04.01,0,1,0,0
04.02,1,2,0,0
04.03,0,2,0,0
04.04,0,2,0,0
04.05,4,6,0,0
04.06,0,6,0,0
04.07,0,6,0,0
04.08,1,7,0,0
04.09,0,7,0,0
04.10,0,7,0,0
04.11,1,8,0,0
04.12,2,10,0,0
04.13,0,10,0,0
04.14,1,11,0,0
04.15,2,13,0,0
04.16,2,15,0,0
04.17,11,26,0,0
04.18,4,30,0,0
04.19,0,30,0,0
04.20,13,43,6,0
04.21,7,50,6,0
04.22,11,61,6,0
04.23,0,61,6,0
04.24,21,82,10,2
04.25,0,82,10,2
04.26,11,93,10,4
04.27,0,93,10,4
04.28,11,104,12,4
04.29,0,104,12,4
04.30,20,124,21,7
05.01,0,124,21,7
05.02,31,155,21,8
05.03,0,155,21,8
05.04,23,178,37,9
05.05,21,199,43,11
05.06,26,225,54,14
05.07,6,231,54,16
05.08,26,257,54,17
05.09,34,291,58,18
05.10,16,307,67,18
05.11,31,338,72,19
05.12,0,338,72,19
05.13,0,338,72,19
05.14,70,408,97,26
05.15,0,408,97,26
05.16,39,447,97,27
05.17,58,505,141,32
05.18,0,505,141,32
05.19,14,519,148,33
05.20,51,570,205,34
05.21,0,570,205,34
05.22,15,585,205,35
05.23,21,606,230,38
05.24,101,707,241,40
05.25,28,735,293,42
05.26,0,735,293,42
05.27,47,782,297,45
05.28,30,812,361,45
05.29,17,829,386,45
05.30,23,852,415,46
05.31,0,852,415,46
06.01,13,865,475,46
06.02,31,896,480,46
06.03,0,896,480,46
06.04,18,914,491,47
06.05,15,929,580,47
06.06,17,946,600,48
06.07,23,969,608,48
06.08,0,969,608,48
06.09,32,1001,611,49
06.10,24,1025,621,50
06.11,37,1062,637,50
06.12,41,1103,648,51
06.13,29,1132,670,51
06.14,37,1169,680,51
06.15,7,1176,683,51
06.16,0,1176,683,51
06.17,49,1225,686,51
06.18,24,1249,707,51
06.19,23,1272,710,51
06.20,26,1298,732,53
06.21,11,1309,746,53
06.22,18,1327,788,55
06.23,13,1340,788,55
06.24,7,1347,853,55
06.25,7,1354,869,55
06.26,0,1354,869,56
06.27,40,1394,914,59
06.28,16,1410,937,59
06.29,17,1427,943,60
06.30,23,1450,961,60
07.01,12,1462,974,60
07.02,36,1498,999,60
07.03,20,1518,1007,60
07.04,6,1524,1042,62
07.05,9,1533,1051,62
07.06,9,1542,1062,62
07.07,5,1547,1086,62
07.08,25,1572,1088,63
07.09,12,1584,1122,63
07.10,14,1598,1123,63
07.11,15,1613,1133,63
07.12,5,1618,1141,63
07.13,17,1635,1154,63
07.14,7,1642,1175,63
07.15,9,1651,1190,64
07.16,17,1668,1200,64
07.17,10,1678,1213,64
07.18,10,1688,1219,65
07.19,13,1701,1237,65
07.20,10,1711,1237,65
07.21,0,1711,1261,66
07.22,16,1727,1273,66
