date,confirm_add,confirm,heal,dead
03.15,2,2,0,0
03.16,0,2,0,0
03.17,2,4,0,0
03.18,0,4,0,0
03.19,0,4,0,0
03.20,0,4,0,0
03.21,3,7,0,0
03.22,0,7,0,0
03.23,0,7,0,0
03.24,0,7,0,0
03.25,0,7,0,0
03.26,0,7,0,0
03.27,0,7,0,0
03.28,3,7,0,0
03.29,1,8,0,0
03.30,0,8,0,0
03.31,2,10,0,0
04.01,0,10,0,0
04.02,0,10,0,0
04.03,0,10,0,0
04.04,0,10,0,0
04.05,0,10,0,0
04.06,0,10,0,0
04.07,1,11,0,0
04.08,0,11,0,0
04.09,0,11,0,0
04.10,0,11,0,0
04.11,0,11,0,0
04.12,0,11,0,0
04.13,0,11,0,0
04.14,0,11,0,0
04.15,0,11,0,0
04.16,0,11,0,0
04.17,0,11,5,0
04.18,0,11,5,0
04.19,0,11,5,0
04.20,0,11,5,0
04.21,0,11,5,0
04.22,0,11,5,0
04.23,0,11,6,0
04.24,0,11,6,0
04.25,0,11,6,0
04.26,0,11,6,0
04.27,0,11,6,0
04.28,0,11,6,0
04.29,0,11,6,0
04.30,0,11,6,0
05.01,0,11,6,0
05.02,0,11,6,0
05.03,0,11,6,0
05.04,0,11,6,0
05.05,0,11,6,0
05.06,0,11,8,0
05.07,0,11,8,0
05.08,0,11,8,0
05.09,0,11,8,0
05.10,0,11,10,0
05.11,0,11,10,0
05.12,0,11,10,0
05.13,0,11,10,0
05.14,0,11,10,0
05.15,0,11,10,0
05.16,0,11,10,0
05.17,0,11,10,0
05.18,0,11,11,0
05.19,0,11,11,0
05.20,0,11,11,0
05.21,0,11,11,0
05.22,0,11,11,0
05.23,0,11,11,0
05.24,0,11,11,0
05.25,0,11,11,0
05.26,0,11,11,0
05.27,0,11,11,0
05.28,0,11,11,0
05.29,0,11,11,0
05.30,0,11,11,0
05.31,0,11,11,0
06.01,0,11,11,0
06.02,0,11,11,0
06.03,0,11,11,0
06.04,0,11,11,0
06.05,0,11,11,0
06.06,0,11,11,0
06.07,0,11,11,0
06.08,0,11,11,0
06.09,0,11,11,0
06.10,0,11,11,0
06.11,0,11,11,0
06.12,0,11,11,0
06.13,0,11,11,0
06.14,0,11,11,0
06.15,0,11,11,0
06.16,0,11,11,0
06.17,0,11,11,0
06.18,0,11,11,0
06.19,0,11,11,0
06.20,0,11,11,0
06.21,0,11,11,0
06.22,0,11,11,0
06.23,0,11,11,0
06.24,0,11,11,0
06.25,0,11,11,0
06.26,0,11,11,0
06.27,0,11,11,0
06.28,9,20,11,0
06.29,50,70,11,0
06.30,7,77,11,0
07.01,4,81,11,0
07.02,0,81,11,0
07.03,0,81,11,0
07.04,0,81,11,0
07.05,0,81,11,0
07.06,0,81,11,0
07.07,0,81,11,0
07.08,0,81,11,0
07.09,10,91,11,0
07.10,3,94,11,0
07.11,6,100,11,0
07.12,0,100,11,0
07.13,0,100,11,0
07.14,0,100,11,0
07.15,0,100,11,0
07.16,0,100,27,0
07.17,8,108,27,0
07.18,0,108,27,0
07.19,0,108,27,0
07.20,0,108,27,0
07.21,0,108,27,0
07.22,0,108,27,0
