date,confirm_add,confirm,heal,dead
03.06,7,7,0,0
03.07,9,16,0,0
03.08,3,19,0,0
03.09,0,19,0,0
03.10,6,25,0,0
03.11,5,30,0,0
03.12,0,30,0,0
03.13,1,31,0,0
03.14,4,35,0,0
03.15,0,35,0,0
03.16,0,35,0,0
03.17,4,39,0,0
03.18,2,41,0,0
03.19,3,44,0,0
03.20,3,47,0,0
03.21,6,53,17,0
03.22,6,59,17,0
03.23,0,59,17,0
03.24,0,59,17,0
03.25,1,60,17,0
03.26,4,64,16,1
03.27,20,84,17,1
03.28,13,97,18,1
03.29,7,104,18,1
03.30,2,106,18,1
03.31,11,117,18,1
04.01,17,134,18,1
04.02,26,160,18,1
04.03,11,171,18,1
04.04,39,210,21,1
04.05,16,226,23,1
04.06,26,252,25,1
04.07,8,260,24,1
04.08,3,263,44,1
04.09,0,263,44,1
04.10,3,266,45,2
04.11,2,268,46,2
04.12,0,268,58,2
04.13,22,290,58,2
04.14,18,308,62,2
04.15,0,308,62,2
04.16,66,374,63,2
04.17,28,402,69,2
04.18,16,418,69,2
04.19,13,431,71,2
04.20,18,449,71,3
04.21,12,461,71,4
04.22,13,474,71,4
04.23,6,480,92,4
04.24,0,480,92,4
04.25,4,484,92,4
04.26,-142,342,83,2
04.27,0,342,83,2
04.28,0,342,83,2
04.29,2,344,71,2
04.30,0,344,71,2
05.01,0,344,76,2
05.02,9,353,76,2
05.03,0,353,76,2
05.04,1,354,102,2
05.05,12,366,127,2
05.06,5,371,127,2
05.07,3,374,174,2
05.08,1,375,226,2
05.09,0,375,228,2
05.10,0,375,263,2
05.11,0,375,301,2
05.12,0,375,316,2
05.13,0,375,310,2
05.14,0,375,310,2
05.15,0,375,310,2
05.16,0,375,327,2
05.17,6,381,335,2
05.18,0,381,335,2
05.19,7,388,346,2
05.20,10,398,346,2
05.21,0,398,346,2
05.22,25,423,346,2
05.23,0,423,346,3
05.24,0,423,357,3
05.25,0,423,357,3
05.26,3,426,365,3
05.27,8,434,365,3
05.28,1,435,365,3
05.29,11,446,368,3
05.30,1,447,368,3
05.31,1,448,368,3
06.01,1,449,372,3
06.02,2,451,372,3
06.03,0,451,372,3
06.04,13,464,377,3
06.05,0,464,377,3
06.06,0,464,400,3
06.07,0,464,400,3
06.08,8,472,403,3
06.09,2,474,404,3
06.10,7,481,404,3
06.11,4,485,410,3
06.12,4,489,414,3
06.13,0,489,414,3
06.14,0,489,415,3
06.15,12,501,415,3
06.16,5,506,415,3
06.17,26,532,415,3
06.18,47,579,415,3
06.19,84,663,437,3
06.20,96,759,437,3
06.21,68,827,439,3
06.22,148,975,439,3
06.23,103,1078,442,3
06.24,233,1311,442,3
06.25,51,1362,442,3
06.26,152,1514,446,3
06.27,110,1624,446,3
06.28,230,1854,447,4
06.29,233,2087,447,5
06.30,303,2390,451,5
07.01,318,2708,460,8
07.02,270,2978,460,8
07.03,170,3148,463,10
07.04,451,3599,463,12
07.05,444,4043,482,16
07.06,298,4341,491,17
07.07,306,4647,491,18
07.08,382,5029,494,19
07.09,191,5220,525,22
07.10,331,5551,536,27
07.11,380,5931,536,31
07.12,299,6230,942,34
07.13,243,6473,1084,38
07.14,291,6764,1084,44
07.15,300,7064,1084,44
07.16,348,7412,1084,47
07.17,352,7764,1492,51
07.18,436,8200,1596,55
07.19,349,8549,1921,60
07.20,367,8916,1921,62
07.21,312,9228,1932,64
07.22,170,9398,1932,64
