date,confirm_add,confirm,heal,dead
02.26,1,1,0,0
02.27,2,3,0,0
02.28,1,4,0,0
02.29,0,4,0,0
03.01,3,7,0,0
03.02,0,7,0,0
03.03,0,7,0,0
03.04,2,9,0,0
03.05,22,31,0,0
03.06,14,45,0,0
03.07,1,46,0,0
03.08,7,73,0,0
03.09,0,73,0,0
03.10,16,89,0,0
03.11,10,99,0,0
03.12,0,99,0,1
03.13,18,117,0,1
03.14,73,190,0,3
03.15,38,228,0,4
03.16,103,331,0,4
03.17,21,352,0,4
03.18,35,387,14,5
03.19,31,418,14,5
03.20,46,464,14,5
03.21,31,495,19,8
03.22,35,530,19,13
03.23,94,624,19,15
03.24,71,695,19,17
03.25,48,743,19,20
03.26,78,821,19,22
03.27,71,892,19,26
03.28,74,966,19,28
03.29,95,1156,52,38
03.30,0,1156,52,39
03.31,56,1212,52,46
04.01,102,1314,52,49
04.02,101,1415,52,52
04.03,129,1544,61,53
04.04,99,1643,78,67
04.05,30,1673,78,70
04.06,62,1735,78,76
04.07,20,1755,269,81
04.08,77,1832,269,81
04.09,52,1884,269,83
04.10,71,1955,269,87
04.11,56,2011,269,92
04.12,103,2114,269,98
04.13,31,2145,269,99
04.14,0,2145,269,99
04.15,25,2170,269,101
04.16,22,2192,269,102
04.17,32,2224,269,108
04.18,11,2235,269,110
04.19,0,2235,269,110
04.20,0,2235,269,113
04.21,10,2245,577,116
04.22,163,2408,577,121
04.23,55,2463,577,125
04.24,27,2490,577,130
04.25,16,2506,577,130
04.26,11,2517,577,134
04.27,0,2517,577,134
04.28,17,2534,577,136
04.29,32,2566,577,138
04.30,10,2576,577,139
05.01,15,2591,1374,140
05.02,29,2620,1374,143
05.03,0,2620,1374,143
05.04,12,2632,1374,146
05.05,0,2632,1374,146
05.06,31,2663,1374,147
05.07,0,2663,1374,147
05.08,15,2678,1374,148
05.09,32,2710,1374,151
05.10,6,2716,1374,151
05.11,10,2726,1374,151
05.12,18,2744,1374,152
05.13,16,2760,1374,155
05.14,10,2770,1374,156
05.15,40,2810,1374,160
05.16,9,2819,1374,162
05.17,0,2819,1374,162
05.18,15,2834,1374,163
05.19,2,2836,1374,165
05.20,14,2850,1374,166
05.21,0,2850,1374,166
05.22,3,2853,1374,168
05.23,23,2876,1374,171
05.24,2,2878,1374,171
05.25,4,2882,1374,172
05.26,0,2882,1374,172
05.27,21,2903,1374,173
05.28,0,2903,1374,173
05.29,6,2909,1374,175
05.30,0,2909,1374,175
05.31,8,2917,1374,175
06.01,0,2917,1374,175
06.02,20,2937,1374,179
06.03,0,2937,1374,179
06.04,15,2952,1374,180
06.05,0,2952,1374,180
06.06,15,2967,1374,180
06.07,30,2997,1374,180
06.08,0,2997,1374,180
06.09,52,3049,1374,182
06.10,9,3058,1374,183
06.11,10,3068,1374,183
06.12,40,3108,1374,183
06.13,0,3108,1374,183
06.14,13,3121,1374,183
06.15,13,3134,1374,184
06.16,14,3148,1374,185
06.17,0,3148,1374,185
06.18,79,3227,1374,188
06.19,0,3227,1374,188
06.20,10,3237,1374,189
06.21,29,3266,1374,190
06.22,0,3266,1374,190
06.23,21,3287,1374,190
06.24,15,3302,1374,190
06.25,19,3321,1374,191
06.26,22,3343,1374,191
06.27,0,3343,1374,191
06.28,23,3366,1374,191
06.29,24,3390,1374,191
06.30,0,3390,1374,191
07.01,42,3432,1374,192
07.02,0,3432,1374,192
07.03,26,3458,1374,192
07.04,53,3511,1374,192
07.05,8,3519,1374,192
07.06,0,3519,1374,192
07.07,43,3562,1374,192
07.08,60,3622,1374,193
07.09,0,3622,1374,193
07.10,110,3732,1374,193
07.11,0,3732,1374,193
07.12,40,3772,1374,193
07.13,31,3803,1374,193
07.14,23,3826,1374,193
07.15,57,3883,1374,193
07.16,27,3910,1374,193
07.17,29,3939,1374,193
07.18,44,3983,1374,194
07.19,0,3983,1374,194
07.20,24,4007,1374,194
07.21,5,4012,1374,195
07.22,36,4048,1374,197
