date,confirm_add,confirm,heal,dead
03.08,1,1,0,0
03.09,0,1,0,0
03.10,0,1,0,0
03.11,0,1,0,0
03.12,2,3,0,0
03.13,3,6,0,0
03.14,2,8,0,0
03.15,4,12,0,0
03.16,11,23,0,0
03.17,0,23,0,0
03.18,1,30,0,1
03.19,6,36,1,1
03.20,13,49,1,1
03.21,17,66,1,1
03.22,14,80,1,1
03.23,14,94,1,1
03.24,14,109,1,1
03.25,16,125,1,1
03.26,24,149,1,1
03.27,28,177,1,1
03.28,22,199,1,1
03.29,32,231,2,2
03.30,32,263,13,2
03.31,90,353,18,4
04.01,0,353,22,4
04.02,152,505,23,6
04.03,0,505,26,6
04.04,86,591,26,10
04.05,161,752,30,14
04.06,112,864,37,17
04.07,192,1056,40,22
04.08,0,1056,40,24
04.09,118,1174,50,28
04.10,264,1438,56,29
04.11,0,1438,75,29
04.12,224,1662,94,31
04.13,50,1712,107,35
04.14,135,1847,134,36
04.15,87,1934,171,43
04.16,115,2049,235,53
04.17,105,2154,276,55
04.18,224,2378,391,57
04.19,-27,2351,457,62
04.20,121,2472,457,68
04.21,142,2614,505,72
04.22,164,2778,560,75
04.23,148,2926,661,80
04.24,184,3110,755,84
04.25,194,3304,825,94
04.26,104,3408,895,96
04.27,73,3481,925,101
04.28,157,3638,975,103
04.29,133,3771,1114,107
04.30,126,3897,1182,116
05.01,0,3897,1272,122
05.02,155,4052,1334,124
05.03,0,4052,1334,124
05.04,196,4248,1423,128
05.05,115,4363,1544,136
05.06,0,4363,1544,136
05.07,113,4476,1747,145
05.08,252,4728,1826,150
05.09,0,4728,1925,159
05.10,139,4867,1925,161
05.11,60,4927,1980,171
05.12,68,4995,1980,175
05.13,411,5406,2176,185
05.14,0,5406,2176,185
05.15,147,5553,2228,194
05.16,192,5745,2228,202
05.17,189,5934,2344,207
05.18,204,6138,2425,217
05.19,0,6138,2508,219
05.20,415,6553,2953,228
05.21,0,6553,2953,228
05.22,151,6704,2953,233
05.23,290,6994,3452,242
05.24,99,7093,3713,250
05.25,54,7147,3802,261
05.26,0,7147,3884,265
05.27,390,7537,3884,274
05.28,188,7725,4123,282
05.29,171,7896,4278,288
05.30,202,8098,4455,291
05.31,153,8251,4581,295
06.01,109,8360,4622,305
06.02,188,8548,4738,307
06.03,0,8548,4738,307
06.04,470,9018,5009,315
06.05,229,9247,5240,323
06.06,0,9247,5450,326
06.07,453,9700,5638,341
06.08,0,9700,5738,346
06.09,325,10025,5797,365
06.10,0,10025,5930,367
06.11,702,10727,6072,375
06.12,366,11093,6229,385
06.13,0,11093,6421,395
06.14,647,11740,6623,406
06.15,0,11740,6794,408
06.16,514,12254,6901,423
06.17,0,12254,7077,427
06.18,852,13106,7252,444
06.19,0,13106,7525,449
06.20,847,13953,7745,464
06.21,247,14200,7896,473
06.22,0,14200,8019,475
06.23,514,14714,8019,490
06.24,0,14714,8400,492
06.25,739,15453,8599,502
06.26,323,15776,8765,515
06.27,304,16080,8963,521
06.28,170,16250,9081,530
06.29,107,16357,9229,536
06.30,0,16357,9382,541
07.01,541,16898,9594,549
07.02,0,16898,9846,551
07.03,252,17150,9846,560
07.04,522,17672,10396,580
07.05,142,17814,10718,585
07.06,92,17906,11047,592
07.07,0,17906,11241,598
07.08,565,18471,11549,614
07.09,0,18471,11549,614
07.10,453,18924,12188,635
07.11,0,18924,12456,635
07.12,458,19382,12667,642
07.13,0,19382,12793,642
07.14,57,19439,13033,652
07.15,269,19708,13298,658
07.16,332,20040,13640,662
07.17,454,20494,13913,675
07.18,0,20494,13913,675
07.19,300,20794,14183,680
07.20,186,20980,14376,684
07.21,462,21442,14599,707
07.22,0,21442,14856,708
