date,confirm_add,confirm,heal,dead
01.28,0,7,1,0
01.29,1,8,1,0
01.30,5,13,1,0
01.31,4,17,1,0
02.01,3,20,1,0
02.02,0,20,1,0
02.03,0,20,1,0
02.04,2,22,1,0
02.05,2,24,1,0
02.06,1,25,1,0
02.07,0,25,1,0
02.08,0,25,1,0
02.09,0,25,1,0
02.10,1,26,1,0
02.11,0,26,1,0
02.12,3,29,1,0
02.13,5,34,1,1
02.14,1,35,1,1
02.15,14,49,1,1
02.16,0,56,1,1
02.17,0,65,1,1
02.18,9,74,1,1
02.19,0,84,1,1
02.20,9,93,1,3
02.21,10,103,1,1
02.22,14,122,1,1
02.23,14,136,1,1
02.24,23,159,1,1
02.25,3,162,1,1
02.26,7,178,1,1
02.27,29,207,1,4
02.28,22,233,32,5
02.29,8,241,32,5
03.01,14,256,32,6
03.02,18,274,32,6
03.03,19,293,32,6
03.04,33,326,32,6
03.05,5,331,32,6
03.06,85,416,32,6
03.07,25,441,32,7
03.08,33,494,32,7
03.09,20,514,80,9
03.10,67,581,101,12
03.11,47,628,102,14
03.12,62,690,118,17
03.13,35,725,135,21
03.14,23,748,135,21
03.15,70,818,135,24
03.16,48,835,135,28
03.17,45,880,135,29
03.18,84,919,135,31
03.19,73,956,135,33
03.20,97,1016,135,35
03.21,135,1054,135,36
03.22,47,1101,232,41
03.23,39,1140,285,42
03.24,69,1209,285,42
03.25,98,1307,310,45
03.26,92,1399,359,47
03.27,117,1516,372,49
03.28,208,1724,372,52
03.29,2,1726,424,52
03.30,140,1866,424,54
03.31,87,1953,424,56
04.01,225,2178,472,57
04.02,206,2384,472,57
04.03,233,2617,514,63
04.04,318,2935,514,69
04.05,204,3139,514,77
04.06,515,3654,575,85
04.07,252,3906,592,92
04.08,351,4257,622,93
04.09,410,4667,632,94
04.10,863,5530,685,99
04.11,475,6005,762,99
04.12,743,6748,762,108
04.13,622,7370,784,123
04.14,275,7645,799,143
04.15,455,8100,853,146
04.16,526,8626,901,178
04.17,605,9231,935,190
04.18,556,9787,935,190
04.19,509,10296,1069,222
04.20,501,10797,1159,236
04.21,338,11135,1239,263
04.22,377,11512,1356,281
04.23,438,11950,1424,299
04.24,418,12368,1494,328
04.25,461,12829,1530,345
04.26,402,13231,1656,360
04.27,210,13441,1809,372
04.28,173,13614,1899,385
04.29,122,13736,1899,394
04.30,229,13965,2368,425
05.01,123,14088,2460,430
05.02,217,14305,2975,455
05.03,0,14305,2975,455
05.04,572,14877,3981,487
05.05,201,15078,4156,536
05.06,175,15253,4496,556
05.07,0,15253,4496,556
05.08,224,15477,4918,577
05.09,98,15575,5146,590
05.10,88,15663,5906,607
05.11,114,15777,8127,624
05.12,70,15847,8293,633
05.13,121,15968,8531,657
05.14,81,16049,8920,678
05.15,71,16120,9868,697
05.16,83,16203,10338,713
05.17,34,16237,10338,725
05.18,48,16285,11153,744
05.19,20,16305,11564,749
05.20,62,16367,11564,768
05.21,18,16385,12286,771
05.22,39,16424,12672,777
05.23,89,16513,13005,796
05.24,23,16536,13244,808
05.25,14,16550,13413,820
05.26,31,16581,13612,830
05.27,42,16623,13810,846
05.28,28,16651,13973,858
05.29,22,16673,14213,887
05.30,43,16716,14231,891
05.31,35,16751,14342,898
06.01,36,16787,14463,899
06.02,50,16837,14585,902
06.03,0,16837,14585,902
06.04,74,16911,14785,911
06.05,46,16957,14854,915
06.06,43,17000,14927,915
06.07,39,17039,14990,917
06.08,21,17060,15043,920
06.09,51,17111,15141,920
06.10,23,17134,15142,920
06.11,53,17187,15233,922
06.12,63,17250,15362,924
06.13,42,17292,15459,927
06.14,77,17369,15514,927
06.15,70,17439,15567,929
06.16,42,17481,15652,934
06.17,49,17530,15709,935
06.18,58,17588,15753,935
06.19,67,17655,15796,951
06.20,70,17725,15857,951
06.21,55,17780,15948,955
06.22,33,17813,15957,955
06.23,62,17875,16079,956
06.24,88,17963,16101,967
06.25,93,18056,16142,971
06.26,105,18161,16142,971
06.27,1,18162,16224,971
06.28,204,18366,16327,972
06.29,110,18476,16388,972
06.30,139,18615,16458,972
07.01,126,18741,16563,976
07.02,193,18934,16615,977
07.03,244,19178,16721,977
07.04,281,19459,16798,977
07.05,208,19667,16870,977
07.06,174,19841,17007,978
07.07,213,20054,17057,980
07.08,207,20261,17057,982
07.09,354,20615,17411,982
07.10,429,21044,17494,982
07.11,383,21427,17494,982
07.12,412,21839,17845,983
07.13,258,22097,18058,984
07.14,334,22431,18126,984
07.15,431,22862,18126,984
07.16,634,23496,18126,984
07.17,597,24093,18942,985
07.18,667,24760,19211,985
07.19,514,25274,19211,986
07.20,418,25692,19603,988
07.21,636,26328,20001,988
07.22,698,27026,20001,988
