date,confirm_add,confirm,heal,dead
01.31,0,1,0,0
02.01,0,1,0,0
02.02,0,1,0,0
02.03,0,1,0,0
02.04,0,1,0,0
02.05,0,1,0,0
02.06,0,1,0,0
02.07,0,1,0,0
02.08,0,1,0,0
02.09,0,1,0,0
02.10,0,1,0,0
02.11,0,1,0,0
02.12,0,1,0,0
02.13,0,1,0,0
02.14,0,1,0,0
02.15,0,1,0,0
02.16,0,1,0,0
02.17,0,1,0,0
02.18,0,1,1,0
02.19,0,1,1,0
02.20,0,1,1,0
02.21,0,1,1,0
02.22,0,1,1,0
02.23,0,1,1,0
02.24,0,1,1,0
02.25,0,1,1,0
02.26,0,1,1,0
02.27,0,1,1,0
02.28,0,1,1,0
02.29,0,1,1,0
03.01,0,1,1,0
03.02,0,1,1,0
03.03,0,1,1,0
03.04,0,1,1,0
03.05,0,1,1,0
03.06,0,1,1,0
03.07,1,2,1,0
03.08,0,2,1,0
03.09,0,2,1,0
03.10,1,3,1,0
03.11,0,3,1,0
03.12,2,5,1,0
03.13,0,5,1,0
03.14,2,7,1,0
03.15,0,7,1,0
03.16,5,12,1,0
03.17,0,12,1,0
03.18,23,35,1,0
03.19,2,37,1,0
03.20,10,47,1,0
03.21,4,51,1,0
03.22,2,53,1,0
03.23,31,84,2,0
03.24,7,91,4,0
03.25,12,96,2,0
03.26,0,96,10,0
03.27,2,98,2,0
03.28,1,99,13,0
03.29,4,103,21,0
03.30,5,103,21,0
03.31,6,109,23,0
04.01,0,109,25,0
04.02,1,110,34,0
04.03,4,114,35,0
04.04,0,114,50,0
04.05,0,114,50,0
04.06,0,114,53,0
04.07,1,115,58,0
04.08,2,117,63,0
04.09,2,119,63,0
04.10,0,119,72,0
04.11,1,120,75,0
04.12,2,122,77,0
04.13,0,122,77,0
04.14,0,122,91,0
04.15,0,122,96,0
04.16,0,122,98,0
04.17,0,122,98,0
04.18,0,122,103,0
04.19,0,122,105,0
04.20,0,122,107,0
04.21,0,122,110,0
04.22,0,122,110,0
04.23,0,122,110,0
04.24,0,122,110,0
04.25,0,122,117,0
04.26,0,122,117,0
04.27,0,122,119,0
04.28,0,122,119,0
04.29,0,122,119,0
04.30,0,122,119,0
05.01,0,122,119,0
05.02,0,122,120,0
05.03,0,122,120,0
05.04,0,122,120,0
05.05,0,122,120,0
05.06,0,122,120,0
05.07,0,122,120,0
05.08,0,122,120,0
05.09,0,122,120,0
05.10,0,122,120,0
05.11,0,122,120,0
05.12,0,122,121,0
05.13,0,122,121,0
05.14,0,122,121,0
05.15,0,122,121,0
05.16,0,122,122,0
05.17,0,122,122,0
05.18,0,122,122,0
05.19,0,122,122,0
05.20,0,122,122,0
05.21,0,122,122,0
05.22,1,123,122,0
05.23,1,124,122,0
05.24,0,124,122,0
05.25,0,124,122,0
05.26,0,124,122,0
05.27,0,124,122,0
05.28,0,124,122,0
05.29,0,124,122,0
05.30,1,125,123,0
05.31,0,125,123,0
06.01,0,125,123,0
06.02,0,125,123,0
06.03,0,125,123,0
06.04,0,125,123,0
06.05,0,125,123,0
06.06,0,125,123,0
06.07,0,125,123,0
06.08,1,126,123,0
06.09,0,126,124,0
06.10,0,126,125,0
06.11,0,126,125,0
06.12,0,126,125,0
06.13,0,126,125,0
06.14,2,128,125,0
06.15,0,128,125,0
06.16,0,128,125,0
06.17,0,128,126,0
06.18,1,129,126,0
06.19,0,129,126,0
06.20,0,129,126,0
06.21,0,129,127,0
06.22,0,129,127,0
06.23,1,130,127,0
06.24,0,130,127,0
06.25,0,130,127,0
06.26,0,130,127,0
06.27,9,139,129,0
06.28,2,141,129,0
06.29,0,141,130,0
06.30,0,141,130,0
07.01,0,141,131,0
07.02,0,141,131,0
07.03,0,141,131,0
07.04,0,141,131,0
07.05,0,141,131,0
07.06,0,141,131,0
07.07,0,141,131,0
07.08,0,141,131,0
07.09,0,141,131,0
07.10,0,141,131,0
07.11,0,141,133,0
07.12,15,156,133,0
07.13,0,156,133,0
07.14,9,165,133,0
07.15,0,165,133,0
07.16,1,166,133,0
07.17,5,171,133,0
07.18,0,171,133,0
07.19,0,171,136,0
07.20,0,171,136,0
07.21,26,197,140,0
07.22,0,197,140,0
