date,confirm_add,confirm,heal,dead
03.14,1,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,1,2,0,0
03.20,0,2,0,0
03.21,0,2,0,0
03.22,0,2,0,0
03.23,0,2,0,0
03.24,0,2,0,0
03.25,0,2,0,0
03.26,1,3,0,0
03.27,1,3,0,0
03.28,2,5,0,0
03.29,0,5,0,0
03.30,0,5,2,0
03.31,1,6,2,1
04.01,0,6,2,1
04.02,0,6,2,1
04.03,0,6,2,1
04.04,0,6,2,1
04.05,0,6,2,1
04.06,0,6,2,1
04.07,0,6,2,1
04.08,0,6,2,1
04.09,1,7,2,1
04.10,0,7,2,1
04.11,0,7,2,1
04.12,0,7,2,1
04.13,0,7,2,1
04.14,0,7,2,1
04.15,0,7,2,1
04.16,0,7,2,1
04.17,0,7,2,1
04.18,0,7,2,1
04.19,0,7,6,1
04.20,0,7,6,1
04.21,0,7,6,1
04.22,0,7,6,1
04.23,0,7,6,1
04.24,0,7,6,1
04.25,0,7,6,1
04.26,0,7,6,1
04.27,0,7,6,1
04.28,0,7,6,1
04.29,1,8,6,1
04.30,0,8,6,1
05.01,0,8,6,1
05.02,0,8,6,1
05.03,0,8,6,1
05.04,0,8,6,1
05.05,0,8,6,1
05.06,0,8,6,1
05.07,0,8,6,1
05.08,0,8,6,1
05.09,0,8,6,1
05.10,0,8,6,1
05.11,0,8,6,1
05.12,0,8,6,1
05.13,1,9,6,2
05.14,7,16,6,2
05.15,10,26,7,2
05.16,3,29,7,3
05.17,11,40,7,4
05.18,22,62,7,4
05.19,19,81,7,4
05.20,50,131,7,4
05.21,10,141,7,4
05.22,32,173,7,5
05.23,27,200,7,6
05.24,27,227,7,6
05.25,10,237,15,6
05.26,25,262,15,9
05.27,6,268,15,13
05.28,24,292,15,16
05.29,54,346,15,19
05.30,77,423,21,20
05.31,60,483,21,20
06.01,47,530,27,23
06.02,58,588,27,23
06.03,80,668,55,31
06.04,77,745,57,34
06.05,39,784,65,39
06.06,99,883,69,43
06.07,64,947,104,49
06.08,102,1049,108,55
06.09,55,1104,119,59
06.10,58,1162,139,61
06.11,121,1283,142,71
06.12,156,1439,250,74
06.13,133,1572,278,81
06.14,110,1682,311,83
06.15,101,1783,332,87
06.16,104,1887,360,91
06.17,170,2057,373,93
06.18,166,2223,427,95
06.19,201,2424,550,97
06.20,197,2621,653,102
06.21,192,2813,696,108
06.22,171,2984,811,111
06.23,137,3121,905,112
06.24,171,3292,963,114
06.25,227,3519,1074,116
06.26,220,3739,1225,119
06.27,168,3907,1280,120
06.28,118,4025,1344,121
06.29,124,4149,1419,126
06.30,88,4237,1497,128
07.01,126,4363,1622,129
07.02,109,4472,1677,129
07.03,134,4606,1727,129
07.04,99,4705,1765,129
07.05,122,4827,1805,129
07.06,52,4879,1844,130
07.07,69,4948,1896,133
07.08,76,5024,1944,135
07.09,63,5087,1994,139
07.10,39,5126,2026,144
07.11,77,5203,2111,146
07.12,72,5275,2160,147
07.13,80,5355,2363,147
07.14,91,5446,2501,147
07.15,72,5518,2664,147
07.16,46,5564,2830,149
07.17,95,5659,2993,150
07.18,51,5710,3153,151
07.19,103,5813,3279,153
07.20,60,5873,3436,155
07.21,50,5923,3632,155
07.22,62,5985,3826,155
